group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,bevy,,,,1328000.0,ns,1
add_remove_component,bevy,,,,2469500.0,ns,2
add_remove_component,bevy,,,,4025700.0,ns,3
add_remove_component,bevy,,,,5475600.0,ns,4
add_remove_component,bevy,,,,8233800.0,ns,5
add_remove_component,bevy,,,,10320700.0,ns,6
add_remove_component,bevy,,,,10278501.0,ns,7
add_remove_component,bevy,,,,10927600.0,ns,8
add_remove_component,bevy,,,,13332000.0,ns,9
add_remove_component,bevy,,,,12833100.0,ns,10
add_remove_component,bevy,,,,13716700.0,ns,11
add_remove_component,bevy,,,,14729601.0,ns,12
add_remove_component,bevy,,,,15963400.0,ns,13
add_remove_component,bevy,,,,17628100.0,ns,14
add_remove_component,bevy,,,,18143101.0,ns,15
add_remove_component,bevy,,,,19577400.0,ns,16
add_remove_component,bevy,,,,20477300.0,ns,17
add_remove_component,bevy,,,,21972801.0,ns,18
add_remove_component,bevy,,,,23092000.0,ns,19
add_remove_component,bevy,,,,24563101.0,ns,20
add_remove_component,bevy,,,,25250000.0,ns,21
add_remove_component,bevy,,,,26342200.0,ns,22
add_remove_component,bevy,,,,28522500.0,ns,23
add_remove_component,bevy,,,,29159401.0,ns,24
add_remove_component,bevy,,,,30055300.0,ns,25
add_remove_component,bevy,,,,31733301.0,ns,26
add_remove_component,bevy,,,,32448600.0,ns,27
add_remove_component,bevy,,,,33172701.0,ns,28
add_remove_component,bevy,,,,35362900.0,ns,29
add_remove_component,bevy,,,,35753901.0,ns,30
add_remove_component,bevy,,,,36833801.0,ns,31
add_remove_component,bevy,,,,39530600.0,ns,32
add_remove_component,bevy,,,,39464301.0,ns,33
add_remove_component,bevy,,,,40976501.0,ns,34
add_remove_component,bevy,,,,43777501.0,ns,35
add_remove_component,bevy,,,,43051200.0,ns,36
add_remove_component,bevy,,,,44911201.0,ns,37
add_remove_component,bevy,,,,46454201.0,ns,38
add_remove_component,bevy,,,,47475401.0,ns,39
add_remove_component,bevy,,,,50093001.0,ns,40
add_remove_component,bevy,,,,53213801.0,ns,41
add_remove_component,bevy,,,,51019200.0,ns,42
add_remove_component,bevy,,,,52237201.0,ns,43
add_remove_component,bevy,,,,53611101.0,ns,44
add_remove_component,bevy,,,,53885201.0,ns,45
add_remove_component,bevy,,,,55521101.0,ns,46
add_remove_component,bevy,,,,57056701.0,ns,47
add_remove_component,bevy,,,,57279601.0,ns,48
add_remove_component,bevy,,,,59179901.0,ns,49
add_remove_component,bevy,,,,61272801.0,ns,50
add_remove_component,bevy,,,,61528901.0,ns,51
add_remove_component,bevy,,,,62499901.0,ns,52
add_remove_component,bevy,,,,64936602.0,ns,53
add_remove_component,bevy,,,,64600901.0,ns,54
add_remove_component,bevy,,,,66457801.0,ns,55
add_remove_component,bevy,,,,68115901.0,ns,56
add_remove_component,bevy,,,,69119801.0,ns,57
add_remove_component,bevy,,,,74309502.0,ns,58
add_remove_component,bevy,,,,72957101.0,ns,59
add_remove_component,bevy,,,,73955801.0,ns,60
add_remove_component,bevy,,,,73858801.0,ns,61
add_remove_component,bevy,,,,78242602.0,ns,62
add_remove_component,bevy,,,,76359201.0,ns,63
add_remove_component,bevy,,,,77502401.0,ns,64
add_remove_component,bevy,,,,79961702.0,ns,65
add_remove_component,bevy,,,,79998101.0,ns,66
add_remove_component,bevy,,,,81866802.0,ns,67
add_remove_component,bevy,,,,82735701.0,ns,68
add_remove_component,bevy,,,,82326702.0,ns,69
add_remove_component,bevy,,,,83582001.0,ns,70
add_remove_component,bevy,,,,87394902.0,ns,71
add_remove_component,bevy,,,,86403401.0,ns,72
add_remove_component,bevy,,,,87908502.0,ns,73
add_remove_component,bevy,,,,90030601.0,ns,74
add_remove_component,bevy,,,,89113602.0,ns,75
add_remove_component,bevy,,,,91565501.0,ns,76
add_remove_component,bevy,,,,93200502.0,ns,77
add_remove_component,bevy,,,,93720102.0,ns,78
add_remove_component,bevy,,,,95595501.0,ns,79
add_remove_component,bevy,,,,98248602.0,ns,80
add_remove_component,bevy,,,,97411702.0,ns,81
add_remove_component,bevy,,,,101729001.0,ns,82
add_remove_component,bevy,,,,103271402.0,ns,83
add_remove_component,bevy,,,,100670002.0,ns,84
add_remove_component,bevy,,,,101885102.0,ns,85
add_remove_component,bevy,,,,106739102.0,ns,86
add_remove_component,bevy,,,,104711001.0,ns,87
add_remove_component,bevy,,,,104814202.0,ns,88
add_remove_component,bevy,,,,109475602.0,ns,89
add_remove_component,bevy,,,,107992002.0,ns,90
add_remove_component,bevy,,,,109223302.0,ns,91
add_remove_component,bevy,,,,113185902.0,ns,92
add_remove_component,bevy,,,,112549802.0,ns,93
add_remove_component,bevy,,,,112532702.0,ns,94
add_remove_component,bevy,,,,118783302.0,ns,95
add_remove_component,bevy,,,,114608402.0,ns,96
add_remove_component,bevy,,,,117972002.0,ns,97
add_remove_component,bevy,,,,119701102.0,ns,98
add_remove_component,bevy,,,,120252202.0,ns,99
add_remove_component,bevy,,,,120341302.0,ns,100
