group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,hecs,,,,1634000.0,ns,2
add_remove_component,hecs,,,,3433300.0,ns,4
add_remove_component,hecs,,,,5410400.0,ns,6
add_remove_component,hecs,,,,7427200.0,ns,8
add_remove_component,hecs,,,,8536500.0,ns,10
add_remove_component,hecs,,,,9703500.0,ns,12
add_remove_component,hecs,,,,11510100.0,ns,14
add_remove_component,hecs,,,,13234700.0,ns,16
add_remove_component,hecs,,,,14966100.0,ns,18
add_remove_component,hecs,,,,16583801.0,ns,20
add_remove_component,hecs,,,,18194100.0,ns,22
add_remove_component,hecs,,,,20006900.0,ns,24
add_remove_component,hecs,,,,22138100.0,ns,26
add_remove_component,hecs,,,,23446401.0,ns,28
add_remove_component,hecs,,,,24760800.0,ns,30
add_remove_component,hecs,,,,26524000.0,ns,32
add_remove_component,hecs,,,,28244701.0,ns,34
add_remove_component,hecs,,,,29801500.0,ns,36
add_remove_component,hecs,,,,31375900.0,ns,38
add_remove_component,hecs,,,,32862801.0,ns,40
add_remove_component,hecs,,,,34172700.0,ns,42
add_remove_component,hecs,,,,35919599.0,ns,44
add_remove_component,hecs,,,,37722899.0,ns,46
add_remove_component,hecs,,,,39031099.0,ns,48
add_remove_component,hecs,,,,40839899.0,ns,50
add_remove_component,hecs,,,,42312299.0,ns,52
add_remove_component,hecs,,,,44622099.0,ns,54
add_remove_component,hecs,,,,48200398.0,ns,56
add_remove_component,hecs,,,,48482299.0,ns,58
add_remove_component,hecs,,,,51611299.0,ns,60
add_remove_component,hecs,,,,52712499.0,ns,62
add_remove_component,hecs,,,,55355298.0,ns,64
add_remove_component,hecs,,,,55784099.0,ns,66
add_remove_component,hecs,,,,58367598.0,ns,68
add_remove_component,hecs,,,,58672399.0,ns,70
add_remove_component,hecs,,,,59852798.0,ns,72
add_remove_component,hecs,,,,60997499.0,ns,74
add_remove_component,hecs,,,,62920398.0,ns,76
add_remove_component,hecs,,,,63160098.0,ns,78
add_remove_component,hecs,,,,66042999.0,ns,80
add_remove_component,hecs,,,,66959498.0,ns,82
add_remove_component,hecs,,,,68931098.0,ns,84
add_remove_component,hecs,,,,70449698.0,ns,86
add_remove_component,hecs,,,,72119598.0,ns,88
add_remove_component,hecs,,,,73211099.0,ns,90
add_remove_component,hecs,,,,74821598.0,ns,92
add_remove_component,hecs,,,,75783598.0,ns,94
add_remove_component,hecs,,,,79029398.0,ns,96
add_remove_component,hecs,,,,81067098.0,ns,98
add_remove_component,hecs,,,,82715498.0,ns,100
add_remove_component,hecs,,,,84757097.0,ns,102
add_remove_component,hecs,,,,86442498.0,ns,104
add_remove_component,hecs,,,,87395298.0,ns,106
add_remove_component,hecs,,,,87736098.0,ns,108
add_remove_component,hecs,,,,89820397.0,ns,110
add_remove_component,hecs,,,,91654398.0,ns,112
add_remove_component,hecs,,,,93437298.0,ns,114
add_remove_component,hecs,,,,94266497.0,ns,116
add_remove_component,hecs,,,,95912998.0,ns,118
add_remove_component,hecs,,,,98206297.0,ns,120
add_remove_component,hecs,,,,100632298.0,ns,122
add_remove_component,hecs,,,,102604197.0,ns,124
add_remove_component,hecs,,,,103970797.0,ns,126
add_remove_component,hecs,,,,104219298.0,ns,128
add_remove_component,hecs,,,,106590497.0,ns,130
add_remove_component,hecs,,,,107913497.0,ns,132
add_remove_component,hecs,,,,111704997.0,ns,134
add_remove_component,hecs,,,,112721597.0,ns,136
add_remove_component,hecs,,,,112077098.0,ns,138
add_remove_component,hecs,,,,116250197.0,ns,140
add_remove_component,hecs,,,,116868997.0,ns,142
add_remove_component,hecs,,,,119738296.0,ns,144
add_remove_component,hecs,,,,120777397.0,ns,146
add_remove_component,hecs,,,,120483497.0,ns,148
add_remove_component,hecs,,,,122875897.0,ns,150
add_remove_component,hecs,,,,126784597.0,ns,152
add_remove_component,hecs,,,,125116797.0,ns,154
add_remove_component,hecs,,,,127990996.0,ns,156
add_remove_component,hecs,,,,129802297.0,ns,158
add_remove_component,hecs,,,,132264497.0,ns,160
add_remove_component,hecs,,,,133465296.0,ns,162
add_remove_component,hecs,,,,134173097.0,ns,164
add_remove_component,hecs,,,,144962696.0,ns,166
add_remove_component,hecs,,,,139756897.0,ns,168
add_remove_component,hecs,,,,141468396.0,ns,170
add_remove_component,hecs,,,,142820296.0,ns,172
add_remove_component,hecs,,,,144849797.0,ns,174
add_remove_component,hecs,,,,146021396.0,ns,176
add_remove_component,hecs,,,,146667596.0,ns,178
add_remove_component,hecs,,,,146258196.0,ns,180
add_remove_component,hecs,,,,147678696.0,ns,182
add_remove_component,hecs,,,,151217797.0,ns,184
add_remove_component,hecs,,,,152258696.0,ns,186
add_remove_component,hecs,,,,153179796.0,ns,188
add_remove_component,hecs,,,,153852696.0,ns,190
add_remove_component,hecs,,,,156283496.0,ns,192
add_remove_component,hecs,,,,159061696.0,ns,194
add_remove_component,hecs,,,,162372296.0,ns,196
add_remove_component,hecs,,,,162141395.0,ns,198
add_remove_component,hecs,,,,164230796.0,ns,200
