group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,legion,,,,52734101.0,ns,19
add_remove_component,legion,,,,50635501.0,ns,19
add_remove_component,legion,,,,51104800.0,ns,19
add_remove_component,legion,,,,50908601.0,ns,19
add_remove_component,legion,,,,51938301.0,ns,19
add_remove_component,legion,,,,50677800.0,ns,19
add_remove_component,legion,,,,49936501.0,ns,19
add_remove_component,legion,,,,49299401.0,ns,19
add_remove_component,legion,,,,50793500.0,ns,19
add_remove_component,legion,,,,50782701.0,ns,19
add_remove_component,legion,,,,50851301.0,ns,19
add_remove_component,legion,,,,48859300.0,ns,19
add_remove_component,legion,,,,50137901.0,ns,19
add_remove_component,legion,,,,50694901.0,ns,19
add_remove_component,legion,,,,50042900.0,ns,19
add_remove_component,legion,,,,50491801.0,ns,19
add_remove_component,legion,,,,49846001.0,ns,19
add_remove_component,legion,,,,50091000.0,ns,19
add_remove_component,legion,,,,51443801.0,ns,19
add_remove_component,legion,,,,50309201.0,ns,19
add_remove_component,legion,,,,49394900.0,ns,19
add_remove_component,legion,,,,54296501.0,ns,19
add_remove_component,legion,,,,50697401.0,ns,19
add_remove_component,legion,,,,51496300.0,ns,19
add_remove_component,legion,,,,51913801.0,ns,19
add_remove_component,legion,,,,50501201.0,ns,19
add_remove_component,legion,,,,51069800.0,ns,19
add_remove_component,legion,,,,49326501.0,ns,19
add_remove_component,legion,,,,49316401.0,ns,19
add_remove_component,legion,,,,50684300.0,ns,19
add_remove_component,legion,,,,49900701.0,ns,19
add_remove_component,legion,,,,49899801.0,ns,19
add_remove_component,legion,,,,50517200.0,ns,19
add_remove_component,legion,,,,51229301.0,ns,19
add_remove_component,legion,,,,49644900.0,ns,19
add_remove_component,legion,,,,49594701.0,ns,19
add_remove_component,legion,,,,51410800.0,ns,19
add_remove_component,legion,,,,49949901.0,ns,19
add_remove_component,legion,,,,50034201.0,ns,19
add_remove_component,legion,,,,50946900.0,ns,19
add_remove_component,legion,,,,50008201.0,ns,19
add_remove_component,legion,,,,49292400.0,ns,19
add_remove_component,legion,,,,51517201.0,ns,19
add_remove_component,legion,,,,49917500.0,ns,19
add_remove_component,legion,,,,51988301.0,ns,19
add_remove_component,legion,,,,50280201.0,ns,19
add_remove_component,legion,,,,49599900.0,ns,19
add_remove_component,legion,,,,51718501.0,ns,19
add_remove_component,legion,,,,51356000.0,ns,19
add_remove_component,legion,,,,50132901.0,ns,19
add_remove_component,legion,,,,51044201.0,ns,19
add_remove_component,legion,,,,50219800.0,ns,19
add_remove_component,legion,,,,48921101.0,ns,19
add_remove_component,legion,,,,49400900.0,ns,19
add_remove_component,legion,,,,50625401.0,ns,19
add_remove_component,legion,,,,50038300.0,ns,19
add_remove_component,legion,,,,50196401.0,ns,19
add_remove_component,legion,,,,50529401.0,ns,19
add_remove_component,legion,,,,52500000.0,ns,19
add_remove_component,legion,,,,52562901.0,ns,19
add_remove_component,legion,,,,51024800.0,ns,19
add_remove_component,legion,,,,51881201.0,ns,19
add_remove_component,legion,,,,51044001.0,ns,19
add_remove_component,legion,,,,50143300.0,ns,19
add_remove_component,legion,,,,50571501.0,ns,19
add_remove_component,legion,,,,50851500.0,ns,19
add_remove_component,legion,,,,50476101.0,ns,19
add_remove_component,legion,,,,49807400.0,ns,19
add_remove_component,legion,,,,50370401.0,ns,19
add_remove_component,legion,,,,49288301.0,ns,19
add_remove_component,legion,,,,50821200.0,ns,19
add_remove_component,legion,,,,50410401.0,ns,19
add_remove_component,legion,,,,51163000.0,ns,19
add_remove_component,legion,,,,50241501.0,ns,19
add_remove_component,legion,,,,50936501.0,ns,19
add_remove_component,legion,,,,51846100.0,ns,19
add_remove_component,legion,,,,50188601.0,ns,19
add_remove_component,legion,,,,49689300.0,ns,19
add_remove_component,legion,,,,53567901.0,ns,19
add_remove_component,legion,,,,52976601.0,ns,19
add_remove_component,legion,,,,50834300.0,ns,19
add_remove_component,legion,,,,51255801.0,ns,19
add_remove_component,legion,,,,50395900.0,ns,19
add_remove_component,legion,,,,49755301.0,ns,19
add_remove_component,legion,,,,50516600.0,ns,19
add_remove_component,legion,,,,50391701.0,ns,19
add_remove_component,legion,,,,52377801.0,ns,19
add_remove_component,legion,,,,50719100.0,ns,19
add_remove_component,legion,,,,49279401.0,ns,19
add_remove_component,legion,,,,50702700.0,ns,19
add_remove_component,legion,,,,51229001.0,ns,19
add_remove_component,legion,,,,49421601.0,ns,19
add_remove_component,legion,,,,50048900.0,ns,19
add_remove_component,legion,,,,50475901.0,ns,19
add_remove_component,legion,,,,50119900.0,ns,19
add_remove_component,legion,,,,50400501.0,ns,19
add_remove_component,legion,,,,51435700.0,ns,19
add_remove_component,legion,,,,49535601.0,ns,19
add_remove_component,legion,,,,49925701.0,ns,19
add_remove_component,legion,,,,49983100.0,ns,19
