group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,shipyard,,,,1026800.0,ns,11
add_remove_component,shipyard,,,,2044600.0,ns,22
add_remove_component,shipyard,,,,3092700.0,ns,33
add_remove_component,shipyard,,,,4749700.0,ns,44
add_remove_component,shipyard,,,,5605600.0,ns,55
add_remove_component,shipyard,,,,6226400.0,ns,66
add_remove_component,shipyard,,,,7703400.0,ns,77
add_remove_component,shipyard,,,,8135800.0,ns,88
add_remove_component,shipyard,,,,9262100.0,ns,99
add_remove_component,shipyard,,,,10342100.0,ns,110
add_remove_component,shipyard,,,,11764900.0,ns,121
add_remove_component,shipyard,,,,12289200.0,ns,132
add_remove_component,shipyard,,,,13468200.0,ns,143
add_remove_component,shipyard,,,,14416800.0,ns,154
add_remove_component,shipyard,,,,15703700.0,ns,165
add_remove_component,shipyard,,,,16707300.0,ns,176
add_remove_component,shipyard,,,,17741500.0,ns,187
add_remove_component,shipyard,,,,18977000.0,ns,198
add_remove_component,shipyard,,,,19858200.0,ns,209
add_remove_component,shipyard,,,,20626700.0,ns,220
add_remove_component,shipyard,,,,21610200.0,ns,231
add_remove_component,shipyard,,,,22986900.0,ns,242
add_remove_component,shipyard,,,,23952900.0,ns,253
add_remove_component,shipyard,,,,24949400.0,ns,264
add_remove_component,shipyard,,,,25985400.0,ns,275
add_remove_component,shipyard,,,,26416601.0,ns,286
add_remove_component,shipyard,,,,27338900.0,ns,297
add_remove_component,shipyard,,,,28460700.0,ns,308
add_remove_component,shipyard,,,,29903400.0,ns,319
add_remove_component,shipyard,,,,31232300.0,ns,330
add_remove_component,shipyard,,,,32738400.0,ns,341
add_remove_component,shipyard,,,,33154700.0,ns,352
add_remove_component,shipyard,,,,34864700.0,ns,363
add_remove_component,shipyard,,,,35555600.0,ns,374
add_remove_component,shipyard,,,,36457100.0,ns,385
add_remove_component,shipyard,,,,37479300.0,ns,396
add_remove_component,shipyard,,,,38318500.0,ns,407
add_remove_component,shipyard,,,,39125800.0,ns,418
add_remove_component,shipyard,,,,40531900.0,ns,429
add_remove_component,shipyard,,,,41200100.0,ns,440
add_remove_component,shipyard,,,,42136700.0,ns,451
add_remove_component,shipyard,,,,43530500.0,ns,462
add_remove_component,shipyard,,,,44064800.0,ns,473
add_remove_component,shipyard,,,,45186800.0,ns,484
add_remove_component,shipyard,,,,51090700.0,ns,495
add_remove_component,shipyard,,,,49076300.0,ns,506
add_remove_component,shipyard,,,,49389800.0,ns,517
add_remove_component,shipyard,,,,50222201.0,ns,528
add_remove_component,shipyard,,,,51350800.0,ns,539
add_remove_component,shipyard,,,,51868400.0,ns,550
add_remove_component,shipyard,,,,52474600.0,ns,561
add_remove_component,shipyard,,,,53615200.0,ns,572
add_remove_component,shipyard,,,,54584300.0,ns,583
add_remove_component,shipyard,,,,55997800.0,ns,594
add_remove_component,shipyard,,,,57358201.0,ns,605
add_remove_component,shipyard,,,,57778600.0,ns,616
add_remove_component,shipyard,,,,58622900.0,ns,627
add_remove_component,shipyard,,,,59624300.0,ns,638
add_remove_component,shipyard,,,,60839100.0,ns,649
add_remove_component,shipyard,,,,61600900.0,ns,660
add_remove_component,shipyard,,,,63124900.0,ns,671
add_remove_component,shipyard,,,,64063501.0,ns,682
add_remove_component,shipyard,,,,64997900.0,ns,693
add_remove_component,shipyard,,,,66073700.0,ns,704
add_remove_component,shipyard,,,,67218600.0,ns,715
add_remove_component,shipyard,,,,67820600.0,ns,726
add_remove_component,shipyard,,,,69428600.0,ns,737
add_remove_component,shipyard,,,,70127301.0,ns,748
add_remove_component,shipyard,,,,72996000.0,ns,759
add_remove_component,shipyard,,,,73884500.0,ns,770
add_remove_component,shipyard,,,,74298100.0,ns,781
add_remove_component,shipyard,,,,74439100.0,ns,792
add_remove_component,shipyard,,,,75557901.0,ns,803
add_remove_component,shipyard,,,,76069800.0,ns,814
add_remove_component,shipyard,,,,76779200.0,ns,825
add_remove_component,shipyard,,,,77868201.0,ns,836
add_remove_component,shipyard,,,,82899000.0,ns,847
add_remove_component,shipyard,,,,82340300.0,ns,858
add_remove_component,shipyard,,,,82087401.0,ns,869
add_remove_component,shipyard,,,,82468700.0,ns,880
add_remove_component,shipyard,,,,83905400.0,ns,891
add_remove_component,shipyard,,,,85298501.0,ns,902
add_remove_component,shipyard,,,,86890500.0,ns,913
add_remove_component,shipyard,,,,87826500.0,ns,924
add_remove_component,shipyard,,,,87365401.0,ns,935
add_remove_component,shipyard,,,,89806200.0,ns,946
add_remove_component,shipyard,,,,89160900.0,ns,957
add_remove_component,shipyard,,,,92000001.0,ns,968
add_remove_component,shipyard,,,,92806200.0,ns,979
add_remove_component,shipyard,,,,93174400.0,ns,990
add_remove_component,shipyard,,,,93389001.0,ns,1001
add_remove_component,shipyard,,,,95085300.0,ns,1012
add_remove_component,shipyard,,,,96426800.0,ns,1023
add_remove_component,shipyard,,,,96522801.0,ns,1034
add_remove_component,shipyard,,,,96951900.0,ns,1045
add_remove_component,shipyard,,,,97489700.0,ns,1056
add_remove_component,shipyard,,,,98514501.0,ns,1067
add_remove_component,shipyard,,,,99946100.0,ns,1078
add_remove_component,shipyard,,,,101091101.0,ns,1089
add_remove_component,shipyard,,,,110035500.0,ns,1100
