group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,specs,,,,1027900.0,ns,16
add_remove_component,specs,,,,1960600.0,ns,32
add_remove_component,specs,,,,3313100.0,ns,48
add_remove_component,specs,,,,4176400.0,ns,64
add_remove_component,specs,,,,5535800.0,ns,80
add_remove_component,specs,,,,6078000.0,ns,96
add_remove_component,specs,,,,7145600.0,ns,112
add_remove_component,specs,,,,8146900.0,ns,128
add_remove_component,specs,,,,9128300.0,ns,144
add_remove_component,specs,,,,10267600.0,ns,160
add_remove_component,specs,,,,11139000.0,ns,176
add_remove_component,specs,,,,12139100.0,ns,192
add_remove_component,specs,,,,13170700.0,ns,208
add_remove_component,specs,,,,14224400.0,ns,224
add_remove_component,specs,,,,15257700.0,ns,240
add_remove_component,specs,,,,16207800.0,ns,256
add_remove_component,specs,,,,17274500.0,ns,272
add_remove_component,specs,,,,18346900.0,ns,288
add_remove_component,specs,,,,19242700.0,ns,304
add_remove_component,specs,,,,20191100.0,ns,320
add_remove_component,specs,,,,20890200.0,ns,336
add_remove_component,specs,,,,21901100.0,ns,352
add_remove_component,specs,,,,22865300.0,ns,368
add_remove_component,specs,,,,23904700.0,ns,384
add_remove_component,specs,,,,25026900.0,ns,400
add_remove_component,specs,,,,26143201.0,ns,416
add_remove_component,specs,,,,27134700.0,ns,432
add_remove_component,specs,,,,27868800.0,ns,448
add_remove_component,specs,,,,28816800.0,ns,464
add_remove_component,specs,,,,29874400.0,ns,480
add_remove_component,specs,,,,30916800.0,ns,496
add_remove_component,specs,,,,32252400.0,ns,512
add_remove_component,specs,,,,33396400.0,ns,528
add_remove_component,specs,,,,34189801.0,ns,544
add_remove_component,specs,,,,35145600.0,ns,560
add_remove_component,specs,,,,35812100.0,ns,576
add_remove_component,specs,,,,37013400.0,ns,592
add_remove_component,specs,,,,37931400.0,ns,608
add_remove_component,specs,,,,38842500.0,ns,624
add_remove_component,specs,,,,39911701.0,ns,640
add_remove_component,specs,,,,41459400.0,ns,656
add_remove_component,specs,,,,41983400.0,ns,672
add_remove_component,specs,,,,42845300.0,ns,688
add_remove_component,specs,,,,44513100.0,ns,704
add_remove_component,specs,,,,51637801.0,ns,720
add_remove_component,specs,,,,46603200.0,ns,736
add_remove_component,specs,,,,47591800.0,ns,752
add_remove_component,specs,,,,48617500.0,ns,768
add_remove_component,specs,,,,49037800.0,ns,784
add_remove_component,specs,,,,50123001.0,ns,800
add_remove_component,specs,,,,50744100.0,ns,816
add_remove_component,specs,,,,51894700.0,ns,832
add_remove_component,specs,,,,52747400.0,ns,848
add_remove_component,specs,,,,53574301.0,ns,864
add_remove_component,specs,,,,54630900.0,ns,880
add_remove_component,specs,,,,55926800.0,ns,896
add_remove_component,specs,,,,57212100.0,ns,912
add_remove_component,specs,,,,59343301.0,ns,928
add_remove_component,specs,,,,59047100.0,ns,944
add_remove_component,specs,,,,60646000.0,ns,960
add_remove_component,specs,,,,61668900.0,ns,976
add_remove_component,specs,,,,61969501.0,ns,992
add_remove_component,specs,,,,63011600.0,ns,1008
add_remove_component,specs,,,,64519200.0,ns,1024
add_remove_component,specs,,,,64905101.0,ns,1040
add_remove_component,specs,,,,68560200.0,ns,1056
add_remove_component,specs,,,,67113400.0,ns,1072
add_remove_component,specs,,,,68897801.0,ns,1088
add_remove_component,specs,,,,68914600.0,ns,1104
add_remove_component,specs,,,,69831600.0,ns,1120
add_remove_component,specs,,,,70821800.0,ns,1136
add_remove_component,specs,,,,71593101.0,ns,1152
add_remove_component,specs,,,,73167700.0,ns,1168
add_remove_component,specs,,,,73966500.0,ns,1184
add_remove_component,specs,,,,75771201.0,ns,1200
add_remove_component,specs,,,,75621300.0,ns,1216
add_remove_component,specs,,,,76881500.0,ns,1232
add_remove_component,specs,,,,86906301.0,ns,1248
add_remove_component,specs,,,,80350600.0,ns,1264
add_remove_component,specs,,,,81748301.0,ns,1280
add_remove_component,specs,,,,82371100.0,ns,1296
add_remove_component,specs,,,,82163600.0,ns,1312
add_remove_component,specs,,,,83183201.0,ns,1328
add_remove_component,specs,,,,83769600.0,ns,1344
add_remove_component,specs,,,,85217300.0,ns,1360
add_remove_component,specs,,,,85613301.0,ns,1376
add_remove_component,specs,,,,87322800.0,ns,1392
add_remove_component,specs,,,,88297901.0,ns,1408
add_remove_component,specs,,,,88609700.0,ns,1424
add_remove_component,specs,,,,90302700.0,ns,1440
add_remove_component,specs,,,,91621401.0,ns,1456
add_remove_component,specs,,,,93345900.0,ns,1472
add_remove_component,specs,,,,92918901.0,ns,1488
add_remove_component,specs,,,,93734400.0,ns,1504
add_remove_component,specs,,,,94259900.0,ns,1520
add_remove_component,specs,,,,96038101.0,ns,1536
add_remove_component,specs,,,,96471200.0,ns,1552
add_remove_component,specs,,,,98369301.0,ns,1568
add_remove_component,specs,,,,99300600.0,ns,1584
add_remove_component,specs,,,,102033701.0,ns,1600
