group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,bevy,,,,1042200.0,ns,441
fragmented_iter,bevy,,,,2026900.0,ns,882
fragmented_iter,bevy,,,,3058500.0,ns,1323
fragmented_iter,bevy,,,,4069300.0,ns,1764
fragmented_iter,bevy,,,,5205600.0,ns,2205
fragmented_iter,bevy,,,,6116400.0,ns,2646
fragmented_iter,bevy,,,,7344900.0,ns,3087
fragmented_iter,bevy,,,,8033401.0,ns,3528
fragmented_iter,bevy,,,,9076200.0,ns,3969
fragmented_iter,bevy,,,,10034600.0,ns,4410
fragmented_iter,bevy,,,,11216600.0,ns,4851
fragmented_iter,bevy,,,,12013200.0,ns,5292
fragmented_iter,bevy,,,,13008400.0,ns,5733
fragmented_iter,bevy,,,,14668300.0,ns,6174
fragmented_iter,bevy,,,,15940500.0,ns,6615
fragmented_iter,bevy,,,,15811500.0,ns,7056
fragmented_iter,bevy,,,,16735600.0,ns,7497
fragmented_iter,bevy,,,,18457900.0,ns,7938
fragmented_iter,bevy,,,,18823701.0,ns,8379
fragmented_iter,bevy,,,,19777800.0,ns,8820
fragmented_iter,bevy,,,,21044100.0,ns,9261
fragmented_iter,bevy,,,,21662900.0,ns,9702
fragmented_iter,bevy,,,,23667700.0,ns,10143
fragmented_iter,bevy,,,,23634900.0,ns,10584
fragmented_iter,bevy,,,,24366501.0,ns,11025
fragmented_iter,bevy,,,,25540600.0,ns,11466
fragmented_iter,bevy,,,,26629200.0,ns,11907
fragmented_iter,bevy,,,,28547100.0,ns,12348
fragmented_iter,bevy,,,,28766300.0,ns,12789
fragmented_iter,bevy,,,,30657400.0,ns,13230
fragmented_iter,bevy,,,,31021501.0,ns,13671
fragmented_iter,bevy,,,,31858600.0,ns,14112
fragmented_iter,bevy,,,,32562100.0,ns,14553
fragmented_iter,bevy,,,,34090000.0,ns,14994
fragmented_iter,bevy,,,,34844101.0,ns,15435
fragmented_iter,bevy,,,,35697400.0,ns,15876
fragmented_iter,bevy,,,,37819200.0,ns,16317
fragmented_iter,bevy,,,,37374500.0,ns,16758
fragmented_iter,bevy,,,,38853601.0,ns,17199
fragmented_iter,bevy,,,,39472700.0,ns,17640
fragmented_iter,bevy,,,,41015100.0,ns,18081
fragmented_iter,bevy,,,,41779400.0,ns,18522
fragmented_iter,bevy,,,,42708201.0,ns,18963
fragmented_iter,bevy,,,,43822100.0,ns,19404
fragmented_iter,bevy,,,,46203600.0,ns,19845
fragmented_iter,bevy,,,,45903501.0,ns,20286
fragmented_iter,bevy,,,,47448400.0,ns,20727
fragmented_iter,bevy,,,,47956800.0,ns,21168
fragmented_iter,bevy,,,,51210001.0,ns,21609
fragmented_iter,bevy,,,,48861600.0,ns,22050
fragmented_iter,bevy,,,,51411700.0,ns,22491
fragmented_iter,bevy,,,,51295401.0,ns,22932
fragmented_iter,bevy,,,,53264100.0,ns,23373
fragmented_iter,bevy,,,,52630800.0,ns,23814
fragmented_iter,bevy,,,,55265901.0,ns,24255
fragmented_iter,bevy,,,,55863300.0,ns,24696
fragmented_iter,bevy,,,,56126601.0,ns,25137
fragmented_iter,bevy,,,,57404300.0,ns,25578
fragmented_iter,bevy,,,,57926900.0,ns,26019
fragmented_iter,bevy,,,,58193801.0,ns,26460
fragmented_iter,bevy,,,,59609700.0,ns,26901
fragmented_iter,bevy,,,,61084001.0,ns,27342
fragmented_iter,bevy,,,,67106300.0,ns,27783
fragmented_iter,bevy,,,,65597901.0,ns,28224
fragmented_iter,bevy,,,,64658000.0,ns,28665
fragmented_iter,bevy,,,,64728400.0,ns,29106
fragmented_iter,bevy,,,,66367201.0,ns,29547
fragmented_iter,bevy,,,,67208800.0,ns,29988
fragmented_iter,bevy,,,,67898101.0,ns,30429
fragmented_iter,bevy,,,,70085300.0,ns,30870
fragmented_iter,bevy,,,,73714001.0,ns,31311
fragmented_iter,bevy,,,,70804600.0,ns,31752
fragmented_iter,bevy,,,,75365201.0,ns,32193
fragmented_iter,bevy,,,,73335900.0,ns,32634
fragmented_iter,bevy,,,,78655501.0,ns,33075
fragmented_iter,bevy,,,,76723300.0,ns,33516
fragmented_iter,bevy,,,,76054601.0,ns,33957
fragmented_iter,bevy,,,,75856200.0,ns,34398
fragmented_iter,bevy,,,,77719501.0,ns,34839
fragmented_iter,bevy,,,,81427600.0,ns,35280
fragmented_iter,bevy,,,,83084401.0,ns,35721
fragmented_iter,bevy,,,,80232301.0,ns,36162
fragmented_iter,bevy,,,,84780000.0,ns,36603
fragmented_iter,bevy,,,,86176201.0,ns,37044
fragmented_iter,bevy,,,,84482700.0,ns,37485
fragmented_iter,bevy,,,,84575001.0,ns,37926
fragmented_iter,bevy,,,,86177900.0,ns,38367
fragmented_iter,bevy,,,,90370001.0,ns,38808
fragmented_iter,bevy,,,,92882701.0,ns,39249
fragmented_iter,bevy,,,,91294100.0,ns,39690
fragmented_iter,bevy,,,,91179301.0,ns,40131
fragmented_iter,bevy,,,,91441401.0,ns,40572
fragmented_iter,bevy,,,,91717500.0,ns,41013
fragmented_iter,bevy,,,,93370201.0,ns,41454
fragmented_iter,bevy,,,,94002901.0,ns,41895
fragmented_iter,bevy,,,,96251100.0,ns,42336
fragmented_iter,bevy,,,,96038601.0,ns,42777
fragmented_iter,bevy,,,,97052601.0,ns,43218
fragmented_iter,bevy,,,,101871600.0,ns,43659
fragmented_iter,bevy,,,,105761101.0,ns,44100
