group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,ets,,,,982701.0,ns,11451
fragmented_iter,ets,,,,1952800.0,ns,22902
fragmented_iter,ets,,,,2951601.0,ns,34353
fragmented_iter,ets,,,,4339801.0,ns,45804
fragmented_iter,ets,,,,5929801.0,ns,57255
fragmented_iter,ets,,,,6796402.0,ns,68706
fragmented_iter,ets,,,,7009902.0,ns,80157
fragmented_iter,ets,,,,8104802.0,ns,91608
fragmented_iter,ets,,,,8871902.0,ns,103059
fragmented_iter,ets,,,,9916103.0,ns,114510
fragmented_iter,ets,,,,11060002.0,ns,125961
fragmented_iter,ets,,,,11738203.0,ns,137412
fragmented_iter,ets,,,,12718904.0,ns,148863
fragmented_iter,ets,,,,14010103.0,ns,160314
fragmented_iter,ets,,,,15017104.0,ns,171765
fragmented_iter,ets,,,,16052804.0,ns,183216
fragmented_iter,ets,,,,17022704.0,ns,194667
fragmented_iter,ets,,,,17978205.0,ns,206118
fragmented_iter,ets,,,,19106204.0,ns,217569
fragmented_iter,ets,,,,19586805.0,ns,229020
fragmented_iter,ets,,,,20728705.0,ns,240471
fragmented_iter,ets,,,,21510206.0,ns,251922
fragmented_iter,ets,,,,22595606.0,ns,263373
fragmented_iter,ets,,,,23505105.0,ns,274824
fragmented_iter,ets,,,,24630307.0,ns,286275
fragmented_iter,ets,,,,25420406.0,ns,297726
fragmented_iter,ets,,,,26662607.0,ns,309177
fragmented_iter,ets,,,,27522906.0,ns,320628
fragmented_iter,ets,,,,28668908.0,ns,332079
fragmented_iter,ets,,,,29558807.0,ns,343530
fragmented_iter,ets,,,,30361808.0,ns,354981
fragmented_iter,ets,,,,31413207.0,ns,366432
fragmented_iter,ets,,,,32459909.0,ns,377883
fragmented_iter,ets,,,,33291308.0,ns,389334
fragmented_iter,ets,,,,34376809.0,ns,400785
fragmented_iter,ets,,,,35229508.0,ns,412236
fragmented_iter,ets,,,,36368009.0,ns,423687
fragmented_iter,ets,,,,37203110.0,ns,435138
fragmented_iter,ets,,,,38277109.0,ns,446589
fragmented_iter,ets,,,,39162510.0,ns,458040
fragmented_iter,ets,,,,40273410.0,ns,469491
fragmented_iter,ets,,,,41046810.0,ns,480942
fragmented_iter,ets,,,,42124011.0,ns,492393
fragmented_iter,ets,,,,43136111.0,ns,503844
fragmented_iter,ets,,,,44406311.0,ns,515295
fragmented_iter,ets,,,,44920111.0,ns,526746
fragmented_iter,ets,,,,46029312.0,ns,538197
fragmented_iter,ets,,,,47081511.0,ns,549648
fragmented_iter,ets,,,,52333913.0,ns,561099
fragmented_iter,ets,,,,50088113.0,ns,572550
fragmented_iter,ets,,,,50940513.0,ns,584001
fragmented_iter,ets,,,,51154413.0,ns,595452
fragmented_iter,ets,,,,52150313.0,ns,606903
fragmented_iter,ets,,,,53059013.0,ns,618354
fragmented_iter,ets,,,,54341713.0,ns,629805
fragmented_iter,ets,,,,54934114.0,ns,641256
fragmented_iter,ets,,,,55962314.0,ns,652707
fragmented_iter,ets,,,,56659214.0,ns,664158
fragmented_iter,ets,,,,57956215.0,ns,675609
fragmented_iter,ets,,,,60052015.0,ns,687060
fragmented_iter,ets,,,,60332115.0,ns,698511
fragmented_iter,ets,,,,60794315.0,ns,709962
fragmented_iter,ets,,,,62433816.0,ns,721413
fragmented_iter,ets,,,,63833016.0,ns,732864
fragmented_iter,ets,,,,63996216.0,ns,744315
fragmented_iter,ets,,,,64736716.0,ns,755766
fragmented_iter,ets,,,,65715416.0,ns,767217
fragmented_iter,ets,,,,66689917.0,ns,778668
fragmented_iter,ets,,,,67895217.0,ns,790119
fragmented_iter,ets,,,,68617117.0,ns,801570
fragmented_iter,ets,,,,69799018.0,ns,813021
fragmented_iter,ets,,,,70671517.0,ns,824472
fragmented_iter,ets,,,,71967918.0,ns,835923
fragmented_iter,ets,,,,72493218.0,ns,847374
fragmented_iter,ets,,,,74303219.0,ns,858825
fragmented_iter,ets,,,,74916719.0,ns,870276
fragmented_iter,ets,,,,75686119.0,ns,881727
fragmented_iter,ets,,,,76747919.0,ns,893178
fragmented_iter,ets,,,,77860619.0,ns,904629
fragmented_iter,ets,,,,78767320.0,ns,916080
fragmented_iter,ets,,,,83790117.0,ns,927531
fragmented_iter,ets,,,,82194900.0,ns,938982
fragmented_iter,ets,,,,82097000.0,ns,950433
fragmented_iter,ets,,,,82184300.0,ns,961884
fragmented_iter,ets,,,,83597300.0,ns,973335
fragmented_iter,ets,,,,84212800.0,ns,984786
fragmented_iter,ets,,,,85387000.0,ns,996237
fragmented_iter,ets,,,,86476401.0,ns,1007688
fragmented_iter,ets,,,,87296800.0,ns,1019139
fragmented_iter,ets,,,,88457000.0,ns,1030590
fragmented_iter,ets,,,,89485300.0,ns,1042041
fragmented_iter,ets,,,,90675900.0,ns,1053492
fragmented_iter,ets,,,,91261808.0,ns,1064943
fragmented_iter,ets,,,,92026924.0,ns,1076394
fragmented_iter,ets,,,,93315324.0,ns,1087845
fragmented_iter,ets,,,,93959124.0,ns,1099296
fragmented_iter,ets,,,,95367825.0,ns,1110747
fragmented_iter,ets,,,,96207525.0,ns,1122198
fragmented_iter,ets,,,,97067225.0,ns,1133649
fragmented_iter,ets,,,,98050825.0,ns,1145100
