group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,hecs,,,,980300.0,ns,2927
fragmented_iter,hecs,,,,2141500.0,ns,5854
fragmented_iter,hecs,,,,2886500.0,ns,8781
fragmented_iter,hecs,,,,4461500.0,ns,11708
fragmented_iter,hecs,,,,5570800.0,ns,14635
fragmented_iter,hecs,,,,6481800.0,ns,17562
fragmented_iter,hecs,,,,7005200.0,ns,20489
fragmented_iter,hecs,,,,8152101.0,ns,23416
fragmented_iter,hecs,,,,9251200.0,ns,26343
fragmented_iter,hecs,,,,10172600.0,ns,29270
fragmented_iter,hecs,,,,10799000.0,ns,32197
fragmented_iter,hecs,,,,12142000.0,ns,35124
fragmented_iter,hecs,,,,13194600.0,ns,38051
fragmented_iter,hecs,,,,14074800.0,ns,40978
fragmented_iter,hecs,,,,14978800.0,ns,43905
fragmented_iter,hecs,,,,16245400.0,ns,46832
fragmented_iter,hecs,,,,16943600.0,ns,49759
fragmented_iter,hecs,,,,17606000.0,ns,52686
fragmented_iter,hecs,,,,18642700.0,ns,55613
fragmented_iter,hecs,,,,19828200.0,ns,58540
fragmented_iter,hecs,,,,20966400.0,ns,61467
fragmented_iter,hecs,,,,21860600.0,ns,64394
fragmented_iter,hecs,,,,22723000.0,ns,67321
fragmented_iter,hecs,,,,23401300.0,ns,70248
fragmented_iter,hecs,,,,24245800.0,ns,73175
fragmented_iter,hecs,,,,25540100.0,ns,76102
fragmented_iter,hecs,,,,25963100.0,ns,79029
fragmented_iter,hecs,,,,27489701.0,ns,81956
fragmented_iter,hecs,,,,28734700.0,ns,84883
fragmented_iter,hecs,,,,29787500.0,ns,87810
fragmented_iter,hecs,,,,31538900.0,ns,90737
fragmented_iter,hecs,,,,31005900.0,ns,93664
fragmented_iter,hecs,,,,32388500.0,ns,96591
fragmented_iter,hecs,,,,33959700.0,ns,99518
fragmented_iter,hecs,,,,34471100.0,ns,102445
fragmented_iter,hecs,,,,35565300.0,ns,105372
fragmented_iter,hecs,,,,35807800.0,ns,108299
fragmented_iter,hecs,,,,37614600.0,ns,111226
fragmented_iter,hecs,,,,41225901.0,ns,114153
fragmented_iter,hecs,,,,40090800.0,ns,117080
fragmented_iter,hecs,,,,40584000.0,ns,120007
fragmented_iter,hecs,,,,41437100.0,ns,122934
fragmented_iter,hecs,,,,43183400.0,ns,125861
fragmented_iter,hecs,,,,42800200.0,ns,128788
fragmented_iter,hecs,,,,44111300.0,ns,131715
fragmented_iter,hecs,,,,45369400.0,ns,134642
fragmented_iter,hecs,,,,46927701.0,ns,137569
fragmented_iter,hecs,,,,47262400.0,ns,140496
fragmented_iter,hecs,,,,48008400.0,ns,143423
fragmented_iter,hecs,,,,50095500.0,ns,146350
fragmented_iter,hecs,,,,50435900.0,ns,149277
fragmented_iter,hecs,,,,50829200.0,ns,152204
fragmented_iter,hecs,,,,52152900.0,ns,155131
fragmented_iter,hecs,,,,53345601.0,ns,158058
fragmented_iter,hecs,,,,55606700.0,ns,160985
fragmented_iter,hecs,,,,55104100.0,ns,163912
fragmented_iter,hecs,,,,56582900.0,ns,166839
fragmented_iter,hecs,,,,56319100.0,ns,169766
fragmented_iter,hecs,,,,56901800.0,ns,172693
fragmented_iter,hecs,,,,58472901.0,ns,175620
fragmented_iter,hecs,,,,58920800.0,ns,178547
fragmented_iter,hecs,,,,60321000.0,ns,181474
fragmented_iter,hecs,,,,62266500.0,ns,184401
fragmented_iter,hecs,,,,62898800.0,ns,187328
fragmented_iter,hecs,,,,64554200.0,ns,190255
fragmented_iter,hecs,,,,65204401.0,ns,193182
fragmented_iter,hecs,,,,65797200.0,ns,196109
fragmented_iter,hecs,,,,68204500.0,ns,199036
fragmented_iter,hecs,,,,67326200.0,ns,201963
fragmented_iter,hecs,,,,69187700.0,ns,204890
fragmented_iter,hecs,,,,69725901.0,ns,207817
fragmented_iter,hecs,,,,70823900.0,ns,210744
fragmented_iter,hecs,,,,71801400.0,ns,213671
fragmented_iter,hecs,,,,72061700.0,ns,216598
fragmented_iter,hecs,,,,82392300.0,ns,219525
fragmented_iter,hecs,,,,77058801.0,ns,222452
fragmented_iter,hecs,,,,78735800.0,ns,225379
fragmented_iter,hecs,,,,81555063.0,ns,228306
fragmented_iter,hecs,,,,81161058.0,ns,231233
fragmented_iter,hecs,,,,84847956.0,ns,234160
fragmented_iter,hecs,,,,81762158.0,ns,237087
fragmented_iter,hecs,,,,84682356.0,ns,240014
fragmented_iter,hecs,,,,83072957.0,ns,242941
fragmented_iter,hecs,,,,84558056.0,ns,245868
fragmented_iter,hecs,,,,85786856.0,ns,248795
fragmented_iter,hecs,,,,84191657.0,ns,251722
fragmented_iter,hecs,,,,86827655.0,ns,254649
fragmented_iter,hecs,,,,86322555.0,ns,257576
fragmented_iter,hecs,,,,88180655.0,ns,260503
fragmented_iter,hecs,,,,89985454.0,ns,263430
fragmented_iter,hecs,,,,90129453.0,ns,266357
fragmented_iter,hecs,,,,91625353.0,ns,269284
fragmented_iter,hecs,,,,92312552.0,ns,272211
fragmented_iter,hecs,,,,91727653.0,ns,275138
fragmented_iter,hecs,,,,92140452.0,ns,278065
fragmented_iter,hecs,,,,95291251.0,ns,280992
fragmented_iter,hecs,,,,96254950.0,ns,283919
fragmented_iter,hecs,,,,96194451.0,ns,286846
fragmented_iter,hecs,,,,99988048.0,ns,289773
fragmented_iter,hecs,,,,100351848.0,ns,292700
