group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,legion,,,,993700.0,ns,2917
fragmented_iter,legion,,,,1928500.0,ns,5834
fragmented_iter,legion,,,,2925600.0,ns,8751
fragmented_iter,legion,,,,4248900.0,ns,11668
fragmented_iter,legion,,,,5716600.0,ns,14585
fragmented_iter,legion,,,,6060200.0,ns,17502
fragmented_iter,legion,,,,6781300.0,ns,20419
fragmented_iter,legion,,,,7969800.0,ns,23336
fragmented_iter,legion,,,,8723200.0,ns,26253
fragmented_iter,legion,,,,9964700.0,ns,29170
fragmented_iter,legion,,,,12266100.0,ns,32087
fragmented_iter,legion,,,,13037300.0,ns,35004
fragmented_iter,legion,,,,13027100.0,ns,37921
fragmented_iter,legion,,,,13942000.0,ns,40838
fragmented_iter,legion,,,,15023900.0,ns,43755
fragmented_iter,legion,,,,16041600.0,ns,46672
fragmented_iter,legion,,,,17027300.0,ns,49589
fragmented_iter,legion,,,,17746300.0,ns,52506
fragmented_iter,legion,,,,18892400.0,ns,55423
fragmented_iter,legion,,,,19732000.0,ns,58340
fragmented_iter,legion,,,,21320200.0,ns,61257
fragmented_iter,legion,,,,21761100.0,ns,64174
fragmented_iter,legion,,,,22295700.0,ns,67091
fragmented_iter,legion,,,,23592601.0,ns,70008
fragmented_iter,legion,,,,24379300.0,ns,72925
fragmented_iter,legion,,,,25377000.0,ns,75842
fragmented_iter,legion,,,,26590900.0,ns,78759
fragmented_iter,legion,,,,27965600.0,ns,81676
fragmented_iter,legion,,,,28383300.0,ns,84593
fragmented_iter,legion,,,,29043600.0,ns,87510
fragmented_iter,legion,,,,30240300.0,ns,90427
fragmented_iter,legion,,,,32351400.0,ns,93344
fragmented_iter,legion,,,,32273400.0,ns,96261
fragmented_iter,legion,,,,33227500.0,ns,99178
fragmented_iter,legion,,,,34068000.0,ns,102095
fragmented_iter,legion,,,,35457500.0,ns,105012
fragmented_iter,legion,,,,36431900.0,ns,107929
fragmented_iter,legion,,,,37365500.0,ns,110846
fragmented_iter,legion,,,,37722101.0,ns,113763
fragmented_iter,legion,,,,38674500.0,ns,116680
fragmented_iter,legion,,,,39748100.0,ns,119597
fragmented_iter,legion,,,,40603201.0,ns,122514
fragmented_iter,legion,,,,41870503.0,ns,125431
fragmented_iter,legion,,,,42520102.0,ns,128348
fragmented_iter,legion,,,,45202302.0,ns,131265
fragmented_iter,legion,,,,44767703.0,ns,134182
fragmented_iter,legion,,,,45426102.0,ns,137099
fragmented_iter,legion,,,,46263903.0,ns,140016
fragmented_iter,legion,,,,48179502.0,ns,142933
fragmented_iter,legion,,,,49075803.0,ns,145850
fragmented_iter,legion,,,,49734102.0,ns,148767
fragmented_iter,legion,,,,50330003.0,ns,151684
fragmented_iter,legion,,,,51656503.0,ns,154601
fragmented_iter,legion,,,,52228002.0,ns,157518
fragmented_iter,legion,,,,53195503.0,ns,160435
fragmented_iter,legion,,,,54615603.0,ns,163352
fragmented_iter,legion,,,,55978703.0,ns,166269
fragmented_iter,legion,,,,56394803.0,ns,169186
fragmented_iter,legion,,,,57620403.0,ns,172103
fragmented_iter,legion,,,,57967403.0,ns,175020
fragmented_iter,legion,,,,59064903.0,ns,177937
fragmented_iter,legion,,,,60119804.0,ns,180854
fragmented_iter,legion,,,,62158703.0,ns,183771
fragmented_iter,legion,,,,63174603.0,ns,186688
fragmented_iter,legion,,,,64758404.0,ns,189605
fragmented_iter,legion,,,,68871803.0,ns,192522
fragmented_iter,legion,,,,67183104.0,ns,195439
fragmented_iter,legion,,,,68612503.0,ns,198356
fragmented_iter,legion,,,,67875404.0,ns,201273
fragmented_iter,legion,,,,67639104.0,ns,204190
fragmented_iter,legion,,,,69089603.0,ns,207107
fragmented_iter,legion,,,,69604204.0,ns,210024
fragmented_iter,legion,,,,71063704.0,ns,212941
fragmented_iter,legion,,,,72064803.0,ns,215858
fragmented_iter,legion,,,,73661104.0,ns,218775
fragmented_iter,legion,,,,73966204.0,ns,221692
fragmented_iter,legion,,,,75017604.0,ns,224609
fragmented_iter,legion,,,,76088804.0,ns,227526
fragmented_iter,legion,,,,76780104.0,ns,230443
fragmented_iter,legion,,,,77361004.0,ns,233360
fragmented_iter,legion,,,,78745405.0,ns,236277
fragmented_iter,legion,,,,80034404.0,ns,239194
fragmented_iter,legion,,,,80843904.0,ns,242111
fragmented_iter,legion,,,,81177804.0,ns,245028
fragmented_iter,legion,,,,82496005.0,ns,247945
fragmented_iter,legion,,,,83802904.0,ns,250862
fragmented_iter,legion,,,,84642005.0,ns,253779
fragmented_iter,legion,,,,85862504.0,ns,256696
fragmented_iter,legion,,,,86341905.0,ns,259613
fragmented_iter,legion,,,,88264004.0,ns,262530
fragmented_iter,legion,,,,88181705.0,ns,265447
fragmented_iter,legion,,,,93261005.0,ns,268364
fragmented_iter,legion,,,,91273205.0,ns,271281
fragmented_iter,legion,,,,92273205.0,ns,274198
fragmented_iter,legion,,,,91809304.0,ns,277115
fragmented_iter,legion,,,,92703905.0,ns,280032
fragmented_iter,legion,,,,93747205.0,ns,282949
fragmented_iter,legion,,,,95472205.0,ns,285866
fragmented_iter,legion,,,,95711205.0,ns,288783
fragmented_iter,legion,,,,97857806.0,ns,291700
