group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,planck_ecs,,,,1049600.0,ns,3583
fragmented_iter,planck_ecs,,,,1962099.0,ns,7166
fragmented_iter,planck_ecs,,,,3006800.0,ns,10749
fragmented_iter,planck_ecs,,,,4282600.0,ns,14332
fragmented_iter,planck_ecs,,,,5126800.0,ns,17915
fragmented_iter,planck_ecs,,,,6341300.0,ns,21498
fragmented_iter,planck_ecs,,,,6871599.0,ns,25081
fragmented_iter,planck_ecs,,,,8092300.0,ns,28664
fragmented_iter,planck_ecs,,,,9066700.0,ns,32247
fragmented_iter,planck_ecs,,,,10041099.0,ns,35830
fragmented_iter,planck_ecs,,,,11126800.0,ns,39413
fragmented_iter,planck_ecs,,,,12033399.0,ns,42996
fragmented_iter,planck_ecs,,,,13092600.0,ns,46579
fragmented_iter,planck_ecs,,,,14057699.0,ns,50162
fragmented_iter,planck_ecs,,,,15101000.0,ns,53745
fragmented_iter,planck_ecs,,,,16023499.0,ns,57328
fragmented_iter,planck_ecs,,,,16695699.0,ns,60911
fragmented_iter,planck_ecs,,,,17632200.0,ns,64494
fragmented_iter,planck_ecs,,,,18722199.0,ns,68077
fragmented_iter,planck_ecs,,,,19693099.0,ns,71660
fragmented_iter,planck_ecs,,,,20597899.0,ns,75243
fragmented_iter,planck_ecs,,,,21718299.0,ns,78826
fragmented_iter,planck_ecs,,,,22540499.0,ns,82409
fragmented_iter,planck_ecs,,,,23545699.0,ns,85992
fragmented_iter,planck_ecs,,,,24661899.0,ns,89575
fragmented_iter,planck_ecs,,,,25633799.0,ns,93158
fragmented_iter,planck_ecs,,,,26448499.0,ns,96741
fragmented_iter,planck_ecs,,,,27526599.0,ns,100324
fragmented_iter,planck_ecs,,,,28460499.0,ns,103907
fragmented_iter,planck_ecs,,,,29564699.0,ns,107490
fragmented_iter,planck_ecs,,,,30749798.0,ns,111073
fragmented_iter,planck_ecs,,,,35468699.0,ns,114656
fragmented_iter,planck_ecs,,,,33188297.0,ns,118239
fragmented_iter,planck_ecs,,,,34151198.0,ns,121822
fragmented_iter,planck_ecs,,,,35184098.0,ns,125405
fragmented_iter,planck_ecs,,,,35397597.0,ns,128988
fragmented_iter,planck_ecs,,,,36346098.0,ns,132571
fragmented_iter,planck_ecs,,,,37386797.0,ns,136154
fragmented_iter,planck_ecs,,,,38383997.0,ns,139737
fragmented_iter,planck_ecs,,,,39268098.0,ns,143320
fragmented_iter,planck_ecs,,,,40322497.0,ns,146903
fragmented_iter,planck_ecs,,,,41352197.0,ns,150486
fragmented_iter,planck_ecs,,,,42279397.0,ns,154069
fragmented_iter,planck_ecs,,,,43283397.0,ns,157652
fragmented_iter,planck_ecs,,,,44252697.0,ns,161235
fragmented_iter,planck_ecs,,,,45200797.0,ns,164818
fragmented_iter,planck_ecs,,,,46488597.0,ns,168401
fragmented_iter,planck_ecs,,,,47132396.0,ns,171984
fragmented_iter,planck_ecs,,,,48369097.0,ns,175567
fragmented_iter,planck_ecs,,,,49248797.0,ns,179150
