group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,shipyard,,,,1064600.0,ns,13198
fragmented_iter,shipyard,,,,2228600.0,ns,26396
fragmented_iter,shipyard,,,,3529800.0,ns,39594
fragmented_iter,shipyard,,,,4201600.0,ns,52792
fragmented_iter,shipyard,,,,5044400.0,ns,65990
fragmented_iter,shipyard,,,,6183900.0,ns,79188
fragmented_iter,shipyard,,,,6947000.0,ns,92386
fragmented_iter,shipyard,,,,8266200.0,ns,105584
fragmented_iter,shipyard,,,,8951200.0,ns,118782
fragmented_iter,shipyard,,,,10464499.0,ns,131980
fragmented_iter,shipyard,,,,11068400.0,ns,145178
fragmented_iter,shipyard,,,,12039700.0,ns,158376
fragmented_iter,shipyard,,,,13007400.0,ns,171574
fragmented_iter,shipyard,,,,14029500.0,ns,184772
fragmented_iter,shipyard,,,,15045299.0,ns,197970
fragmented_iter,shipyard,,,,16040700.0,ns,211168
fragmented_iter,shipyard,,,,17040800.0,ns,224366
fragmented_iter,shipyard,,,,17663099.0,ns,237564
fragmented_iter,shipyard,,,,18631900.0,ns,250762
fragmented_iter,shipyard,,,,19924200.0,ns,263960
fragmented_iter,shipyard,,,,20891099.0,ns,277158
fragmented_iter,shipyard,,,,21702100.0,ns,290356
fragmented_iter,shipyard,,,,22705500.0,ns,303554
fragmented_iter,shipyard,,,,23630699.0,ns,316752
fragmented_iter,shipyard,,,,24643200.0,ns,329950
fragmented_iter,shipyard,,,,25599500.0,ns,343148
fragmented_iter,shipyard,,,,26558699.0,ns,356346
fragmented_iter,shipyard,,,,27916600.0,ns,369544
fragmented_iter,shipyard,,,,28654399.0,ns,382742
fragmented_iter,shipyard,,,,29739000.0,ns,395940
fragmented_iter,shipyard,,,,30638199.0,ns,409138
fragmented_iter,shipyard,,,,31845300.0,ns,422336
fragmented_iter,shipyard,,,,32734599.0,ns,435534
fragmented_iter,shipyard,,,,33562599.0,ns,448732
fragmented_iter,shipyard,,,,34400800.0,ns,461930
fragmented_iter,shipyard,,,,35473299.0,ns,475128
fragmented_iter,shipyard,,,,36387300.0,ns,488326
fragmented_iter,shipyard,,,,37882899.0,ns,501524
fragmented_iter,shipyard,,,,38643199.0,ns,514722
fragmented_iter,shipyard,,,,39503100.0,ns,527920
fragmented_iter,shipyard,,,,40166799.0,ns,541118
fragmented_iter,shipyard,,,,41913999.0,ns,554316
fragmented_iter,shipyard,,,,42927700.0,ns,567514
fragmented_iter,shipyard,,,,45343299.0,ns,580712
fragmented_iter,shipyard,,,,44542399.0,ns,593910
fragmented_iter,shipyard,,,,46453399.0,ns,607108
fragmented_iter,shipyard,,,,52650000.0,ns,620306
fragmented_iter,shipyard,,,,48987099.0,ns,633504
fragmented_iter,shipyard,,,,48433499.0,ns,646702
fragmented_iter,shipyard,,,,49353199.0,ns,659900
fragmented_iter,shipyard,,,,50524599.0,ns,673098
fragmented_iter,shipyard,,,,51518699.0,ns,686296
fragmented_iter,shipyard,,,,52065700.0,ns,699494
fragmented_iter,shipyard,,,,53500699.0,ns,712692
fragmented_iter,shipyard,,,,53929899.0,ns,725890
fragmented_iter,shipyard,,,,54944299.0,ns,739088
fragmented_iter,shipyard,,,,55968299.0,ns,752286
fragmented_iter,shipyard,,,,56977699.0,ns,765484
fragmented_iter,shipyard,,,,58053799.0,ns,778682
fragmented_iter,shipyard,,,,59071999.0,ns,791880
fragmented_iter,shipyard,,,,59938799.0,ns,805078
fragmented_iter,shipyard,,,,60828599.0,ns,818276
fragmented_iter,shipyard,,,,62054099.0,ns,831474
fragmented_iter,shipyard,,,,66881299.0,ns,844672
fragmented_iter,shipyard,,,,65189599.0,ns,857870
fragmented_iter,shipyard,,,,65067899.0,ns,871068
fragmented_iter,shipyard,,,,65863599.0,ns,884266
fragmented_iter,shipyard,,,,66707698.0,ns,897464
fragmented_iter,shipyard,,,,67693899.0,ns,910662
fragmented_iter,shipyard,,,,68653099.0,ns,923860
fragmented_iter,shipyard,,,,70003699.0,ns,937058
fragmented_iter,shipyard,,,,70641199.0,ns,950256
fragmented_iter,shipyard,,,,71531699.0,ns,963454
fragmented_iter,shipyard,,,,72594198.0,ns,976652
fragmented_iter,shipyard,,,,74625799.0,ns,989850
fragmented_iter,shipyard,,,,75202599.0,ns,1003048
fragmented_iter,shipyard,,,,75700599.0,ns,1016246
