group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,bevy,,,,1470400.0,ns,1
heavy_compute,bevy,,,,2896200.0,ns,2
heavy_compute,bevy,,,,5304200.0,ns,3
heavy_compute,bevy,,,,7556500.0,ns,4
heavy_compute,bevy,,,,8102400.0,ns,5
heavy_compute,bevy,,,,9465300.0,ns,6
heavy_compute,bevy,,,,10455900.0,ns,7
heavy_compute,bevy,,,,12266200.0,ns,8
heavy_compute,bevy,,,,13557600.0,ns,9
heavy_compute,bevy,,,,15785100.0,ns,10
heavy_compute,bevy,,,,16470100.0,ns,11
heavy_compute,bevy,,,,18289200.0,ns,12
heavy_compute,bevy,,,,19719000.0,ns,13
heavy_compute,bevy,,,,20883200.0,ns,14
heavy_compute,bevy,,,,22604500.0,ns,15
heavy_compute,bevy,,,,24702000.0,ns,16
heavy_compute,bevy,,,,27446000.0,ns,17
heavy_compute,bevy,,,,27311000.0,ns,18
heavy_compute,bevy,,,,28297600.0,ns,19
heavy_compute,bevy,,,,33202000.0,ns,20
heavy_compute,bevy,,,,37648699.0,ns,21
heavy_compute,bevy,,,,37146200.0,ns,22
heavy_compute,bevy,,,,38787700.0,ns,23
heavy_compute,bevy,,,,36463200.0,ns,24
heavy_compute,bevy,,,,39092200.0,ns,25
heavy_compute,bevy,,,,39634300.0,ns,26
heavy_compute,bevy,,,,40543300.0,ns,27
heavy_compute,bevy,,,,41955800.0,ns,28
heavy_compute,bevy,,,,43724800.0,ns,29
heavy_compute,bevy,,,,45188700.0,ns,30
heavy_compute,bevy,,,,46463200.0,ns,31
heavy_compute,bevy,,,,48696300.0,ns,32
heavy_compute,bevy,,,,50218100.0,ns,33
heavy_compute,bevy,,,,52668600.0,ns,34
heavy_compute,bevy,,,,52855999.0,ns,35
heavy_compute,bevy,,,,54599900.0,ns,36
heavy_compute,bevy,,,,55042200.0,ns,37
heavy_compute,bevy,,,,57115200.0,ns,38
heavy_compute,bevy,,,,58187800.0,ns,39
heavy_compute,bevy,,,,59870100.0,ns,40
heavy_compute,bevy,,,,62363300.0,ns,41
heavy_compute,bevy,,,,63135800.0,ns,42
heavy_compute,bevy,,,,64631200.0,ns,43
heavy_compute,bevy,,,,66937300.0,ns,44
heavy_compute,bevy,,,,73800499.0,ns,45
heavy_compute,bevy,,,,70554700.0,ns,46
heavy_compute,bevy,,,,69892900.0,ns,47
heavy_compute,bevy,,,,71741000.0,ns,48
heavy_compute,bevy,,,,74504600.0,ns,49
heavy_compute,bevy,,,,75185000.0,ns,50
heavy_compute,bevy,,,,77402300.0,ns,51
heavy_compute,bevy,,,,78166400.0,ns,52
heavy_compute,bevy,,,,79687899.0,ns,53
heavy_compute,bevy,,,,81429000.0,ns,54
heavy_compute,bevy,,,,82365500.0,ns,55
heavy_compute,bevy,,,,85531400.0,ns,56
heavy_compute,bevy,,,,86875400.0,ns,57
heavy_compute,bevy,,,,87522500.0,ns,58
heavy_compute,bevy,,,,88739500.0,ns,59
heavy_compute,bevy,,,,90741299.0,ns,60
heavy_compute,bevy,,,,91067900.0,ns,61
heavy_compute,bevy,,,,93353600.0,ns,62
heavy_compute,bevy,,,,94599200.0,ns,63
heavy_compute,bevy,,,,95313100.0,ns,64
heavy_compute,bevy,,,,98869300.0,ns,65
heavy_compute,bevy,,,,98802699.0,ns,66
heavy_compute,bevy,,,,101973600.0,ns,67
heavy_compute,bevy,,,,102905800.0,ns,68
heavy_compute,bevy,,,,112682700.0,ns,69
heavy_compute,bevy,,,,103919000.0,ns,70
heavy_compute,bevy,,,,107130500.0,ns,71
heavy_compute,bevy,,,,108657399.0,ns,72
heavy_compute,bevy,,,,110894100.0,ns,73
heavy_compute,bevy,,,,114301000.0,ns,74
heavy_compute,bevy,,,,113274200.0,ns,75
heavy_compute,bevy,,,,114916500.0,ns,76
heavy_compute,bevy,,,,117048499.0,ns,77
heavy_compute,bevy,,,,117059400.0,ns,78
heavy_compute,bevy,,,,119313000.0,ns,79
heavy_compute,bevy,,,,119049800.0,ns,80
heavy_compute,bevy,,,,122437800.0,ns,81
heavy_compute,bevy,,,,122555499.0,ns,82
heavy_compute,bevy,,,,124937500.0,ns,83
heavy_compute,bevy,,,,125170400.0,ns,84
heavy_compute,bevy,,,,127831900.0,ns,85
heavy_compute,bevy,,,,133170500.0,ns,86
heavy_compute,bevy,,,,133491899.0,ns,87
heavy_compute,bevy,,,,131791000.0,ns,88
heavy_compute,bevy,,,,135347900.0,ns,89
heavy_compute,bevy,,,,135231300.0,ns,90
heavy_compute,bevy,,,,136277599.0,ns,91
heavy_compute,bevy,,,,137642000.0,ns,92
heavy_compute,bevy,,,,139024400.0,ns,93
heavy_compute,bevy,,,,140425100.0,ns,94
heavy_compute,bevy,,,,141928100.0,ns,95
heavy_compute,bevy,,,,143812499.0,ns,96
heavy_compute,bevy,,,,145139800.0,ns,97
heavy_compute,bevy,,,,146593200.0,ns,98
heavy_compute,bevy,,,,148589100.0,ns,99
heavy_compute,bevy,,,,151590499.0,ns,100
