group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,ets,,,,1428900.0,ns,1
heavy_compute,ets,,,,2087000.0,ns,2
heavy_compute,ets,,,,3744900.0,ns,3
heavy_compute,ets,,,,7094700.0,ns,4
heavy_compute,ets,,,,7486600.0,ns,5
heavy_compute,ets,,,,5819100.0,ns,6
heavy_compute,ets,,,,9748000.0,ns,7
heavy_compute,ets,,,,8693800.0,ns,8
heavy_compute,ets,,,,10852300.0,ns,9
heavy_compute,ets,,,,11871700.0,ns,10
heavy_compute,ets,,,,13182201.0,ns,11
heavy_compute,ets,,,,12741000.0,ns,12
heavy_compute,ets,,,,13053000.0,ns,13
heavy_compute,ets,,,,14316200.0,ns,14
heavy_compute,ets,,,,17478000.0,ns,15
heavy_compute,ets,,,,18497300.0,ns,16
heavy_compute,ets,,,,19990200.0,ns,17
heavy_compute,ets,,,,20874700.0,ns,18
heavy_compute,ets,,,,21644000.0,ns,19
heavy_compute,ets,,,,20745301.0,ns,20
heavy_compute,ets,,,,23762300.0,ns,21
heavy_compute,ets,,,,25427000.0,ns,22
heavy_compute,ets,,,,26882000.0,ns,23
heavy_compute,ets,,,,22080800.0,ns,24
heavy_compute,ets,,,,30389300.0,ns,25
heavy_compute,ets,,,,25702901.0,ns,26
heavy_compute,ets,,,,25321200.0,ns,27
heavy_compute,ets,,,,31495000.0,ns,28
heavy_compute,ets,,,,31567500.0,ns,29
heavy_compute,ets,,,,33192700.0,ns,30
heavy_compute,ets,,,,34704301.0,ns,31
heavy_compute,ets,,,,33033200.0,ns,32
heavy_compute,ets,,,,35941400.0,ns,33
heavy_compute,ets,,,,38990900.0,ns,34
heavy_compute,ets,,,,38677401.0,ns,35
heavy_compute,ets,,,,39472500.0,ns,36
heavy_compute,ets,,,,39140700.0,ns,37
heavy_compute,ets,,,,41960000.0,ns,38
heavy_compute,ets,,,,42920801.0,ns,39
heavy_compute,ets,,,,45475100.0,ns,40
heavy_compute,ets,,,,49599400.0,ns,41
heavy_compute,ets,,,,45466700.0,ns,42
heavy_compute,ets,,,,47472501.0,ns,43
heavy_compute,ets,,,,51024600.0,ns,44
heavy_compute,ets,,,,52282900.0,ns,45
heavy_compute,ets,,,,50970901.0,ns,46
heavy_compute,ets,,,,53404400.0,ns,47
heavy_compute,ets,,,,49548700.0,ns,48
heavy_compute,ets,,,,57662201.0,ns,49
heavy_compute,ets,,,,56674500.0,ns,50
heavy_compute,ets,,,,54860001.0,ns,51
heavy_compute,ets,,,,55592100.0,ns,52
heavy_compute,ets,,,,57406200.0,ns,53
heavy_compute,ets,,,,48738301.0,ns,54
heavy_compute,ets,,,,77892900.0,ns,55
heavy_compute,ets,,,,71670101.0,ns,56
heavy_compute,ets,,,,65960100.0,ns,57
heavy_compute,ets,,,,59729400.0,ns,58
heavy_compute,ets,,,,70064601.0,ns,59
heavy_compute,ets,,,,64971100.0,ns,60
heavy_compute,ets,,,,71183001.0,ns,61
heavy_compute,ets,,,,66519900.0,ns,62
heavy_compute,ets,,,,68671501.0,ns,63
heavy_compute,ets,,,,67210800.0,ns,64
heavy_compute,ets,,,,76353300.0,ns,65
heavy_compute,ets,,,,69137801.0,ns,66
heavy_compute,ets,,,,72246100.0,ns,67
heavy_compute,ets,,,,74524301.0,ns,68
heavy_compute,ets,,,,72969700.0,ns,69
heavy_compute,ets,,,,79344201.0,ns,70
heavy_compute,ets,,,,74534100.0,ns,71
heavy_compute,ets,,,,78459601.0,ns,72
heavy_compute,ets,,,,79407000.0,ns,73
heavy_compute,ets,,,,85872001.0,ns,74
heavy_compute,ets,,,,85262700.0,ns,75
heavy_compute,ets,,,,84919301.0,ns,76
heavy_compute,ets,,,,84984800.0,ns,77
heavy_compute,ets,,,,94537501.0,ns,78
heavy_compute,ets,,,,90858101.0,ns,79
heavy_compute,ets,,,,86839500.0,ns,80
heavy_compute,ets,,,,84403301.0,ns,81
heavy_compute,ets,,,,88087200.0,ns,82
heavy_compute,ets,,,,85076401.0,ns,83
heavy_compute,ets,,,,84878700.0,ns,84
heavy_compute,ets,,,,96444001.0,ns,85
heavy_compute,ets,,,,99837901.0,ns,86
heavy_compute,ets,,,,98248100.0,ns,87
heavy_compute,ets,,,,95358001.0,ns,88
heavy_compute,ets,,,,103763901.0,ns,89
heavy_compute,ets,,,,99104900.0,ns,90
heavy_compute,ets,,,,101306101.0,ns,91
heavy_compute,ets,,,,100241401.0,ns,92
heavy_compute,ets,,,,96699100.0,ns,93
heavy_compute,ets,,,,101268101.0,ns,94
heavy_compute,ets,,,,110259401.0,ns,95
heavy_compute,ets,,,,110344000.0,ns,96
heavy_compute,ets,,,,106480701.0,ns,97
heavy_compute,ets,,,,106917001.0,ns,98
heavy_compute,ets,,,,111922200.0,ns,99
heavy_compute,ets,,,,111880101.0,ns,100
