group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,hecs,,,,1002300.0,ns,1
heavy_compute,hecs,,,,1949200.0,ns,2
heavy_compute,hecs,,,,3112000.0,ns,3
heavy_compute,hecs,,,,4636400.0,ns,4
heavy_compute,hecs,,,,6832600.0,ns,5
heavy_compute,hecs,,,,6076800.0,ns,6
heavy_compute,hecs,,,,7657800.0,ns,7
heavy_compute,hecs,,,,8554500.0,ns,8
heavy_compute,hecs,,,,10078101.0,ns,9
heavy_compute,hecs,,,,10471300.0,ns,10
heavy_compute,hecs,,,,11797200.0,ns,11
heavy_compute,hecs,,,,12363200.0,ns,12
heavy_compute,hecs,,,,13073000.0,ns,13
heavy_compute,hecs,,,,14100500.0,ns,14
heavy_compute,hecs,,,,14910501.0,ns,15
heavy_compute,hecs,,,,16325500.0,ns,16
heavy_compute,hecs,,,,17387900.0,ns,17
heavy_compute,hecs,,,,18371000.0,ns,18
heavy_compute,hecs,,,,19610201.0,ns,19
heavy_compute,hecs,,,,20947100.0,ns,20
heavy_compute,hecs,,,,21968500.0,ns,21
heavy_compute,hecs,,,,22376700.0,ns,22
heavy_compute,hecs,,,,23894701.0,ns,23
heavy_compute,hecs,,,,24986900.0,ns,24
heavy_compute,hecs,,,,25647700.0,ns,25
heavy_compute,hecs,,,,27041401.0,ns,26
heavy_compute,hecs,,,,27836200.0,ns,27
heavy_compute,hecs,,,,28259101.0,ns,28
heavy_compute,hecs,,,,29273300.0,ns,29
heavy_compute,hecs,,,,30350000.0,ns,30
heavy_compute,hecs,,,,31528901.0,ns,31
heavy_compute,hecs,,,,32542200.0,ns,32
heavy_compute,hecs,,,,33676701.0,ns,33
heavy_compute,hecs,,,,34854400.0,ns,34
heavy_compute,hecs,,,,35210701.0,ns,35
heavy_compute,hecs,,,,37495100.0,ns,36
heavy_compute,hecs,,,,38073701.0,ns,37
heavy_compute,hecs,,,,38608600.0,ns,38
heavy_compute,hecs,,,,39336801.0,ns,39
heavy_compute,hecs,,,,40386000.0,ns,40
heavy_compute,hecs,,,,42604701.0,ns,41
heavy_compute,hecs,,,,41908701.0,ns,42
heavy_compute,hecs,,,,44260800.0,ns,43
heavy_compute,hecs,,,,44089201.0,ns,44
heavy_compute,hecs,,,,46488600.0,ns,45
heavy_compute,hecs,,,,46503401.0,ns,46
heavy_compute,hecs,,,,48873201.0,ns,47
heavy_compute,hecs,,,,48393400.0,ns,48
heavy_compute,hecs,,,,49881601.0,ns,49
heavy_compute,hecs,,,,50810201.0,ns,50
heavy_compute,hecs,,,,50819800.0,ns,51
heavy_compute,hecs,,,,54583701.0,ns,52
heavy_compute,hecs,,,,53570601.0,ns,53
heavy_compute,hecs,,,,55359901.0,ns,54
heavy_compute,hecs,,,,55888200.0,ns,55
heavy_compute,hecs,,,,56143501.0,ns,56
heavy_compute,hecs,,,,58508701.0,ns,57
heavy_compute,hecs,,,,60229601.0,ns,58
heavy_compute,hecs,,,,60085801.0,ns,59
heavy_compute,hecs,,,,61827000.0,ns,60
heavy_compute,hecs,,,,62809601.0,ns,61
heavy_compute,hecs,,,,63932401.0,ns,62
heavy_compute,hecs,,,,64416601.0,ns,63
heavy_compute,hecs,,,,64489101.0,ns,64
heavy_compute,hecs,,,,66579001.0,ns,65
heavy_compute,hecs,,,,65465301.0,ns,66
heavy_compute,hecs,,,,68719901.0,ns,67
heavy_compute,hecs,,,,69186501.0,ns,68
heavy_compute,hecs,,,,70783501.0,ns,69
heavy_compute,hecs,,,,71834801.0,ns,70
heavy_compute,hecs,,,,71807601.0,ns,71
heavy_compute,hecs,,,,73355601.0,ns,72
heavy_compute,hecs,,,,73799501.0,ns,73
heavy_compute,hecs,,,,74143801.0,ns,74
heavy_compute,hecs,,,,75692601.0,ns,75
heavy_compute,hecs,,,,77437403.0,ns,76
heavy_compute,hecs,,,,77860302.0,ns,77
heavy_compute,hecs,,,,77232602.0,ns,78
heavy_compute,hecs,,,,80805302.0,ns,79
heavy_compute,hecs,,,,81569302.0,ns,80
heavy_compute,hecs,,,,83188703.0,ns,81
heavy_compute,hecs,,,,85913802.0,ns,82
heavy_compute,hecs,,,,85286402.0,ns,83
heavy_compute,hecs,,,,85185503.0,ns,84
heavy_compute,hecs,,,,87291602.0,ns,85
heavy_compute,hecs,,,,87327802.0,ns,86
heavy_compute,hecs,,,,89456603.0,ns,87
heavy_compute,hecs,,,,91112502.0,ns,88
heavy_compute,hecs,,,,90933303.0,ns,89
heavy_compute,hecs,,,,89711202.0,ns,90
heavy_compute,hecs,,,,91504103.0,ns,91
heavy_compute,hecs,,,,93465702.0,ns,92
heavy_compute,hecs,,,,93543403.0,ns,93
heavy_compute,hecs,,,,95659302.0,ns,94
heavy_compute,hecs,,,,96863103.0,ns,95
heavy_compute,hecs,,,,97206303.0,ns,96
heavy_compute,hecs,,,,98372402.0,ns,97
heavy_compute,hecs,,,,98002503.0,ns,98
heavy_compute,hecs,,,,99921303.0,ns,99
heavy_compute,hecs,,,,102545903.0,ns,100
