group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,legion (packed),,,,1039000.0,ns,1
heavy_compute,legion (packed),,,,1440600.0,ns,2
heavy_compute,legion (packed),,,,4453100.0,ns,3
heavy_compute,legion (packed),,,,7265500.0,ns,4
heavy_compute,legion (packed),,,,6269900.0,ns,5
heavy_compute,legion (packed),,,,7194200.0,ns,6
heavy_compute,legion (packed),,,,9385600.0,ns,7
heavy_compute,legion (packed),,,,6351701.0,ns,8
heavy_compute,legion (packed),,,,12177500.0,ns,9
heavy_compute,legion (packed),,,,11473000.0,ns,10
heavy_compute,legion (packed),,,,12326600.0,ns,11
heavy_compute,legion (packed),,,,13642400.0,ns,12
heavy_compute,legion (packed),,,,12813900.0,ns,13
heavy_compute,legion (packed),,,,11924700.0,ns,14
heavy_compute,legion (packed),,,,16778600.0,ns,15
heavy_compute,legion (packed),,,,16358200.0,ns,16
heavy_compute,legion (packed),,,,18717300.0,ns,17
heavy_compute,legion (packed),,,,20891900.0,ns,18
heavy_compute,legion (packed),,,,18575201.0,ns,19
heavy_compute,legion (packed),,,,21187500.0,ns,20
heavy_compute,legion (packed),,,,23200800.0,ns,21
heavy_compute,legion (packed),,,,25295200.0,ns,22
heavy_compute,legion (packed),,,,25761800.0,ns,23
heavy_compute,legion (packed),,,,27685700.0,ns,24
heavy_compute,legion (packed),,,,28406801.0,ns,25
heavy_compute,legion (packed),,,,26777000.0,ns,26
heavy_compute,legion (packed),,,,30929500.0,ns,27
heavy_compute,legion (packed),,,,29932600.0,ns,28
heavy_compute,legion (packed),,,,30684400.0,ns,29
heavy_compute,legion (packed),,,,32620101.0,ns,30
heavy_compute,legion (packed),,,,35575100.0,ns,31
heavy_compute,legion (packed),,,,34307900.0,ns,32
heavy_compute,legion (packed),,,,35159000.0,ns,33
heavy_compute,legion (packed),,,,36990200.0,ns,34
heavy_compute,legion (packed),,,,35497901.0,ns,35
heavy_compute,legion (packed),,,,44033800.0,ns,36
heavy_compute,legion (packed),,,,40848700.0,ns,37
heavy_compute,legion (packed),,,,39521401.0,ns,38
heavy_compute,legion (packed),,,,46724100.0,ns,39
heavy_compute,legion (packed),,,,46904200.0,ns,40
heavy_compute,legion (packed),,,,45134300.0,ns,41
heavy_compute,legion (packed),,,,46312301.0,ns,42
heavy_compute,legion (packed),,,,47860100.0,ns,43
heavy_compute,legion (packed),,,,44075300.0,ns,44
heavy_compute,legion (packed),,,,47545201.0,ns,45
heavy_compute,legion (packed),,,,50567000.0,ns,46
heavy_compute,legion (packed),,,,49952300.0,ns,47
heavy_compute,legion (packed),,,,52824901.0,ns,48
heavy_compute,legion (packed),,,,53736001.0,ns,49
heavy_compute,legion (packed),,,,56908801.0,ns,50
heavy_compute,legion (packed),,,,55430000.0,ns,51
heavy_compute,legion (packed),,,,53884801.0,ns,52
heavy_compute,legion (packed),,,,55513601.0,ns,53
heavy_compute,legion (packed),,,,58162601.0,ns,54
heavy_compute,legion (packed),,,,61522601.0,ns,55
heavy_compute,legion (packed),,,,60877301.0,ns,56
heavy_compute,legion (packed),,,,63024102.0,ns,57
heavy_compute,legion (packed),,,,62816801.0,ns,58
heavy_compute,legion (packed),,,,61958801.0,ns,59
heavy_compute,legion (packed),,,,66120501.0,ns,60
heavy_compute,legion (packed),,,,67805901.0,ns,61
heavy_compute,legion (packed),,,,68074501.0,ns,62
heavy_compute,legion (packed),,,,69121801.0,ns,63
heavy_compute,legion (packed),,,,68566702.0,ns,64
heavy_compute,legion (packed),,,,65437801.0,ns,65
heavy_compute,legion (packed),,,,69660901.0,ns,66
heavy_compute,legion (packed),,,,74541301.0,ns,67
heavy_compute,legion (packed),,,,71069702.0,ns,68
heavy_compute,legion (packed),,,,73537301.0,ns,69
heavy_compute,legion (packed),,,,73226101.0,ns,70
heavy_compute,legion (packed),,,,73473901.0,ns,71
heavy_compute,legion (packed),,,,75722502.0,ns,72
heavy_compute,legion (packed),,,,82062801.0,ns,73
heavy_compute,legion (packed),,,,66166501.0,ns,74
heavy_compute,legion (packed),,,,76661102.0,ns,75
heavy_compute,legion (packed),,,,84511401.0,ns,76
heavy_compute,legion (packed),,,,88152502.0,ns,77
heavy_compute,legion (packed),,,,82417901.0,ns,78
heavy_compute,legion (packed),,,,81630401.0,ns,79
heavy_compute,legion (packed),,,,84031102.0,ns,80
heavy_compute,legion (packed),,,,93648901.0,ns,81
heavy_compute,legion (packed),,,,101625102.0,ns,82
heavy_compute,legion (packed),,,,91030402.0,ns,83
heavy_compute,legion (packed),,,,89328101.0,ns,84
heavy_compute,legion (packed),,,,81377902.0,ns,85
heavy_compute,legion (packed),,,,93180201.0,ns,86
heavy_compute,legion (packed),,,,90681602.0,ns,87
heavy_compute,legion (packed),,,,97625902.0,ns,88
heavy_compute,legion (packed),,,,99147701.0,ns,89
heavy_compute,legion (packed),,,,86391702.0,ns,90
heavy_compute,legion (packed),,,,93775001.0,ns,91
heavy_compute,legion (packed),,,,96262302.0,ns,92
heavy_compute,legion (packed),,,,96831602.0,ns,93
heavy_compute,legion (packed),,,,115325602.0,ns,94
heavy_compute,legion (packed),,,,102753802.0,ns,95
heavy_compute,legion (packed),,,,103284101.0,ns,96
heavy_compute,legion (packed),,,,106549502.0,ns,97
heavy_compute,legion (packed),,,,99338502.0,ns,98
heavy_compute,legion (packed),,,,110968702.0,ns,99
heavy_compute,legion (packed),,,,108932102.0,ns,100
