group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,legion,,,,971800.0,ns,1
heavy_compute,legion,,,,2217900.0,ns,2
heavy_compute,legion,,,,3587600.0,ns,3
heavy_compute,legion,,,,4901300.0,ns,4
heavy_compute,legion,,,,7116700.0,ns,5
heavy_compute,legion,,,,9335801.0,ns,6
heavy_compute,legion,,,,8345100.0,ns,7
heavy_compute,legion,,,,8497900.0,ns,8
heavy_compute,legion,,,,10038900.0,ns,9
heavy_compute,legion,,,,9184400.0,ns,10
heavy_compute,legion,,,,11848500.0,ns,11
heavy_compute,legion,,,,12161300.0,ns,12
heavy_compute,legion,,,,13171200.0,ns,13
heavy_compute,legion,,,,15189700.0,ns,14
heavy_compute,legion,,,,16363900.0,ns,15
heavy_compute,legion,,,,15119201.0,ns,16
heavy_compute,legion,,,,15545900.0,ns,17
heavy_compute,legion,,,,22590600.0,ns,18
heavy_compute,legion,,,,18537500.0,ns,19
heavy_compute,legion,,,,20706900.0,ns,20
heavy_compute,legion,,,,19992800.0,ns,21
heavy_compute,legion,,,,26331701.0,ns,22
heavy_compute,legion,,,,25998700.0,ns,23
heavy_compute,legion,,,,27610500.0,ns,24
heavy_compute,legion,,,,28608000.0,ns,25
heavy_compute,legion,,,,27956201.0,ns,26
heavy_compute,legion,,,,30220700.0,ns,27
heavy_compute,legion,,,,27321900.0,ns,28
heavy_compute,legion,,,,33047100.0,ns,29
heavy_compute,legion,,,,32038701.0,ns,30
heavy_compute,legion,,,,33766000.0,ns,31
heavy_compute,legion,,,,34484200.0,ns,32
heavy_compute,legion,,,,33175900.0,ns,33
heavy_compute,legion,,,,37730701.0,ns,34
heavy_compute,legion,,,,37425100.0,ns,35
heavy_compute,legion,,,,37906200.0,ns,36
heavy_compute,legion,,,,31770101.0,ns,37
heavy_compute,legion,,,,35442700.0,ns,38
heavy_compute,legion,,,,37488900.0,ns,39
heavy_compute,legion,,,,46616301.0,ns,40
heavy_compute,legion,,,,44680800.0,ns,41
heavy_compute,legion,,,,41599000.0,ns,42
heavy_compute,legion,,,,48354801.0,ns,43
heavy_compute,legion,,,,47312600.0,ns,44
heavy_compute,legion,,,,48987501.0,ns,45
heavy_compute,legion,,,,52351600.0,ns,46
heavy_compute,legion,,,,51716900.0,ns,47
heavy_compute,legion,,,,52999101.0,ns,48
heavy_compute,legion,,,,54142300.0,ns,49
heavy_compute,legion,,,,56091401.0,ns,50
heavy_compute,legion,,,,56674400.0,ns,51
heavy_compute,legion,,,,57551101.0,ns,52
heavy_compute,legion,,,,58813300.0,ns,53
heavy_compute,legion,,,,55128001.0,ns,54
heavy_compute,legion,,,,57343700.0,ns,55
heavy_compute,legion,,,,59171301.0,ns,56
heavy_compute,legion,,,,61056400.0,ns,57
heavy_compute,legion,,,,58490401.0,ns,58
heavy_compute,legion,,,,60544700.0,ns,59
heavy_compute,legion,,,,64879301.0,ns,60
heavy_compute,legion,,,,58957900.0,ns,61
heavy_compute,legion,,,,69235001.0,ns,62
heavy_compute,legion,,,,68179900.0,ns,63
heavy_compute,legion,,,,67992901.0,ns,64
heavy_compute,legion,,,,64280300.0,ns,65
heavy_compute,legion,,,,72472501.0,ns,66
heavy_compute,legion,,,,66492801.0,ns,67
heavy_compute,legion,,,,72911700.0,ns,68
heavy_compute,legion,,,,74484201.0,ns,69
heavy_compute,legion,,,,78409800.0,ns,70
heavy_compute,legion,,,,72962301.0,ns,71
heavy_compute,legion,,,,73474601.0,ns,72
heavy_compute,legion,,,,74543800.0,ns,73
heavy_compute,legion,,,,77345201.0,ns,74
heavy_compute,legion,,,,79541801.0,ns,75
heavy_compute,legion,,,,77038300.0,ns,76
heavy_compute,legion,,,,84832201.0,ns,77
heavy_compute,legion,,,,88048801.0,ns,78
heavy_compute,legion,,,,85843700.0,ns,79
heavy_compute,legion,,,,88219301.0,ns,80
heavy_compute,legion,,,,86949701.0,ns,81
heavy_compute,legion,,,,87564401.0,ns,82
heavy_compute,legion,,,,90934400.0,ns,83
heavy_compute,legion,,,,90843801.0,ns,84
heavy_compute,legion,,,,100079201.0,ns,85
heavy_compute,legion,,,,94836001.0,ns,86
heavy_compute,legion,,,,93282900.0,ns,87
heavy_compute,legion,,,,99044400.0,ns,88
heavy_compute,legion,,,,100514901.0,ns,89
heavy_compute,legion,,,,95219900.0,ns,90
heavy_compute,legion,,,,101984601.0,ns,91
heavy_compute,legion,,,,104537501.0,ns,92
heavy_compute,legion,,,,101806900.0,ns,93
heavy_compute,legion,,,,102778601.0,ns,94
heavy_compute,legion,,,,100664601.0,ns,95
heavy_compute,legion,,,,105068000.0,ns,96
heavy_compute,legion,,,,100529901.0,ns,97
heavy_compute,legion,,,,108826101.0,ns,98
heavy_compute,legion,,,,105462900.0,ns,99
heavy_compute,legion,,,,109114001.0,ns,100
