group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,shipyard,,,,1017300.0,ns,1
heavy_compute,shipyard,,,,1387600.0,ns,2
heavy_compute,shipyard,,,,3380600.0,ns,3
heavy_compute,shipyard,,,,6450000.0,ns,4
heavy_compute,shipyard,,,,8662200.0,ns,5
heavy_compute,shipyard,,,,6034700.0,ns,6
heavy_compute,shipyard,,,,7753901.0,ns,7
heavy_compute,shipyard,,,,6543200.0,ns,8
heavy_compute,shipyard,,,,8083700.0,ns,9
heavy_compute,shipyard,,,,10697000.0,ns,10
heavy_compute,shipyard,,,,13158901.0,ns,11
heavy_compute,shipyard,,,,10912300.0,ns,12
heavy_compute,shipyard,,,,11338600.0,ns,13
heavy_compute,shipyard,,,,15573101.0,ns,14
heavy_compute,shipyard,,,,16128400.0,ns,15
heavy_compute,shipyard,,,,17722101.0,ns,16
heavy_compute,shipyard,,,,18360300.0,ns,17
heavy_compute,shipyard,,,,16108301.0,ns,18
heavy_compute,shipyard,,,,19934100.0,ns,19
heavy_compute,shipyard,,,,22198701.0,ns,20
heavy_compute,shipyard,,,,23140500.0,ns,21
heavy_compute,shipyard,,,,24351801.0,ns,22
heavy_compute,shipyard,,,,27362301.0,ns,23
heavy_compute,shipyard,,,,25544401.0,ns,24
heavy_compute,shipyard,,,,26028000.0,ns,25
heavy_compute,shipyard,,,,30132099.0,ns,26
heavy_compute,shipyard,,,,26580000.0,ns,27
heavy_compute,shipyard,,,,34129599.0,ns,28
heavy_compute,shipyard,,,,33793999.0,ns,29
heavy_compute,shipyard,,,,33580599.0,ns,30
heavy_compute,shipyard,,,,31495699.0,ns,31
heavy_compute,shipyard,,,,34622700.0,ns,32
heavy_compute,shipyard,,,,36899799.0,ns,33
heavy_compute,shipyard,,,,37202299.0,ns,34
heavy_compute,shipyard,,,,36952299.0,ns,35
heavy_compute,shipyard,,,,49946398.0,ns,36
heavy_compute,shipyard,,,,56584599.0,ns,37
heavy_compute,shipyard,,,,50944099.0,ns,38
heavy_compute,shipyard,,,,43895999.0,ns,39
heavy_compute,shipyard,,,,44727098.0,ns,40
heavy_compute,shipyard,,,,46199799.0,ns,41
heavy_compute,shipyard,,,,44747299.0,ns,42
heavy_compute,shipyard,,,,49813499.0,ns,43
heavy_compute,shipyard,,,,45510099.0,ns,44
heavy_compute,shipyard,,,,46162799.0,ns,45
heavy_compute,shipyard,,,,50056198.0,ns,46
heavy_compute,shipyard,,,,58234799.0,ns,47
heavy_compute,shipyard,,,,55383298.0,ns,48
heavy_compute,shipyard,,,,55700599.0,ns,49
heavy_compute,shipyard,,,,56411399.0,ns,50
heavy_compute,shipyard,,,,59046698.0,ns,51
heavy_compute,shipyard,,,,56193699.0,ns,52
heavy_compute,shipyard,,,,58065898.0,ns,53
heavy_compute,shipyard,,,,59178199.0,ns,54
heavy_compute,shipyard,,,,55984798.0,ns,55
heavy_compute,shipyard,,,,62127699.0,ns,56
heavy_compute,shipyard,,,,57139498.0,ns,57
heavy_compute,shipyard,,,,61836999.0,ns,58
heavy_compute,shipyard,,,,64733898.0,ns,59
heavy_compute,shipyard,,,,64310498.0,ns,60
heavy_compute,shipyard,,,,67409999.0,ns,61
heavy_compute,shipyard,,,,63234698.0,ns,62
heavy_compute,shipyard,,,,67264298.0,ns,63
heavy_compute,shipyard,,,,67454599.0,ns,64
heavy_compute,shipyard,,,,65431198.0,ns,65
heavy_compute,shipyard,,,,69060098.0,ns,66
heavy_compute,shipyard,,,,69764998.0,ns,67
heavy_compute,shipyard,,,,74688899.0,ns,68
heavy_compute,shipyard,,,,76555398.0,ns,69
heavy_compute,shipyard,,,,71889598.0,ns,70
heavy_compute,shipyard,,,,72037398.0,ns,71
heavy_compute,shipyard,,,,73828598.0,ns,72
heavy_compute,shipyard,,,,70423798.0,ns,73
heavy_compute,shipyard,,,,74203498.0,ns,74
heavy_compute,shipyard,,,,75256099.0,ns,75
heavy_compute,shipyard,,,,83949297.0,ns,76
heavy_compute,shipyard,,,,85891598.0,ns,77
heavy_compute,shipyard,,,,94939598.0,ns,78
heavy_compute,shipyard,,,,84123598.0,ns,79
heavy_compute,shipyard,,,,86589998.0,ns,80
heavy_compute,shipyard,,,,82703697.0,ns,81
heavy_compute,shipyard,,,,88864198.0,ns,82
heavy_compute,shipyard,,,,89302698.0,ns,83
heavy_compute,shipyard,,,,83854498.0,ns,84
heavy_compute,shipyard,,,,93078897.0,ns,85
heavy_compute,shipyard,,,,97417698.0,ns,86
heavy_compute,shipyard,,,,92578198.0,ns,87
heavy_compute,shipyard,,,,91269297.0,ns,88
heavy_compute,shipyard,,,,90143098.0,ns,89
heavy_compute,shipyard,,,,92338698.0,ns,90
heavy_compute,shipyard,,,,92079197.0,ns,91
heavy_compute,shipyard,,,,94381598.0,ns,92
heavy_compute,shipyard,,,,101901497.0,ns,93
heavy_compute,shipyard,,,,101454998.0,ns,94
heavy_compute,shipyard,,,,101176697.0,ns,95
heavy_compute,shipyard,,,,107662697.0,ns,96
heavy_compute,shipyard,,,,105565498.0,ns,97
heavy_compute,shipyard,,,,105123697.0,ns,98
heavy_compute,shipyard,,,,109994997.0,ns,99
heavy_compute,shipyard,,,,115244697.0,ns,100
