group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,specs,,,,1232200.0,ns,1
heavy_compute,specs,,,,2186701.0,ns,2
heavy_compute,specs,,,,3457900.0,ns,3
heavy_compute,specs,,,,5144800.0,ns,4
heavy_compute,specs,,,,7155500.0,ns,5
heavy_compute,specs,,,,6493400.0,ns,6
heavy_compute,specs,,,,8106300.0,ns,7
heavy_compute,specs,,,,8578400.0,ns,8
heavy_compute,specs,,,,9977200.0,ns,9
heavy_compute,specs,,,,11170500.0,ns,10
heavy_compute,specs,,,,11789400.0,ns,11
heavy_compute,specs,,,,13194100.0,ns,12
heavy_compute,specs,,,,14007000.0,ns,13
heavy_compute,specs,,,,15373300.0,ns,14
heavy_compute,specs,,,,16648100.0,ns,15
heavy_compute,specs,,,,17404900.0,ns,16
heavy_compute,specs,,,,18328000.0,ns,17
heavy_compute,specs,,,,19650900.0,ns,18
heavy_compute,specs,,,,20830600.0,ns,19
heavy_compute,specs,,,,21537000.0,ns,20
heavy_compute,specs,,,,22670200.0,ns,21
heavy_compute,specs,,,,23074001.0,ns,22
heavy_compute,specs,,,,24964200.0,ns,23
heavy_compute,specs,,,,25972900.0,ns,24
heavy_compute,specs,,,,28214400.0,ns,25
heavy_compute,specs,,,,28369400.0,ns,26
heavy_compute,specs,,,,28859600.0,ns,27
heavy_compute,specs,,,,30256800.0,ns,28
heavy_compute,specs,,,,31205700.0,ns,29
heavy_compute,specs,,,,31677000.0,ns,30
heavy_compute,specs,,,,33443600.0,ns,31
heavy_compute,specs,,,,34763201.0,ns,32
heavy_compute,specs,,,,38807600.0,ns,33
heavy_compute,specs,,,,37584100.0,ns,34
heavy_compute,specs,,,,37043300.0,ns,35
heavy_compute,specs,,,,39810500.0,ns,36
heavy_compute,specs,,,,40008800.0,ns,37
heavy_compute,specs,,,,39720200.0,ns,38
heavy_compute,specs,,,,43681701.0,ns,39
heavy_compute,specs,,,,42921700.0,ns,40
heavy_compute,specs,,,,42264300.0,ns,41
heavy_compute,specs,,,,45820300.0,ns,42
heavy_compute,specs,,,,45942300.0,ns,43
heavy_compute,specs,,,,46563000.0,ns,44
heavy_compute,specs,,,,48268401.0,ns,45
heavy_compute,specs,,,,50055100.0,ns,46
heavy_compute,specs,,,,49710800.0,ns,47
heavy_compute,specs,,,,51077000.0,ns,48
heavy_compute,specs,,,,52112100.0,ns,49
heavy_compute,specs,,,,54550101.0,ns,50
heavy_compute,specs,,,,55033500.0,ns,51
heavy_compute,specs,,,,55628800.0,ns,52
heavy_compute,specs,,,,57707800.0,ns,53
heavy_compute,specs,,,,58532300.0,ns,54
heavy_compute,specs,,,,60740301.0,ns,55
heavy_compute,specs,,,,60213200.0,ns,56
heavy_compute,specs,,,,61238000.0,ns,57
heavy_compute,specs,,,,62477500.0,ns,58
heavy_compute,specs,,,,63598900.0,ns,59
heavy_compute,specs,,,,64153601.0,ns,60
heavy_compute,specs,,,,65465800.0,ns,61
heavy_compute,specs,,,,65533700.0,ns,62
heavy_compute,specs,,,,66883400.0,ns,63
heavy_compute,specs,,,,67592701.0,ns,64
heavy_compute,specs,,,,69707000.0,ns,65
heavy_compute,specs,,,,72211100.0,ns,66
heavy_compute,specs,,,,74071200.0,ns,67
heavy_compute,specs,,,,73034201.0,ns,68
heavy_compute,specs,,,,75088900.0,ns,69
heavy_compute,specs,,,,81309000.0,ns,70
heavy_compute,specs,,,,77738001.0,ns,71
heavy_compute,specs,,,,77556200.0,ns,72
heavy_compute,specs,,,,77962300.0,ns,73
heavy_compute,specs,,,,79860100.0,ns,74
heavy_compute,specs,,,,80307101.0,ns,75
heavy_compute,specs,,,,82443500.0,ns,76
heavy_compute,specs,,,,83265800.0,ns,77
heavy_compute,specs,,,,83556301.0,ns,78
heavy_compute,specs,,,,84622800.0,ns,79
heavy_compute,specs,,,,86354300.0,ns,80
heavy_compute,specs,,,,86790201.0,ns,81
heavy_compute,specs,,,,87530000.0,ns,82
heavy_compute,specs,,,,90077500.0,ns,83
heavy_compute,specs,,,,88875701.0,ns,84
heavy_compute,specs,,,,91645200.0,ns,85
heavy_compute,specs,,,,92855000.0,ns,86
heavy_compute,specs,,,,93491201.0,ns,87
heavy_compute,specs,,,,94023100.0,ns,88
heavy_compute,specs,,,,95928800.0,ns,89
heavy_compute,specs,,,,97789201.0,ns,90
heavy_compute,specs,,,,97827500.0,ns,91
heavy_compute,specs,,,,99309700.0,ns,92
heavy_compute,specs,,,,102466301.0,ns,93
heavy_compute,specs,,,,107193500.0,ns,94
heavy_compute,specs,,,,102068300.0,ns,95
heavy_compute,specs,,,,102440101.0,ns,96
heavy_compute,specs,,,,105425300.0,ns,97
heavy_compute,specs,,,,107174601.0,ns,98
heavy_compute,specs,,,,110194800.0,ns,99
heavy_compute,specs,,,,106648701.0,ns,100
