group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion (packed),,,,2464100.0,ns,7
schedule,legion (packed),,,,2925800.0,ns,14
schedule,legion (packed),,,,2906600.0,ns,21
schedule,legion (packed),,,,2616200.0,ns,28
schedule,legion (packed),,,,6710500.0,ns,35
schedule,legion (packed),,,,8171399.0,ns,42
schedule,legion (packed),,,,4691300.0,ns,49
schedule,legion (packed),,,,15023200.0,ns,56
schedule,legion (packed),,,,9118200.0,ns,63
schedule,legion (packed),,,,16282000.0,ns,70
schedule,legion (packed),,,,20561699.0,ns,77
schedule,legion (packed),,,,17667600.0,ns,84
schedule,legion (packed),,,,13340800.0,ns,91
schedule,legion (packed),,,,17266799.0,ns,98
schedule,legion (packed),,,,17163200.0,ns,105
schedule,legion (packed),,,,23301500.0,ns,112
schedule,legion (packed),,,,25149199.0,ns,119
schedule,legion (packed),,,,14048300.0,ns,126
schedule,legion (packed),,,,22367500.0,ns,133
schedule,legion (packed),,,,26219899.0,ns,140
schedule,legion (packed),,,,25911100.0,ns,147
schedule,legion (packed),,,,25042699.0,ns,154
schedule,legion (packed),,,,25962000.0,ns,161
schedule,legion (packed),,,,27310300.0,ns,168
schedule,legion (packed),,,,30020799.0,ns,175
schedule,legion (packed),,,,26259700.0,ns,182
schedule,legion (packed),,,,39787599.0,ns,189
schedule,legion (packed),,,,41185699.0,ns,196
schedule,legion (packed),,,,41551100.0,ns,203
schedule,legion (packed),,,,40888599.0,ns,210
schedule,legion (packed),,,,35347200.0,ns,217
schedule,legion (packed),,,,43888099.0,ns,224
schedule,legion (packed),,,,47804699.0,ns,231
schedule,legion (packed),,,,40398599.0,ns,238
schedule,legion (packed),,,,53504800.0,ns,245
schedule,legion (packed),,,,51215699.0,ns,252
schedule,legion (packed),,,,49686999.0,ns,259
schedule,legion (packed),,,,59538199.0,ns,266
schedule,legion (packed),,,,42251600.0,ns,273
schedule,legion (packed),,,,45046300.0,ns,280
schedule,legion (packed),,,,60319399.0,ns,287
schedule,legion (packed),,,,58722799.0,ns,294
schedule,legion (packed),,,,50069399.0,ns,301
schedule,legion (packed),,,,46967799.0,ns,308
schedule,legion (packed),,,,27102000.0,ns,315
schedule,legion (packed),,,,56219299.0,ns,322
schedule,legion (packed),,,,50428299.0,ns,329
schedule,legion (packed),,,,59011599.0,ns,336
schedule,legion (packed),,,,52371700.0,ns,343
schedule,legion (packed),,,,55793799.0,ns,350
schedule,legion (packed),,,,72362399.0,ns,357
schedule,legion (packed),,,,64342799.0,ns,364
schedule,legion (packed),,,,57911599.0,ns,371
schedule,legion (packed),,,,77191699.0,ns,378
schedule,legion (packed),,,,58039699.0,ns,385
schedule,legion (packed),,,,80868798.0,ns,392
schedule,legion (packed),,,,63791999.0,ns,399
schedule,legion (packed),,,,78598899.0,ns,406
schedule,legion (packed),,,,63603399.0,ns,413
schedule,legion (packed),,,,83821499.0,ns,420
schedule,legion (packed),,,,83008999.0,ns,427
schedule,legion (packed),,,,74971699.0,ns,434
schedule,legion (packed),,,,75379498.0,ns,441
schedule,legion (packed),,,,86150599.0,ns,448
schedule,legion (packed),,,,83551099.0,ns,455
schedule,legion (packed),,,,81404899.0,ns,462
schedule,legion (packed),,,,88522898.0,ns,469
schedule,legion (packed),,,,83827699.0,ns,476
schedule,legion (packed),,,,88917499.0,ns,483
schedule,legion (packed),,,,76756298.0,ns,490
schedule,legion (packed),,,,89745099.0,ns,497
schedule,legion (packed),,,,69828699.0,ns,504
schedule,legion (packed),,,,47639599.0,ns,511
schedule,legion (packed),,,,91991099.0,ns,518
schedule,legion (packed),,,,79236199.0,ns,525
schedule,legion (packed),,,,84906798.0,ns,532
schedule,legion (packed),,,,93136899.0,ns,539
schedule,legion (packed),,,,100627298.0,ns,546
schedule,legion (packed),,,,89100199.0,ns,553
schedule,legion (packed),,,,106637298.0,ns,560
schedule,legion (packed),,,,97993099.0,ns,567
schedule,legion (packed),,,,93109198.0,ns,574
schedule,legion (packed),,,,101874699.0,ns,581
schedule,legion (packed),,,,109000798.0,ns,588
schedule,legion (packed),,,,109982899.0,ns,595
schedule,legion (packed),,,,106147398.0,ns,602
schedule,legion (packed),,,,124990198.0,ns,609
schedule,legion (packed),,,,113234298.0,ns,616
schedule,legion (packed),,,,90280999.0,ns,623
schedule,legion (packed),,,,112844898.0,ns,630
schedule,legion (packed),,,,114661399.0,ns,637
schedule,legion (packed),,,,112160198.0,ns,644
schedule,legion (packed),,,,76824899.0,ns,651
schedule,legion (packed),,,,117700098.0,ns,658
schedule,legion (packed),,,,134783798.0,ns,665
schedule,legion (packed),,,,118013298.0,ns,672
schedule,legion (packed),,,,130130898.0,ns,679
schedule,legion (packed),,,,127732598.0,ns,686
schedule,legion (packed),,,,133007998.0,ns,693
schedule,legion (packed),,,,114035598.0,ns,700
