group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion,,,,554500.0,ns,7
schedule,legion,,,,3435000.0,ns,14
schedule,legion,,,,3244199.0,ns,21
schedule,legion,,,,6838000.0,ns,28
schedule,legion,,,,5042800.0,ns,35
schedule,legion,,,,7531100.0,ns,42
schedule,legion,,,,7087000.0,ns,49
schedule,legion,,,,4598300.0,ns,56
schedule,legion,,,,12095900.0,ns,63
schedule,legion,,,,15856299.0,ns,70
schedule,legion,,,,13572400.0,ns,77
schedule,legion,,,,11648300.0,ns,84
schedule,legion,,,,12789900.0,ns,91
schedule,legion,,,,20280799.0,ns,98
schedule,legion,,,,14430300.0,ns,105
schedule,legion,,,,13982500.0,ns,112
schedule,legion,,,,18611399.0,ns,119
schedule,legion,,,,16033200.0,ns,126
schedule,legion,,,,19357400.0,ns,133
schedule,legion,,,,25152099.0,ns,140
schedule,legion,,,,29212000.0,ns,147
schedule,legion,,,,29520400.0,ns,154
schedule,legion,,,,29542700.0,ns,161
schedule,legion,,,,21311800.0,ns,168
schedule,legion,,,,27891599.0,ns,175
schedule,legion,,,,33957400.0,ns,182
schedule,legion,,,,31385499.0,ns,189
schedule,legion,,,,27846700.0,ns,196
schedule,legion,,,,23913799.0,ns,203
schedule,legion,,,,36318300.0,ns,210
schedule,legion,,,,38013199.0,ns,217
schedule,legion,,,,29082000.0,ns,224
schedule,legion,,,,40374399.0,ns,231
schedule,legion,,,,46037299.0,ns,238
schedule,legion,,,,39667300.0,ns,245
schedule,legion,,,,46622399.0,ns,252
schedule,legion,,,,44675799.0,ns,259
schedule,legion,,,,43890499.0,ns,266
schedule,legion,,,,55433300.0,ns,273
schedule,legion,,,,44969599.0,ns,280
schedule,legion,,,,54368699.0,ns,287
schedule,legion,,,,54548799.0,ns,294
schedule,legion,,,,58431199.0,ns,301
schedule,legion,,,,55407199.0,ns,308
schedule,legion,,,,32764000.0,ns,315
schedule,legion,,,,29648799.0,ns,322
schedule,legion,,,,63763499.0,ns,329
schedule,legion,,,,59058699.0,ns,336
schedule,legion,,,,56406100.0,ns,343
schedule,legion,,,,62151200.0,ns,350
schedule,legion,,,,68190698.0,ns,357
schedule,legion,,,,56782100.0,ns,364
schedule,legion,,,,67157599.0,ns,371
schedule,legion,,,,60654899.0,ns,378
schedule,legion,,,,69657298.0,ns,385
schedule,legion,,,,67970899.0,ns,392
schedule,legion,,,,69866099.0,ns,399
schedule,legion,,,,65111799.0,ns,406
schedule,legion,,,,81021099.0,ns,413
schedule,legion,,,,90479299.0,ns,420
schedule,legion,,,,76179698.0,ns,427
schedule,legion,,,,82213299.0,ns,434
schedule,legion,,,,80506599.0,ns,441
schedule,legion,,,,53386199.0,ns,448
schedule,legion,,,,76191099.0,ns,455
schedule,legion,,,,87510499.0,ns,462
schedule,legion,,,,81654798.0,ns,469
schedule,legion,,,,87787099.0,ns,476
schedule,legion,,,,77264599.0,ns,483
schedule,legion,,,,79912698.0,ns,490
schedule,legion,,,,85821899.0,ns,497
schedule,legion,,,,72999899.0,ns,504
schedule,legion,,,,76847199.0,ns,511
schedule,legion,,,,75105499.0,ns,518
schedule,legion,,,,96665898.0,ns,525
schedule,legion,,,,87593999.0,ns,532
schedule,legion,,,,94603698.0,ns,539
schedule,legion,,,,105023499.0,ns,546
schedule,legion,,,,90690398.0,ns,553
schedule,legion,,,,69763899.0,ns,560
schedule,legion,,,,41816800.0,ns,567
schedule,legion,,,,42642003.0,ns,574
schedule,legion,,,,89073106.0,ns,581
schedule,legion,,,,100800107.0,ns,588
schedule,legion,,,,102025907.0,ns,595
schedule,legion,,,,110992907.0,ns,602
schedule,legion,,,,121320308.0,ns,609
schedule,legion,,,,117052008.0,ns,616
schedule,legion,,,,103587507.0,ns,623
schedule,legion,,,,106767207.0,ns,630
schedule,legion,,,,113087707.0,ns,637
schedule,legion,,,,115178207.0,ns,644
schedule,legion,,,,115923908.0,ns,651
schedule,legion,,,,93994107.0,ns,658
schedule,legion,,,,99826606.0,ns,665
schedule,legion,,,,132702709.0,ns,672
schedule,legion,,,,109723208.0,ns,679
schedule,legion,,,,113619208.0,ns,686
schedule,legion,,,,118714308.0,ns,693
schedule,legion,,,,121001808.0,ns,700
