group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,planck_ecs,,,,1379500.0,ns,3
schedule,planck_ecs,,,,2592300.0,ns,6
schedule,planck_ecs,,,,4070200.0,ns,9
schedule,planck_ecs,,,,5050600.0,ns,12
schedule,planck_ecs,,,,6721200.0,ns,15
schedule,planck_ecs,,,,7439501.0,ns,18
schedule,planck_ecs,,,,8529700.0,ns,21
schedule,planck_ecs,,,,9673800.0,ns,24
schedule,planck_ecs,,,,10921400.0,ns,27
schedule,planck_ecs,,,,12080400.0,ns,30
schedule,planck_ecs,,,,13345200.0,ns,33
schedule,planck_ecs,,,,14709101.0,ns,36
schedule,planck_ecs,,,,15525200.0,ns,39
schedule,planck_ecs,,,,16696901.0,ns,42
schedule,planck_ecs,,,,17953500.0,ns,45
schedule,planck_ecs,,,,19216501.0,ns,48
schedule,planck_ecs,,,,20316300.0,ns,51
schedule,planck_ecs,,,,21529201.0,ns,54
schedule,planck_ecs,,,,22822701.0,ns,57
schedule,planck_ecs,,,,24734600.0,ns,60
schedule,planck_ecs,,,,25644401.0,ns,63
schedule,planck_ecs,,,,27281101.0,ns,66
schedule,planck_ecs,,,,28912901.0,ns,69
schedule,planck_ecs,,,,30679900.0,ns,72
schedule,planck_ecs,,,,30416101.0,ns,75
schedule,planck_ecs,,,,31263301.0,ns,78
schedule,planck_ecs,,,,32978401.0,ns,81
schedule,planck_ecs,,,,36609201.0,ns,84
schedule,planck_ecs,,,,36489701.0,ns,87
schedule,planck_ecs,,,,37873401.0,ns,90
schedule,planck_ecs,,,,39510001.0,ns,93
schedule,planck_ecs,,,,38757601.0,ns,96
schedule,planck_ecs,,,,40239001.0,ns,99
schedule,planck_ecs,,,,42404601.0,ns,102
schedule,planck_ecs,,,,43353701.0,ns,105
schedule,planck_ecs,,,,46379502.0,ns,108
schedule,planck_ecs,,,,44877201.0,ns,111
schedule,planck_ecs,,,,45796601.0,ns,114
schedule,planck_ecs,,,,46282601.0,ns,117
schedule,planck_ecs,,,,47744301.0,ns,120
schedule,planck_ecs,,,,50561801.0,ns,123
schedule,planck_ecs,,,,51118900.0,ns,126
schedule,planck_ecs,,,,51390401.0,ns,129
schedule,planck_ecs,,,,53035800.0,ns,132
schedule,planck_ecs,,,,53520901.0,ns,135
schedule,planck_ecs,,,,56433100.0,ns,138
schedule,planck_ecs,,,,57894201.0,ns,141
schedule,planck_ecs,,,,57314300.0,ns,144
schedule,planck_ecs,,,,58335001.0,ns,147
schedule,planck_ecs,,,,60089000.0,ns,150
schedule,planck_ecs,,,,60735101.0,ns,153
schedule,planck_ecs,,,,62335601.0,ns,156
schedule,planck_ecs,,,,65648700.0,ns,159
schedule,planck_ecs,,,,66829601.0,ns,162
schedule,planck_ecs,,,,68608100.0,ns,165
schedule,planck_ecs,,,,66577201.0,ns,168
schedule,planck_ecs,,,,70715101.0,ns,171
schedule,planck_ecs,,,,71046300.0,ns,174
schedule,planck_ecs,,,,71181101.0,ns,177
schedule,planck_ecs,,,,74153800.0,ns,180
schedule,planck_ecs,,,,74939701.0,ns,183
schedule,planck_ecs,,,,74294401.0,ns,186
schedule,planck_ecs,,,,75272200.0,ns,189
schedule,planck_ecs,,,,76590401.0,ns,192
schedule,planck_ecs,,,,77828801.0,ns,195
schedule,planck_ecs,,,,80677201.0,ns,198
schedule,planck_ecs,,,,81602100.0,ns,201
schedule,planck_ecs,,,,81787701.0,ns,204
schedule,planck_ecs,,,,82225401.0,ns,207
schedule,planck_ecs,,,,86254800.0,ns,210
schedule,planck_ecs,,,,85411201.0,ns,213
schedule,planck_ecs,,,,86040501.0,ns,216
schedule,planck_ecs,,,,90109501.0,ns,219
schedule,planck_ecs,,,,88856701.0,ns,222
schedule,planck_ecs,,,,91405600.0,ns,225
schedule,planck_ecs,,,,92664701.0,ns,228
schedule,planck_ecs,,,,91302501.0,ns,231
schedule,planck_ecs,,,,97281101.0,ns,234
schedule,planck_ecs,,,,97459201.0,ns,237
schedule,planck_ecs,,,,96798300.0,ns,240
schedule,planck_ecs,,,,98999100.0,ns,243
schedule,planck_ecs,,,,99073901.0,ns,246
schedule,planck_ecs,,,,99038001.0,ns,249
schedule,planck_ecs,,,,103410901.0,ns,252
schedule,planck_ecs,,,,110728101.0,ns,255
schedule,planck_ecs,,,,107650201.0,ns,258
schedule,planck_ecs,,,,105712501.0,ns,261
schedule,planck_ecs,,,,107043001.0,ns,264
schedule,planck_ecs,,,,106196301.0,ns,267
schedule,planck_ecs,,,,112688001.0,ns,270
schedule,planck_ecs,,,,110852201.0,ns,273
schedule,planck_ecs,,,,110827301.0,ns,276
schedule,planck_ecs,,,,114418601.0,ns,279
schedule,planck_ecs,,,,114052401.0,ns,282
schedule,planck_ecs,,,,115232201.0,ns,285
schedule,planck_ecs,,,,116269201.0,ns,288
schedule,planck_ecs,,,,115866401.0,ns,291
schedule,planck_ecs,,,,117445001.0,ns,294
schedule,planck_ecs,,,,119114701.0,ns,297
schedule,planck_ecs,,,,120912001.0,ns,300
