group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_binary,ets,,,,1123000.0,ns,8
serialize_binary,ets,,,,2245100.0,ns,16
serialize_binary,ets,,,,3385399.0,ns,24
serialize_binary,ets,,,,4614899.0,ns,32
serialize_binary,ets,,,,6665499.0,ns,40
serialize_binary,ets,,,,6950099.0,ns,48
serialize_binary,ets,,,,7999599.0,ns,56
serialize_binary,ets,,,,9037998.0,ns,64
serialize_binary,ets,,,,9984198.0,ns,72
serialize_binary,ets,,,,11015598.0,ns,80
serialize_binary,ets,,,,12530798.0,ns,88
serialize_binary,ets,,,,13447198.0,ns,96
serialize_binary,ets,,,,14658397.0,ns,104
serialize_binary,ets,,,,15761698.0,ns,112
serialize_binary,ets,,,,16912397.0,ns,120
serialize_binary,ets,,,,18178697.0,ns,128
serialize_binary,ets,,,,19147196.0,ns,136
serialize_binary,ets,,,,20281697.0,ns,144
serialize_binary,ets,,,,21031696.0,ns,152
serialize_binary,ets,,,,22367296.0,ns,160
serialize_binary,ets,,,,23212596.0,ns,168
serialize_binary,ets,,,,24469596.0,ns,176
serialize_binary,ets,,,,25513796.0,ns,184
serialize_binary,ets,,,,26710595.0,ns,192
serialize_binary,ets,,,,27735495.0,ns,200
serialize_binary,ets,,,,29286695.0,ns,208
serialize_binary,ets,,,,30064495.0,ns,216
serialize_binary,ets,,,,31325095.0,ns,224
serialize_binary,ets,,,,32578894.0,ns,232
serialize_binary,ets,,,,33353894.0,ns,240
serialize_binary,ets,,,,34411694.0,ns,248
serialize_binary,ets,,,,35941894.0,ns,256
serialize_binary,ets,,,,36727594.0,ns,264
serialize_binary,ets,,,,37460293.0,ns,272
serialize_binary,ets,,,,38897994.0,ns,280
serialize_binary,ets,,,,39783893.0,ns,288
serialize_binary,ets,,,,41084893.0,ns,296
serialize_binary,ets,,,,43350192.0,ns,304
serialize_binary,ets,,,,43521193.0,ns,312
serialize_binary,ets,,,,44528292.0,ns,320
serialize_binary,ets,,,,45570792.0,ns,328
serialize_binary,ets,,,,46776892.0,ns,336
serialize_binary,ets,,,,49354092.0,ns,344
serialize_binary,ets,,,,52554490.0,ns,352
serialize_binary,ets,,,,50884692.0,ns,360
serialize_binary,ets,,,,51260591.0,ns,368
serialize_binary,ets,,,,51757091.0,ns,376
serialize_binary,ets,,,,53281291.0,ns,384
serialize_binary,ets,,,,54489190.0,ns,392
serialize_binary,ets,,,,55552691.0,ns,400
serialize_binary,ets,,,,56714390.0,ns,408
serialize_binary,ets,,,,57686490.0,ns,416
serialize_binary,ets,,,,58778090.0,ns,424
serialize_binary,ets,,,,59919990.0,ns,432
serialize_binary,ets,,,,60851989.0,ns,440
serialize_binary,ets,,,,62102889.0,ns,448
serialize_binary,ets,,,,63094989.0,ns,456
serialize_binary,ets,,,,63875189.0,ns,464
serialize_binary,ets,,,,65593289.0,ns,472
serialize_binary,ets,,,,67105389.0,ns,480
serialize_binary,ets,,,,67504788.0,ns,488
serialize_binary,ets,,,,69106688.0,ns,496
serialize_binary,ets,,,,70159088.0,ns,504
serialize_binary,ets,,,,71173388.0,ns,512
serialize_binary,ets,,,,72144787.0,ns,520
serialize_binary,ets,,,,73191487.0,ns,528
serialize_binary,ets,,,,74574188.0,ns,536
serialize_binary,ets,,,,76010087.0,ns,544
serialize_binary,ets,,,,76690687.0,ns,552
serialize_binary,ets,,,,78276100.0,ns,560
serialize_binary,ets,,,,79138299.0,ns,568
serialize_binary,ets,,,,79669600.0,ns,576
serialize_binary,ets,,,,81598399.0,ns,584
serialize_binary,ets,,,,84411099.0,ns,592
serialize_binary,ets,,,,87942500.0,ns,600
serialize_binary,ets,,,,85762899.0,ns,608
serialize_binary,ets,,,,85888900.0,ns,616
serialize_binary,ets,,,,87775499.0,ns,624
serialize_binary,ets,,,,89979199.0,ns,632
serialize_binary,ets,,,,90427300.0,ns,640
serialize_binary,ets,,,,89779899.0,ns,648
serialize_binary,ets,,,,91158099.0,ns,656
serialize_binary,ets,,,,92118900.0,ns,664
serialize_binary,ets,,,,93785099.0,ns,672
serialize_binary,ets,,,,94786899.0,ns,680
serialize_binary,ets,,,,95984400.0,ns,688
serialize_binary,ets,,,,96661999.0,ns,696
serialize_binary,ets,,,,97467299.0,ns,704
serialize_binary,ets,,,,99070100.0,ns,712
serialize_binary,ets,,,,100135899.0,ns,720
serialize_binary,ets,,,,101503799.0,ns,728
serialize_binary,ets,,,,102059600.0,ns,736
serialize_binary,ets,,,,105895899.0,ns,744
serialize_binary,ets,,,,105995899.0,ns,752
serialize_binary,ets,,,,106746599.0,ns,760
serialize_binary,ets,,,,113166700.0,ns,768
serialize_binary,ets,,,,109473299.0,ns,776
serialize_binary,ets,,,,111145199.0,ns,784
serialize_binary,ets,,,,110706799.0,ns,792
serialize_binary,ets,,,,113736899.0,ns,800
