group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_binary,hecs,,,,1095500.0,ns,9
serialize_binary,hecs,,,,2138700.0,ns,18
serialize_binary,hecs,,,,3267001.0,ns,27
serialize_binary,hecs,,,,4788301.0,ns,36
serialize_binary,hecs,,,,6256301.0,ns,45
serialize_binary,hecs,,,,7033001.0,ns,54
serialize_binary,hecs,,,,7600101.0,ns,63
serialize_binary,hecs,,,,8628202.0,ns,72
serialize_binary,hecs,,,,10167302.0,ns,81
serialize_binary,hecs,,,,11483302.0,ns,90
serialize_binary,hecs,,,,11888502.0,ns,99
serialize_binary,hecs,,,,13010902.0,ns,108
serialize_binary,hecs,,,,14034903.0,ns,117
serialize_binary,hecs,,,,15357703.0,ns,126
serialize_binary,hecs,,,,16479203.0,ns,135
serialize_binary,hecs,,,,17591403.0,ns,144
serialize_binary,hecs,,,,18663403.0,ns,153
serialize_binary,hecs,,,,19851404.0,ns,162
serialize_binary,hecs,,,,20954803.0,ns,171
serialize_binary,hecs,,,,21756204.0,ns,180
serialize_binary,hecs,,,,22749704.0,ns,189
serialize_binary,hecs,,,,23595805.0,ns,198
serialize_binary,hecs,,,,24773804.0,ns,207
serialize_binary,hecs,,,,26011405.0,ns,216
serialize_binary,hecs,,,,27083905.0,ns,225
serialize_binary,hecs,,,,28328305.0,ns,234
serialize_binary,hecs,,,,33486306.0,ns,243
serialize_binary,hecs,,,,31117105.0,ns,252
serialize_binary,hecs,,,,33172506.0,ns,261
serialize_binary,hecs,,,,32968306.0,ns,270
serialize_binary,hecs,,,,34261306.0,ns,279
serialize_binary,hecs,,,,35396807.0,ns,288
serialize_binary,hecs,,,,36212606.0,ns,297
serialize_binary,hecs,,,,36983807.0,ns,306
serialize_binary,hecs,,,,37929807.0,ns,315
serialize_binary,hecs,,,,39009207.0,ns,324
serialize_binary,hecs,,,,40916207.0,ns,333
serialize_binary,hecs,,,,41355607.0,ns,342
serialize_binary,hecs,,,,42582508.0,ns,351
serialize_binary,hecs,,,,43509308.0,ns,360
serialize_binary,hecs,,,,44207408.0,ns,369
serialize_binary,hecs,,,,46311208.0,ns,378
serialize_binary,hecs,,,,46925609.0,ns,387
serialize_binary,hecs,,,,47786408.0,ns,396
serialize_binary,hecs,,,,48816709.0,ns,405
serialize_binary,hecs,,,,49783009.0,ns,414
serialize_binary,hecs,,,,50939409.0,ns,423
serialize_binary,hecs,,,,52679709.0,ns,432
serialize_binary,hecs,,,,53194210.0,ns,441
serialize_binary,hecs,,,,54729710.0,ns,450
serialize_binary,hecs,,,,55339610.0,ns,459
serialize_binary,hecs,,,,56625710.0,ns,468
serialize_binary,hecs,,,,57283610.0,ns,477
serialize_binary,hecs,,,,58519311.0,ns,486
serialize_binary,hecs,,,,60637111.0,ns,495
serialize_binary,hecs,,,,60166310.0,ns,504
serialize_binary,hecs,,,,62333912.0,ns,513
serialize_binary,hecs,,,,63172011.0,ns,522
serialize_binary,hecs,,,,63863611.0,ns,531
serialize_binary,hecs,,,,66997612.0,ns,540
serialize_binary,hecs,,,,67745513.0,ns,549
serialize_binary,hecs,,,,68248912.0,ns,558
serialize_binary,hecs,,,,69619312.0,ns,567
serialize_binary,hecs,,,,69287713.0,ns,576
serialize_binary,hecs,,,,70499312.0,ns,585
serialize_binary,hecs,,,,71210213.0,ns,594
serialize_binary,hecs,,,,83185115.0,ns,603
serialize_binary,hecs,,,,74983714.0,ns,612
serialize_binary,hecs,,,,76126513.0,ns,621
serialize_binary,hecs,,,,77929214.0,ns,630
serialize_binary,hecs,,,,78874814.0,ns,639
serialize_binary,hecs,,,,79288715.0,ns,648
serialize_binary,hecs,,,,80678314.0,ns,657
serialize_binary,hecs,,,,80782515.0,ns,666
serialize_binary,hecs,,,,81774614.0,ns,675
serialize_binary,hecs,,,,82070315.0,ns,684
serialize_binary,hecs,,,,83910315.0,ns,693
serialize_binary,hecs,,,,84468315.0,ns,702
serialize_binary,hecs,,,,85455116.0,ns,711
serialize_binary,hecs,,,,86370415.0,ns,720
serialize_binary,hecs,,,,90508416.0,ns,729
serialize_binary,hecs,,,,89827216.0,ns,738
serialize_binary,hecs,,,,90991317.0,ns,747
serialize_binary,hecs,,,,91081616.0,ns,756
serialize_binary,hecs,,,,92607717.0,ns,765
serialize_binary,hecs,,,,93269916.0,ns,774
serialize_binary,hecs,,,,94275917.0,ns,783
serialize_binary,hecs,,,,95200117.0,ns,792
serialize_binary,hecs,,,,97249118.0,ns,801
serialize_binary,hecs,,,,98203317.0,ns,810
serialize_binary,hecs,,,,103973619.0,ns,819
serialize_binary,hecs,,,,103987919.0,ns,828
serialize_binary,hecs,,,,104281019.0,ns,837
serialize_binary,hecs,,,,105121818.0,ns,846
serialize_binary,hecs,,,,106455519.0,ns,855
serialize_binary,hecs,,,,106463720.0,ns,864
serialize_binary,hecs,,,,106724219.0,ns,873
serialize_binary,hecs,,,,105720619.0,ns,882
serialize_binary,hecs,,,,107142719.0,ns,891
serialize_binary,hecs,,,,109266219.0,ns,900
