group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_binary,legion,,,,58614862.0,ns,22
serialize_binary,legion,,,,51617755.0,ns,22
serialize_binary,legion,,,,51471255.0,ns,22
serialize_binary,legion,,,,50852255.0,ns,22
serialize_binary,legion,,,,51205654.0,ns,22
serialize_binary,legion,,,,50977854.0,ns,22
serialize_binary,legion,,,,50807855.0,ns,22
serialize_binary,legion,,,,50852754.0,ns,22
serialize_binary,legion,,,,50675755.0,ns,22
serialize_binary,legion,,,,51651155.0,ns,22
serialize_binary,legion,,,,50931055.0,ns,22
serialize_binary,legion,,,,50529154.0,ns,22
serialize_binary,legion,,,,51046054.0,ns,22
serialize_binary,legion,,,,50552954.0,ns,22
serialize_binary,legion,,,,50650754.0,ns,22
serialize_binary,legion,,,,50969855.0,ns,22
serialize_binary,legion,,,,50606554.0,ns,22
serialize_binary,legion,,,,50472154.0,ns,22
serialize_binary,legion,,,,51085755.0,ns,22
serialize_binary,legion,,,,50309754.0,ns,22
serialize_binary,legion,,,,51592455.0,ns,22
serialize_binary,legion,,,,50992555.0,ns,22
serialize_binary,legion,,,,50989855.0,ns,22
serialize_binary,legion,,,,50296253.0,ns,22
serialize_binary,legion,,,,51153654.0,ns,22
serialize_binary,legion,,,,50914755.0,ns,22
serialize_binary,legion,,,,50725554.0,ns,22
serialize_binary,legion,,,,50760155.0,ns,22
serialize_binary,legion,,,,50793854.0,ns,22
serialize_binary,legion,,,,51736856.0,ns,22
serialize_binary,legion,,,,50858354.0,ns,22
serialize_binary,legion,,,,50496754.0,ns,22
serialize_binary,legion,,,,50989254.0,ns,22
serialize_binary,legion,,,,50300054.0,ns,22
serialize_binary,legion,,,,51235355.0,ns,22
serialize_binary,legion,,,,50563454.0,ns,22
serialize_binary,legion,,,,51060555.0,ns,22
serialize_binary,legion,,,,50487354.0,ns,22
serialize_binary,legion,,,,50313354.0,ns,22
serialize_binary,legion,,,,51382455.0,ns,22
serialize_binary,legion,,,,57940562.0,ns,22
serialize_binary,legion,,,,51797856.0,ns,22
serialize_binary,legion,,,,51707755.0,ns,22
serialize_binary,legion,,,,51578356.0,ns,22
serialize_binary,legion,,,,51028854.0,ns,22
serialize_binary,legion,,,,51155655.0,ns,22
serialize_binary,legion,,,,51088855.0,ns,22
serialize_binary,legion,,,,51065355.0,ns,22
serialize_binary,legion,,,,50608154.0,ns,22
serialize_binary,legion,,,,51416855.0,ns,22
serialize_binary,legion,,,,50838355.0,ns,22
serialize_binary,legion,,,,50786054.0,ns,22
serialize_binary,legion,,,,51254355.0,ns,22
serialize_binary,legion,,,,50665455.0,ns,22
serialize_binary,legion,,,,50658654.0,ns,22
serialize_binary,legion,,,,50976655.0,ns,22
serialize_binary,legion,,,,50546254.0,ns,22
serialize_binary,legion,,,,50928454.0,ns,22
serialize_binary,legion,,,,51054055.0,ns,22
serialize_binary,legion,,,,50749455.0,ns,22
serialize_binary,legion,,,,51444955.0,ns,22
serialize_binary,legion,,,,50935754.0,ns,22
serialize_binary,legion,,,,50846055.0,ns,22
serialize_binary,legion,,,,50482454.0,ns,22
serialize_binary,legion,,,,51248555.0,ns,22
serialize_binary,legion,,,,50691554.0,ns,22
serialize_binary,legion,,,,51330655.0,ns,22
serialize_binary,legion,,,,51404555.0,ns,22
serialize_binary,legion,,,,52959556.0,ns,22
serialize_binary,legion,,,,51522356.0,ns,22
serialize_binary,legion,,,,51549455.0,ns,22
serialize_binary,legion,,,,51496855.0,ns,22
serialize_binary,legion,,,,50856355.0,ns,22
serialize_binary,legion,,,,51505655.0,ns,22
serialize_binary,legion,,,,51471755.0,ns,22
serialize_binary,legion,,,,51717256.0,ns,22
serialize_binary,legion,,,,50960354.0,ns,22
serialize_binary,legion,,,,50905755.0,ns,22
serialize_binary,legion,,,,50740354.0,ns,22
serialize_binary,legion,,,,50495434.0,ns,22
serialize_binary,legion,,,,58544200.0,ns,22
serialize_binary,legion,,,,51694500.0,ns,22
serialize_binary,legion,,,,51693800.0,ns,22
serialize_binary,legion,,,,51098700.0,ns,22
serialize_binary,legion,,,,50693600.0,ns,22
serialize_binary,legion,,,,50369900.0,ns,22
serialize_binary,legion,,,,50599200.0,ns,22
serialize_binary,legion,,,,52042700.0,ns,22
serialize_binary,legion,,,,51213200.0,ns,22
serialize_binary,legion,,,,50954200.0,ns,22
serialize_binary,legion,,,,51590000.0,ns,22
serialize_binary,legion,,,,51011700.0,ns,22
serialize_binary,legion,,,,51247500.0,ns,22
serialize_binary,legion,,,,50387600.0,ns,22
serialize_binary,legion,,,,52088500.0,ns,22
serialize_binary,legion,,,,51566900.0,ns,22
serialize_binary,legion,,,,51048300.0,ns,22
serialize_binary,legion,,,,50957900.0,ns,22
serialize_binary,legion,,,,50760699.0,ns,22
serialize_binary,legion,,,,50323400.0,ns,22
