group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_text,ets,,,,53185801.0,ns,14
serialize_text,ets,,,,51551401.0,ns,14
serialize_text,ets,,,,51571001.0,ns,14
serialize_text,ets,,,,51504901.0,ns,14
serialize_text,ets,,,,51202301.0,ns,14
serialize_text,ets,,,,50815101.0,ns,14
serialize_text,ets,,,,50598301.0,ns,14
serialize_text,ets,,,,50832500.0,ns,14
serialize_text,ets,,,,50843501.0,ns,14
serialize_text,ets,,,,50538201.0,ns,14
serialize_text,ets,,,,50390001.0,ns,14
serialize_text,ets,,,,50656201.0,ns,14
serialize_text,ets,,,,50683601.0,ns,14
serialize_text,ets,,,,51259601.0,ns,14
serialize_text,ets,,,,51064001.0,ns,14
serialize_text,ets,,,,50819301.0,ns,14
serialize_text,ets,,,,50673400.0,ns,14
serialize_text,ets,,,,50700501.0,ns,14
serialize_text,ets,,,,51216201.0,ns,14
serialize_text,ets,,,,50411101.0,ns,14
serialize_text,ets,,,,50764901.0,ns,14
serialize_text,ets,,,,50610101.0,ns,14
serialize_text,ets,,,,50450101.0,ns,14
serialize_text,ets,,,,50683601.0,ns,14
serialize_text,ets,,,,51001201.0,ns,14
serialize_text,ets,,,,50494300.0,ns,14
serialize_text,ets,,,,53652101.0,ns,14
serialize_text,ets,,,,50942101.0,ns,14
serialize_text,ets,,,,51286501.0,ns,14
serialize_text,ets,,,,51347101.0,ns,14
serialize_text,ets,,,,56084901.0,ns,14
serialize_text,ets,,,,51071801.0,ns,14
serialize_text,ets,,,,51638001.0,ns,14
serialize_text,ets,,,,51741001.0,ns,14
serialize_text,ets,,,,51079001.0,ns,14
serialize_text,ets,,,,50268001.0,ns,14
serialize_text,ets,,,,50783300.0,ns,14
serialize_text,ets,,,,50765001.0,ns,14
serialize_text,ets,,,,50690901.0,ns,14
serialize_text,ets,,,,50824801.0,ns,14
serialize_text,ets,,,,50734801.0,ns,14
serialize_text,ets,,,,50776501.0,ns,14
serialize_text,ets,,,,50363700.0,ns,14
serialize_text,ets,,,,50342095.0,ns,14
serialize_text,ets,,,,50657696.0,ns,14
serialize_text,ets,,,,50932395.0,ns,14
serialize_text,ets,,,,51762996.0,ns,14
serialize_text,ets,,,,50791395.0,ns,14
serialize_text,ets,,,,51584796.0,ns,14
serialize_text,ets,,,,50970695.0,ns,14
serialize_text,ets,,,,50644996.0,ns,14
serialize_text,ets,,,,50478096.0,ns,14
serialize_text,ets,,,,51067895.0,ns,14
serialize_text,ets,,,,50587696.0,ns,14
serialize_text,ets,,,,50612195.0,ns,14
serialize_text,ets,,,,50985696.0,ns,14
serialize_text,ets,,,,50815095.0,ns,14
serialize_text,ets,,,,50462596.0,ns,14
serialize_text,ets,,,,50948395.0,ns,14
serialize_text,ets,,,,50951096.0,ns,14
serialize_text,ets,,,,50533695.0,ns,14
serialize_text,ets,,,,50644196.0,ns,14
serialize_text,ets,,,,50668596.0,ns,14
serialize_text,ets,,,,50637595.0,ns,14
serialize_text,ets,,,,50535196.0,ns,14
serialize_text,ets,,,,50755395.0,ns,14
serialize_text,ets,,,,50422096.0,ns,14
serialize_text,ets,,,,50202895.0,ns,14
serialize_text,ets,,,,50625296.0,ns,14
serialize_text,ets,,,,50417595.0,ns,14
serialize_text,ets,,,,53978796.0,ns,14
serialize_text,ets,,,,52912195.0,ns,14
serialize_text,ets,,,,51795796.0,ns,14
serialize_text,ets,,,,50514095.0,ns,14
serialize_text,ets,,,,50938796.0,ns,14
serialize_text,ets,,,,50870995.0,ns,14
serialize_text,ets,,,,50745796.0,ns,14
serialize_text,ets,,,,51099995.0,ns,14
serialize_text,ets,,,,50814696.0,ns,14
serialize_text,ets,,,,50580795.0,ns,14
serialize_text,ets,,,,51130296.0,ns,14
serialize_text,ets,,,,50399795.0,ns,14
serialize_text,ets,,,,50349196.0,ns,14
serialize_text,ets,,,,50710195.0,ns,14
serialize_text,ets,,,,50754896.0,ns,14
serialize_text,ets,,,,50669096.0,ns,14
serialize_text,ets,,,,51133795.0,ns,14
serialize_text,ets,,,,50854996.0,ns,14
serialize_text,ets,,,,50747795.0,ns,14
serialize_text,ets,,,,50688596.0,ns,14
serialize_text,ets,,,,50591795.0,ns,14
serialize_text,ets,,,,50526396.0,ns,14
serialize_text,ets,,,,50954095.0,ns,14
serialize_text,ets,,,,50755296.0,ns,14
serialize_text,ets,,,,51543895.0,ns,14
serialize_text,ets,,,,51798196.0,ns,14
serialize_text,ets,,,,51774395.0,ns,14
serialize_text,ets,,,,51516796.0,ns,14
serialize_text,ets,,,,51629695.0,ns,14
serialize_text,ets,,,,51322096.0,ns,14
