group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_text,hecs,,,,52359862.0,ns,19
serialize_text,hecs,,,,51386262.0,ns,19
serialize_text,hecs,,,,51618962.0,ns,19
serialize_text,hecs,,,,50700762.0,ns,19
serialize_text,hecs,,,,50832363.0,ns,19
serialize_text,hecs,,,,53579460.0,ns,19
serialize_text,hecs,,,,51516962.0,ns,19
serialize_text,hecs,,,,51489162.0,ns,19
serialize_text,hecs,,,,51685462.0,ns,19
serialize_text,hecs,,,,50506963.0,ns,19
serialize_text,hecs,,,,50384663.0,ns,19
serialize_text,hecs,,,,50753262.0,ns,19
serialize_text,hecs,,,,51103063.0,ns,19
serialize_text,hecs,,,,50257463.0,ns,19
serialize_text,hecs,,,,50646762.0,ns,19
serialize_text,hecs,,,,50810063.0,ns,19
serialize_text,hecs,,,,51092762.0,ns,19
serialize_text,hecs,,,,51751562.0,ns,19
serialize_text,hecs,,,,51390562.0,ns,19
serialize_text,hecs,,,,51632562.0,ns,19
serialize_text,hecs,,,,51389962.0,ns,19
serialize_text,hecs,,,,54683460.0,ns,19
serialize_text,hecs,,,,53559460.0,ns,19
serialize_text,hecs,,,,51617562.0,ns,19
serialize_text,hecs,,,,51753462.0,ns,19
serialize_text,hecs,,,,51461662.0,ns,19
serialize_text,hecs,,,,51797762.0,ns,19
serialize_text,hecs,,,,51663762.0,ns,19
serialize_text,hecs,,,,50916864.0,ns,19
serialize_text,hecs,,,,50881900.0,ns,19
serialize_text,hecs,,,,50707300.0,ns,19
serialize_text,hecs,,,,50577700.0,ns,19
serialize_text,hecs,,,,50497300.0,ns,19
serialize_text,hecs,,,,50582200.0,ns,19
serialize_text,hecs,,,,51414100.0,ns,19
serialize_text,hecs,,,,50898300.0,ns,19
serialize_text,hecs,,,,51336000.0,ns,19
serialize_text,hecs,,,,51343200.0,ns,19
serialize_text,hecs,,,,51052800.0,ns,19
serialize_text,hecs,,,,51018000.0,ns,19
serialize_text,hecs,,,,50457700.0,ns,19
serialize_text,hecs,,,,50940500.0,ns,19
serialize_text,hecs,,,,51740800.0,ns,19
serialize_text,hecs,,,,51376100.0,ns,19
serialize_text,hecs,,,,51470700.0,ns,19
serialize_text,hecs,,,,51637500.0,ns,19
serialize_text,hecs,,,,51341300.0,ns,19
serialize_text,hecs,,,,52129200.0,ns,19
serialize_text,hecs,,,,51662501.0,ns,19
serialize_text,hecs,,,,51340800.0,ns,19
serialize_text,hecs,,,,51392300.0,ns,19
serialize_text,hecs,,,,51379400.0,ns,19
serialize_text,hecs,,,,50762600.0,ns,19
serialize_text,hecs,,,,50518400.0,ns,19
serialize_text,hecs,,,,50661900.0,ns,19
serialize_text,hecs,,,,50879500.0,ns,19
serialize_text,hecs,,,,50667700.0,ns,19
serialize_text,hecs,,,,51711600.0,ns,19
serialize_text,hecs,,,,51454900.0,ns,19
serialize_text,hecs,,,,51243000.0,ns,19
serialize_text,hecs,,,,50685200.0,ns,19
serialize_text,hecs,,,,50466900.0,ns,19
serialize_text,hecs,,,,57967200.0,ns,19
serialize_text,hecs,,,,51601600.0,ns,19
serialize_text,hecs,,,,51348800.0,ns,19
serialize_text,hecs,,,,51064000.0,ns,19
serialize_text,hecs,,,,50469600.0,ns,19
serialize_text,hecs,,,,50936600.0,ns,19
serialize_text,hecs,,,,50930300.0,ns,19
serialize_text,hecs,,,,51194800.0,ns,19
serialize_text,hecs,,,,51127100.0,ns,19
serialize_text,hecs,,,,50707600.0,ns,19
serialize_text,hecs,,,,50652300.0,ns,19
serialize_text,hecs,,,,50547100.0,ns,19
serialize_text,hecs,,,,50404600.0,ns,19
serialize_text,hecs,,,,51066000.0,ns,19
serialize_text,hecs,,,,50781500.0,ns,19
serialize_text,hecs,,,,51407500.0,ns,19
serialize_text,hecs,,,,51403500.0,ns,19
serialize_text,hecs,,,,51798400.0,ns,19
serialize_text,hecs,,,,51621800.0,ns,19
serialize_text,hecs,,,,51277500.0,ns,19
serialize_text,hecs,,,,50736600.0,ns,19
serialize_text,hecs,,,,50745700.0,ns,19
serialize_text,hecs,,,,50770901.0,ns,19
serialize_text,hecs,,,,50376000.0,ns,19
serialize_text,hecs,,,,51215200.0,ns,19
serialize_text,hecs,,,,50680700.0,ns,19
serialize_text,hecs,,,,51035400.0,ns,19
serialize_text,hecs,,,,50553300.0,ns,19
serialize_text,hecs,,,,50725800.0,ns,19
serialize_text,hecs,,,,50797900.0,ns,19
serialize_text,hecs,,,,51107400.0,ns,19
serialize_text,hecs,,,,50482700.0,ns,19
serialize_text,hecs,,,,51131700.0,ns,19
serialize_text,hecs,,,,50589800.0,ns,19
serialize_text,hecs,,,,50779000.0,ns,19
serialize_text,hecs,,,,50649000.0,ns,19
serialize_text,hecs,,,,51271300.0,ns,19
serialize_text,hecs,,,,50931100.0,ns,19
