group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_text,legion,,,,57996395.0,ns,9
serialize_text,legion,,,,57281195.0,ns,9
serialize_text,legion,,,,56500695.0,ns,9
serialize_text,legion,,,,56021495.0,ns,9
serialize_text,legion,,,,56187995.0,ns,9
serialize_text,legion,,,,55518895.0,ns,9
serialize_text,legion,,,,55430595.0,ns,9
serialize_text,legion,,,,55895797.0,ns,9
serialize_text,legion,,,,56223900.0,ns,9
serialize_text,legion,,,,55704500.0,ns,9
serialize_text,legion,,,,55932000.0,ns,9
serialize_text,legion,,,,57175000.0,ns,9
serialize_text,legion,,,,57151201.0,ns,9
serialize_text,legion,,,,56448000.0,ns,9
serialize_text,legion,,,,57352200.0,ns,9
serialize_text,legion,,,,56493000.0,ns,9
serialize_text,legion,,,,56549100.0,ns,9
serialize_text,legion,,,,55987700.0,ns,9
serialize_text,legion,,,,55628300.0,ns,9
serialize_text,legion,,,,61901001.0,ns,9
serialize_text,legion,,,,57500090.0,ns,9
serialize_text,legion,,,,57104487.0,ns,9
serialize_text,legion,,,,56884988.0,ns,9
serialize_text,legion,,,,61170987.0,ns,9
serialize_text,legion,,,,56563787.0,ns,9
serialize_text,legion,,,,56632488.0,ns,9
serialize_text,legion,,,,65611786.0,ns,9
serialize_text,legion,,,,63068086.0,ns,9
serialize_text,legion,,,,59690887.0,ns,9
serialize_text,legion,,,,57442787.0,ns,9
serialize_text,legion,,,,57780688.0,ns,9
serialize_text,legion,,,,63707886.0,ns,9
serialize_text,legion,,,,59486587.0,ns,9
serialize_text,legion,,,,57762987.0,ns,9
serialize_text,legion,,,,57774088.0,ns,9
serialize_text,legion,,,,58027387.0,ns,9
serialize_text,legion,,,,57976487.0,ns,9
serialize_text,legion,,,,56661988.0,ns,9
serialize_text,legion,,,,57494488.0,ns,9
serialize_text,legion,,,,58182587.0,ns,9
serialize_text,legion,,,,58664587.0,ns,9
serialize_text,legion,,,,57503688.0,ns,9
serialize_text,legion,,,,56519187.0,ns,9
serialize_text,legion,,,,55704688.0,ns,9
serialize_text,legion,,,,56581288.0,ns,9
serialize_text,legion,,,,56325688.0,ns,9
serialize_text,legion,,,,55912388.0,ns,9
serialize_text,legion,,,,55875888.0,ns,9
serialize_text,legion,,,,55960988.0,ns,9
serialize_text,legion,,,,58064587.0,ns,9
serialize_text,legion,,,,56821388.0,ns,9
serialize_text,legion,,,,56422488.0,ns,9
serialize_text,legion,,,,56497487.0,ns,9
serialize_text,legion,,,,55862488.0,ns,9
serialize_text,legion,,,,55641788.0,ns,9
serialize_text,legion,,,,55992988.0,ns,9
serialize_text,legion,,,,55721088.0,ns,9
serialize_text,legion,,,,57095387.0,ns,9
serialize_text,legion,,,,57058688.0,ns,9
serialize_text,legion,,,,58655587.0,ns,9
serialize_text,legion,,,,58689087.0,ns,9
serialize_text,legion,,,,56739788.0,ns,9
serialize_text,legion,,,,55815988.0,ns,9
serialize_text,legion,,,,56379287.0,ns,9
serialize_text,legion,,,,55776888.0,ns,9
serialize_text,legion,,,,55418588.0,ns,9
serialize_text,legion,,,,55813188.0,ns,9
serialize_text,legion,,,,56007788.0,ns,9
serialize_text,legion,,,,55652288.0,ns,9
serialize_text,legion,,,,56132587.0,ns,9
serialize_text,legion,,,,55441388.0,ns,9
serialize_text,legion,,,,55783288.0,ns,9
serialize_text,legion,,,,57121188.0,ns,9
serialize_text,legion,,,,56735887.0,ns,9
serialize_text,legion,,,,56240788.0,ns,9
serialize_text,legion,,,,56402088.0,ns,9
serialize_text,legion,,,,56598087.0,ns,9
serialize_text,legion,,,,56901588.0,ns,9
serialize_text,legion,,,,55966488.0,ns,9
serialize_text,legion,,,,56233287.0,ns,9
serialize_text,legion,,,,56092788.0,ns,9
serialize_text,legion,,,,55999788.0,ns,9
serialize_text,legion,,,,55701888.0,ns,9
serialize_text,legion,,,,56323288.0,ns,9
serialize_text,legion,,,,56024787.0,ns,9
serialize_text,legion,,,,56767388.0,ns,9
serialize_text,legion,,,,60892187.0,ns,9
serialize_text,legion,,,,56605087.0,ns,9
serialize_text,legion,,,,56540288.0,ns,9
serialize_text,legion,,,,57053288.0,ns,9
serialize_text,legion,,,,55760788.0,ns,9
serialize_text,legion,,,,55402987.0,ns,9
serialize_text,legion,,,,55670888.0,ns,9
serialize_text,legion,,,,55884188.0,ns,9
serialize_text,legion,,,,55749788.0,ns,9
serialize_text,legion,,,,56574288.0,ns,9
serialize_text,legion,,,,56649187.0,ns,9
serialize_text,legion,,,,56116488.0,ns,9
serialize_text,legion,,,,55944988.0,ns,9
serialize_text,legion,,,,55763588.0,ns,9
