group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,bevy,,,,1125000.0,ns,2
simple_insert,bevy,,,,2193200.0,ns,4
simple_insert,bevy,,,,3315900.0,ns,6
simple_insert,bevy,,,,4552200.0,ns,8
simple_insert,bevy,,,,5910200.0,ns,10
simple_insert,bevy,,,,7499399.0,ns,12
simple_insert,bevy,,,,7927400.0,ns,14
simple_insert,bevy,,,,8848000.0,ns,16
simple_insert,bevy,,,,9988400.0,ns,18
simple_insert,bevy,,,,11058600.0,ns,20
simple_insert,bevy,,,,12376600.0,ns,22
simple_insert,bevy,,,,13440100.0,ns,24
simple_insert,bevy,,,,14726400.0,ns,26
simple_insert,bevy,,,,15731700.0,ns,28
simple_insert,bevy,,,,16876300.0,ns,30
simple_insert,bevy,,,,17919000.0,ns,32
simple_insert,bevy,,,,18691000.0,ns,34
simple_insert,bevy,,,,19734999.0,ns,36
simple_insert,bevy,,,,20830300.0,ns,38
simple_insert,bevy,,,,21880800.0,ns,40
simple_insert,bevy,,,,23049400.0,ns,42
simple_insert,bevy,,,,24103600.0,ns,44
simple_insert,bevy,,,,25208100.0,ns,46
simple_insert,bevy,,,,26397600.0,ns,48
simple_insert,bevy,,,,27505699.0,ns,50
simple_insert,bevy,,,,28616600.0,ns,52
simple_insert,bevy,,,,29846000.0,ns,54
simple_insert,bevy,,,,32489600.0,ns,56
simple_insert,bevy,,,,32609500.0,ns,58
simple_insert,bevy,,,,33643800.0,ns,60
simple_insert,bevy,,,,34881999.0,ns,62
simple_insert,bevy,,,,35286800.0,ns,64
simple_insert,bevy,,,,36324200.0,ns,66
simple_insert,bevy,,,,37375100.0,ns,68
simple_insert,bevy,,,,38777899.0,ns,70
simple_insert,bevy,,,,39655600.0,ns,72
simple_insert,bevy,,,,41100400.0,ns,74
simple_insert,bevy,,,,41915100.0,ns,76
simple_insert,bevy,,,,42853200.0,ns,78
simple_insert,bevy,,,,44155399.0,ns,80
simple_insert,bevy,,,,45067400.0,ns,82
simple_insert,bevy,,,,46279500.0,ns,84
simple_insert,bevy,,,,47634499.0,ns,86
simple_insert,bevy,,,,48643900.0,ns,88
simple_insert,bevy,,,,49353400.0,ns,90
simple_insert,bevy,,,,50587200.0,ns,92
simple_insert,bevy,,,,51587899.0,ns,94
simple_insert,bevy,,,,52970900.0,ns,96
simple_insert,bevy,,,,54013500.0,ns,98
simple_insert,bevy,,,,55132299.0,ns,100
simple_insert,bevy,,,,56456100.0,ns,102
simple_insert,bevy,,,,57416600.0,ns,104
simple_insert,bevy,,,,58040599.0,ns,106
simple_insert,bevy,,,,59701100.0,ns,108
simple_insert,bevy,,,,60469300.0,ns,110
simple_insert,bevy,,,,61534399.0,ns,112
simple_insert,bevy,,,,62721300.0,ns,114
simple_insert,bevy,,,,64062100.0,ns,116
simple_insert,bevy,,,,64780599.0,ns,118
simple_insert,bevy,,,,65999900.0,ns,120
simple_insert,bevy,,,,66812099.0,ns,122
simple_insert,bevy,,,,68552000.0,ns,124
simple_insert,bevy,,,,69668500.0,ns,126
simple_insert,bevy,,,,70143899.0,ns,128
simple_insert,bevy,,,,71389700.0,ns,130
simple_insert,bevy,,,,72632499.0,ns,132
simple_insert,bevy,,,,75541000.0,ns,134
simple_insert,bevy,,,,76380599.0,ns,136
simple_insert,bevy,,,,77457400.0,ns,138
simple_insert,bevy,,,,78122600.0,ns,140
simple_insert,bevy,,,,78180799.0,ns,142
simple_insert,bevy,,,,79280700.0,ns,144
simple_insert,bevy,,,,80353899.0,ns,146
simple_insert,bevy,,,,81171500.0,ns,148
simple_insert,bevy,,,,82726699.0,ns,150
simple_insert,bevy,,,,84042500.0,ns,152
simple_insert,bevy,,,,84865599.0,ns,154
simple_insert,bevy,,,,86600700.0,ns,156
simple_insert,bevy,,,,87290299.0,ns,158
simple_insert,bevy,,,,88198100.0,ns,160
simple_insert,bevy,,,,89035299.0,ns,162
simple_insert,bevy,,,,90852700.0,ns,164
simple_insert,bevy,,,,91368399.0,ns,166
simple_insert,bevy,,,,92287000.0,ns,168
simple_insert,bevy,,,,93363199.0,ns,170
simple_insert,bevy,,,,94495899.0,ns,172
simple_insert,bevy,,,,95853000.0,ns,174
simple_insert,bevy,,,,97132799.0,ns,176
simple_insert,bevy,,,,97881300.0,ns,178
simple_insert,bevy,,,,99012299.0,ns,180
simple_insert,bevy,,,,104581100.0,ns,182
simple_insert,bevy,,,,101526499.0,ns,184
simple_insert,bevy,,,,102805999.0,ns,186
simple_insert,bevy,,,,103538000.0,ns,188
simple_insert,bevy,,,,104285699.0,ns,190
simple_insert,bevy,,,,105426800.0,ns,192
simple_insert,bevy,,,,110336099.0,ns,194
simple_insert,bevy,,,,113791199.0,ns,196
simple_insert,bevy,,,,112964500.0,ns,198
simple_insert,bevy,,,,113252099.0,ns,200
