group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,ets,,,,1143700.0,ns,7
simple_insert,ets,,,,2207100.0,ns,14
simple_insert,ets,,,,3294800.0,ns,21
simple_insert,ets,,,,5004400.0,ns,28
simple_insert,ets,,,,7794800.0,ns,35
simple_insert,ets,,,,6589200.0,ns,42
simple_insert,ets,,,,8410200.0,ns,49
simple_insert,ets,,,,8787600.0,ns,56
simple_insert,ets,,,,10243100.0,ns,63
simple_insert,ets,,,,11610600.0,ns,70
simple_insert,ets,,,,12108600.0,ns,77
simple_insert,ets,,,,13343300.0,ns,84
simple_insert,ets,,,,14453200.0,ns,91
simple_insert,ets,,,,15689300.0,ns,98
simple_insert,ets,,,,16627900.0,ns,105
simple_insert,ets,,,,17700300.0,ns,112
simple_insert,ets,,,,18797499.0,ns,119
simple_insert,ets,,,,19904900.0,ns,126
simple_insert,ets,,,,20836700.0,ns,133
simple_insert,ets,,,,21861000.0,ns,140
simple_insert,ets,,,,22980900.0,ns,147
simple_insert,ets,,,,24013000.0,ns,154
simple_insert,ets,,,,25316400.0,ns,161
simple_insert,ets,,,,26692299.0,ns,168
simple_insert,ets,,,,28941800.0,ns,175
simple_insert,ets,,,,30336100.0,ns,182
simple_insert,ets,,,,29895500.0,ns,189
simple_insert,ets,,,,30994200.0,ns,196
simple_insert,ets,,,,32294000.0,ns,203
simple_insert,ets,,,,33204499.0,ns,210
simple_insert,ets,,,,33939900.0,ns,217
simple_insert,ets,,,,35112500.0,ns,224
simple_insert,ets,,,,36034300.0,ns,231
simple_insert,ets,,,,37152999.0,ns,238
simple_insert,ets,,,,38158400.0,ns,245
simple_insert,ets,,,,38897100.0,ns,252
simple_insert,ets,,,,40012000.0,ns,259
simple_insert,ets,,,,41068100.0,ns,266
simple_insert,ets,,,,42449299.0,ns,273
simple_insert,ets,,,,43569000.0,ns,280
simple_insert,ets,,,,44664600.0,ns,287
simple_insert,ets,,,,45801499.0,ns,294
simple_insert,ets,,,,47668700.0,ns,301
simple_insert,ets,,,,48720600.0,ns,308
simple_insert,ets,,,,49880500.0,ns,315
simple_insert,ets,,,,50557499.0,ns,322
simple_insert,ets,,,,51261200.0,ns,329
simple_insert,ets,,,,52407900.0,ns,336
simple_insert,ets,,,,54268099.0,ns,343
simple_insert,ets,,,,55424800.0,ns,350
simple_insert,ets,,,,56473000.0,ns,357
simple_insert,ets,,,,57461599.0,ns,364
simple_insert,ets,,,,58609700.0,ns,371
simple_insert,ets,,,,59453700.0,ns,378
simple_insert,ets,,,,61151399.0,ns,385
simple_insert,ets,,,,62969500.0,ns,392
simple_insert,ets,,,,65934099.0,ns,399
simple_insert,ets,,,,66955300.0,ns,406
simple_insert,ets,,,,66205000.0,ns,413
simple_insert,ets,,,,66344999.0,ns,420
simple_insert,ets,,,,67688100.0,ns,427
simple_insert,ets,,,,67532199.0,ns,434
simple_insert,ets,,,,68925300.0,ns,441
simple_insert,ets,,,,69948500.0,ns,448
simple_insert,ets,,,,71003499.0,ns,455
simple_insert,ets,,,,74433900.0,ns,462
simple_insert,ets,,,,73452799.0,ns,469
simple_insert,ets,,,,75781800.0,ns,476
simple_insert,ets,,,,75471999.0,ns,483
simple_insert,ets,,,,77332700.0,ns,490
simple_insert,ets,,,,78374999.0,ns,497
simple_insert,ets,,,,78926300.0,ns,504
simple_insert,ets,,,,79699799.0,ns,511
simple_insert,ets,,,,80918300.0,ns,518
simple_insert,ets,,,,83614799.0,ns,525
simple_insert,ets,,,,84423200.0,ns,532
simple_insert,ets,,,,84646999.0,ns,539
simple_insert,ets,,,,85022000.0,ns,546
simple_insert,ets,,,,86504199.0,ns,553
simple_insert,ets,,,,88330400.0,ns,560
simple_insert,ets,,,,89593899.0,ns,567
simple_insert,ets,,,,89698700.0,ns,574
simple_insert,ets,,,,92379899.0,ns,581
simple_insert,ets,,,,92941500.0,ns,588
simple_insert,ets,,,,93269199.0,ns,595
simple_insert,ets,,,,93943300.0,ns,602
simple_insert,ets,,,,95902799.0,ns,609
simple_insert,ets,,,,95529899.0,ns,616
simple_insert,ets,,,,96309900.0,ns,623
simple_insert,ets,,,,105157799.0,ns,630
simple_insert,ets,,,,101493700.0,ns,637
simple_insert,ets,,,,100435999.0,ns,644
simple_insert,ets,,,,101299799.0,ns,651
simple_insert,ets,,,,103153500.0,ns,658
simple_insert,ets,,,,104973399.0,ns,665
simple_insert,ets,,,,106304600.0,ns,672
simple_insert,ets,,,,106281699.0,ns,679
simple_insert,ets,,,,107636399.0,ns,686
simple_insert,ets,,,,109342200.0,ns,693
simple_insert,ets,,,,108974599.0,ns,700
