group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,hecs,,,,1150300.0,ns,3
simple_insert,hecs,,,,2356800.0,ns,6
simple_insert,hecs,,,,3496100.0,ns,9
simple_insert,hecs,,,,5089800.0,ns,12
simple_insert,hecs,,,,7161200.0,ns,15
simple_insert,hecs,,,,7623800.0,ns,18
simple_insert,hecs,,,,8110800.0,ns,21
simple_insert,hecs,,,,9613000.0,ns,24
simple_insert,hecs,,,,10560100.0,ns,27
simple_insert,hecs,,,,11947800.0,ns,30
simple_insert,hecs,,,,13173700.0,ns,33
simple_insert,hecs,,,,14433700.0,ns,36
simple_insert,hecs,,,,15492199.0,ns,39
simple_insert,hecs,,,,16657400.0,ns,42
simple_insert,hecs,,,,17841100.0,ns,45
simple_insert,hecs,,,,19056800.0,ns,48
simple_insert,hecs,,,,19795200.0,ns,51
simple_insert,hecs,,,,21080700.0,ns,54
simple_insert,hecs,,,,22228500.0,ns,57
simple_insert,hecs,,,,23338200.0,ns,60
simple_insert,hecs,,,,24521699.0,ns,63
simple_insert,hecs,,,,25659600.0,ns,66
simple_insert,hecs,,,,26909600.0,ns,69
simple_insert,hecs,,,,27923800.0,ns,72
simple_insert,hecs,,,,29124700.0,ns,75
simple_insert,hecs,,,,30533600.0,ns,78
simple_insert,hecs,,,,31514900.0,ns,81
simple_insert,hecs,,,,32743399.0,ns,84
simple_insert,hecs,,,,33848500.0,ns,87
simple_insert,hecs,,,,35001500.0,ns,90
simple_insert,hecs,,,,36409200.0,ns,93
simple_insert,hecs,,,,37569799.0,ns,96
simple_insert,hecs,,,,38526200.0,ns,99
simple_insert,hecs,,,,39707100.0,ns,102
simple_insert,hecs,,,,41058700.0,ns,105
simple_insert,hecs,,,,41775800.0,ns,108
simple_insert,hecs,,,,43043799.0,ns,111
simple_insert,hecs,,,,44253400.0,ns,114
simple_insert,hecs,,,,45519800.0,ns,117
simple_insert,hecs,,,,46572800.0,ns,120
simple_insert,hecs,,,,49440599.0,ns,123
simple_insert,hecs,,,,51007800.0,ns,126
simple_insert,hecs,,,,51073000.0,ns,129
simple_insert,hecs,,,,52209099.0,ns,132
simple_insert,hecs,,,,52232900.0,ns,135
simple_insert,hecs,,,,53372300.0,ns,138
simple_insert,hecs,,,,54544399.0,ns,141
simple_insert,hecs,,,,55712500.0,ns,144
simple_insert,hecs,,,,57169100.0,ns,147
simple_insert,hecs,,,,58326899.0,ns,150
simple_insert,hecs,,,,59503000.0,ns,153
simple_insert,hecs,,,,60659800.0,ns,156
simple_insert,hecs,,,,61625699.0,ns,159
simple_insert,hecs,,,,63018500.0,ns,162
simple_insert,hecs,,,,64013800.0,ns,165
simple_insert,hecs,,,,65045699.0,ns,168
simple_insert,hecs,,,,66279300.0,ns,171
simple_insert,hecs,,,,67788600.0,ns,174
simple_insert,hecs,,,,68679399.0,ns,177
simple_insert,hecs,,,,69883700.0,ns,180
simple_insert,hecs,,,,70954399.0,ns,183
simple_insert,hecs,,,,72116100.0,ns,186
simple_insert,hecs,,,,73247199.0,ns,189
simple_insert,hecs,,,,74403000.0,ns,192
simple_insert,hecs,,,,75661000.0,ns,195
simple_insert,hecs,,,,76688399.0,ns,198
simple_insert,hecs,,,,77814100.0,ns,201
simple_insert,hecs,,,,79137599.0,ns,204
simple_insert,hecs,,,,80425500.0,ns,207
simple_insert,hecs,,,,81382099.0,ns,210
simple_insert,hecs,,,,82643300.0,ns,213
simple_insert,hecs,,,,86948399.0,ns,216
simple_insert,hecs,,,,87010800.0,ns,219
simple_insert,hecs,,,,86131199.0,ns,222
simple_insert,hecs,,,,87713000.0,ns,225
simple_insert,hecs,,,,88719099.0,ns,228
simple_insert,hecs,,,,89644000.0,ns,231
simple_insert,hecs,,,,91001699.0,ns,234
simple_insert,hecs,,,,91800400.0,ns,237
simple_insert,hecs,,,,93454699.0,ns,240
simple_insert,hecs,,,,94739600.0,ns,243
simple_insert,hecs,,,,95384399.0,ns,246
simple_insert,hecs,,,,97367500.0,ns,249
simple_insert,hecs,,,,98403699.0,ns,252
simple_insert,hecs,,,,99122499.0,ns,255
simple_insert,hecs,,,,100453100.0,ns,258
simple_insert,hecs,,,,101268699.0,ns,261
simple_insert,hecs,,,,102725300.0,ns,264
simple_insert,hecs,,,,104387099.0,ns,267
simple_insert,hecs,,,,104764799.0,ns,270
simple_insert,hecs,,,,106015100.0,ns,273
simple_insert,hecs,,,,107053999.0,ns,276
simple_insert,hecs,,,,109019100.0,ns,279
simple_insert,hecs,,,,112963299.0,ns,282
simple_insert,hecs,,,,111445999.0,ns,285
simple_insert,hecs,,,,111864900.0,ns,288
simple_insert,hecs,,,,112859999.0,ns,291
simple_insert,hecs,,,,114458699.0,ns,294
simple_insert,hecs,,,,115373900.0,ns,297
simple_insert,hecs,,,,116420299.0,ns,300
