group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,legion,,,,1058100.0,ns,5
simple_insert,legion,,,,2113200.0,ns,10
simple_insert,legion,,,,3176600.0,ns,15
simple_insert,legion,,,,4693300.0,ns,20
simple_insert,legion,,,,7633900.0,ns,25
simple_insert,legion,,,,6269700.0,ns,30
simple_insert,legion,,,,7271599.0,ns,35
simple_insert,legion,,,,8650400.0,ns,40
simple_insert,legion,,,,9433600.0,ns,45
simple_insert,legion,,,,11060300.0,ns,50
simple_insert,legion,,,,11750500.0,ns,55
simple_insert,legion,,,,12589800.0,ns,60
simple_insert,legion,,,,13857600.0,ns,65
simple_insert,legion,,,,15106700.0,ns,70
simple_insert,legion,,,,16069200.0,ns,75
simple_insert,legion,,,,17160200.0,ns,80
simple_insert,legion,,,,18233300.0,ns,85
simple_insert,legion,,,,19340000.0,ns,90
simple_insert,legion,,,,20103699.0,ns,95
simple_insert,legion,,,,20966700.0,ns,100
simple_insert,legion,,,,22205600.0,ns,105
simple_insert,legion,,,,23349200.0,ns,110
simple_insert,legion,,,,24383200.0,ns,115
simple_insert,legion,,,,25395400.0,ns,120
simple_insert,legion,,,,26272800.0,ns,125
simple_insert,legion,,,,27606499.0,ns,130
simple_insert,legion,,,,28871000.0,ns,135
simple_insert,legion,,,,29634600.0,ns,140
simple_insert,legion,,,,30725800.0,ns,145
simple_insert,legion,,,,31414500.0,ns,150
simple_insert,legion,,,,32299200.0,ns,155
simple_insert,legion,,,,33281799.0,ns,160
simple_insert,legion,,,,34819100.0,ns,165
simple_insert,legion,,,,35707400.0,ns,170
simple_insert,legion,,,,36743700.0,ns,175
simple_insert,legion,,,,37814599.0,ns,180
simple_insert,legion,,,,38991500.0,ns,185
simple_insert,legion,,,,40378300.0,ns,190
simple_insert,legion,,,,43911400.0,ns,195
simple_insert,legion,,,,43415399.0,ns,200
simple_insert,legion,,,,43704700.0,ns,205
simple_insert,legion,,,,44681000.0,ns,210
simple_insert,legion,,,,45379200.0,ns,215
simple_insert,legion,,,,45792799.0,ns,220
simple_insert,legion,,,,47666900.0,ns,225
simple_insert,legion,,,,48723200.0,ns,230
simple_insert,legion,,,,49911199.0,ns,235
simple_insert,legion,,,,51039400.0,ns,240
simple_insert,legion,,,,51922800.0,ns,245
simple_insert,legion,,,,52937500.0,ns,250
simple_insert,legion,,,,54287299.0,ns,255
simple_insert,legion,,,,55225700.0,ns,260
simple_insert,legion,,,,56246500.0,ns,265
simple_insert,legion,,,,56414399.0,ns,270
simple_insert,legion,,,,57493600.0,ns,275
simple_insert,legion,,,,58299000.0,ns,280
simple_insert,legion,,,,59745399.0,ns,285
simple_insert,legion,,,,60780600.0,ns,290
simple_insert,legion,,,,61823199.0,ns,295
simple_insert,legion,,,,63881600.0,ns,300
simple_insert,legion,,,,64656400.0,ns,305
simple_insert,legion,,,,66139699.0,ns,310
simple_insert,legion,,,,66530300.0,ns,315
simple_insert,legion,,,,67435700.0,ns,320
simple_insert,legion,,,,68186399.0,ns,325
simple_insert,legion,,,,69247600.0,ns,330
simple_insert,legion,,,,70957599.0,ns,335
simple_insert,legion,,,,71146400.0,ns,340
simple_insert,legion,,,,72466799.0,ns,345
simple_insert,legion,,,,73601000.0,ns,350
simple_insert,legion,,,,75459300.0,ns,355
simple_insert,legion,,,,75499499.0,ns,360
simple_insert,legion,,,,76685000.0,ns,365
simple_insert,legion,,,,83495699.0,ns,370
simple_insert,legion,,,,79808600.0,ns,375
simple_insert,legion,,,,80895799.0,ns,380
simple_insert,legion,,,,80144500.0,ns,385
simple_insert,legion,,,,82404799.0,ns,390
simple_insert,legion,,,,83705000.0,ns,395
simple_insert,legion,,,,84676299.0,ns,400
simple_insert,legion,,,,85254700.0,ns,405
simple_insert,legion,,,,86029399.0,ns,410
simple_insert,legion,,,,87052600.0,ns,415
simple_insert,legion,,,,88472299.0,ns,420
simple_insert,legion,,,,89153400.0,ns,425
simple_insert,legion,,,,89628999.0,ns,430
simple_insert,legion,,,,92016400.0,ns,435
simple_insert,legion,,,,93632699.0,ns,440
simple_insert,legion,,,,93931099.0,ns,445
simple_insert,legion,,,,95026900.0,ns,450
simple_insert,legion,,,,96459199.0,ns,455
simple_insert,legion,,,,95822000.0,ns,460
simple_insert,legion,,,,97480399.0,ns,465
simple_insert,legion,,,,99414900.0,ns,470
simple_insert,legion,,,,99942599.0,ns,475
simple_insert,legion,,,,104032799.0,ns,480
simple_insert,legion,,,,103418600.0,ns,485
simple_insert,legion,,,,103721399.0,ns,490
simple_insert,legion,,,,103271000.0,ns,495
simple_insert,legion,,,,106014899.0,ns,500
