group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,planck_ecs,,,,1202100.0,ns,3
simple_insert,planck_ecs,,,,2419700.0,ns,6
simple_insert,planck_ecs,,,,3614200.0,ns,9
simple_insert,planck_ecs,,,,5414500.0,ns,12
simple_insert,planck_ecs,,,,7424400.0,ns,15
simple_insert,planck_ecs,,,,7427800.0,ns,18
simple_insert,planck_ecs,,,,8629200.0,ns,21
simple_insert,planck_ecs,,,,9867500.0,ns,24
simple_insert,planck_ecs,,,,11075600.0,ns,27
simple_insert,planck_ecs,,,,12301800.0,ns,30
simple_insert,planck_ecs,,,,13632100.0,ns,33
simple_insert,planck_ecs,,,,14791900.0,ns,36
simple_insert,planck_ecs,,,,16017100.0,ns,39
simple_insert,planck_ecs,,,,17099000.0,ns,42
simple_insert,planck_ecs,,,,18278700.0,ns,45
simple_insert,planck_ecs,,,,19398799.0,ns,48
simple_insert,planck_ecs,,,,20576300.0,ns,51
simple_insert,planck_ecs,,,,21742700.0,ns,54
simple_insert,planck_ecs,,,,23092200.0,ns,57
simple_insert,planck_ecs,,,,24167700.0,ns,60
simple_insert,planck_ecs,,,,25459700.0,ns,63
simple_insert,planck_ecs,,,,26631800.0,ns,66
simple_insert,planck_ecs,,,,27854499.0,ns,69
simple_insert,planck_ecs,,,,29009700.0,ns,72
simple_insert,planck_ecs,,,,30299200.0,ns,75
simple_insert,planck_ecs,,,,31545800.0,ns,78
simple_insert,planck_ecs,,,,32694100.0,ns,81
simple_insert,planck_ecs,,,,34044000.0,ns,84
simple_insert,planck_ecs,,,,35086699.0,ns,87
simple_insert,planck_ecs,,,,36315200.0,ns,90
simple_insert,planck_ecs,,,,37534600.0,ns,93
simple_insert,planck_ecs,,,,38763400.0,ns,96
simple_insert,planck_ecs,,,,39996700.0,ns,99
simple_insert,planck_ecs,,,,41335699.0,ns,102
simple_insert,planck_ecs,,,,42353800.0,ns,105
simple_insert,planck_ecs,,,,43589700.0,ns,108
simple_insert,planck_ecs,,,,44848900.0,ns,111
simple_insert,planck_ecs,,,,45942399.0,ns,114
simple_insert,planck_ecs,,,,47557600.0,ns,117
simple_insert,planck_ecs,,,,48475300.0,ns,120
simple_insert,planck_ecs,,,,49606299.0,ns,123
simple_insert,planck_ecs,,,,50588300.0,ns,126
simple_insert,planck_ecs,,,,52039200.0,ns,129
simple_insert,planck_ecs,,,,53234300.0,ns,132
simple_insert,planck_ecs,,,,57250899.0,ns,135
simple_insert,planck_ecs,,,,56078700.0,ns,138
simple_insert,planck_ecs,,,,58030700.0,ns,141
simple_insert,planck_ecs,,,,59258099.0,ns,144
simple_insert,planck_ecs,,,,59465600.0,ns,147
simple_insert,planck_ecs,,,,60143600.0,ns,150
simple_insert,planck_ecs,,,,61542599.0,ns,153
simple_insert,planck_ecs,,,,63237600.0,ns,156
simple_insert,planck_ecs,,,,64355200.0,ns,159
simple_insert,planck_ecs,,,,65410099.0,ns,162
simple_insert,planck_ecs,,,,66607800.0,ns,165
simple_insert,planck_ecs,,,,67757599.0,ns,168
simple_insert,planck_ecs,,,,69112000.0,ns,171
simple_insert,planck_ecs,,,,70036300.0,ns,174
simple_insert,planck_ecs,,,,71261199.0,ns,177
simple_insert,planck_ecs,,,,72672100.0,ns,180
simple_insert,planck_ecs,,,,73818999.0,ns,183
simple_insert,planck_ecs,,,,75092900.0,ns,186
simple_insert,planck_ecs,,,,75853500.0,ns,189
simple_insert,planck_ecs,,,,78087099.0,ns,192
simple_insert,planck_ecs,,,,78879200.0,ns,195
simple_insert,planck_ecs,,,,80483699.0,ns,198
simple_insert,planck_ecs,,,,81619500.0,ns,201
simple_insert,planck_ecs,,,,82144899.0,ns,204
simple_insert,planck_ecs,,,,83663500.0,ns,207
simple_insert,planck_ecs,,,,86604699.0,ns,210
simple_insert,planck_ecs,,,,86447900.0,ns,213
simple_insert,planck_ecs,,,,87548699.0,ns,216
simple_insert,planck_ecs,,,,90660400.0,ns,219
simple_insert,planck_ecs,,,,91612799.0,ns,222
simple_insert,planck_ecs,,,,91734900.0,ns,225
simple_insert,planck_ecs,,,,91983499.0,ns,228
simple_insert,planck_ecs,,,,93866500.0,ns,231
simple_insert,planck_ecs,,,,94837099.0,ns,234
simple_insert,planck_ecs,,,,96234300.0,ns,237
simple_insert,planck_ecs,,,,96801599.0,ns,240
simple_insert,planck_ecs,,,,98645099.0,ns,243
simple_insert,planck_ecs,,,,100158900.0,ns,246
simple_insert,planck_ecs,,,,100993199.0,ns,249
simple_insert,planck_ecs,,,,101894300.0,ns,252
simple_insert,planck_ecs,,,,102431799.0,ns,255
simple_insert,planck_ecs,,,,104595700.0,ns,258
simple_insert,planck_ecs,,,,105812499.0,ns,261
simple_insert,planck_ecs,,,,106563999.0,ns,264
simple_insert,planck_ecs,,,,107644300.0,ns,267
simple_insert,planck_ecs,,,,109341099.0,ns,270
simple_insert,planck_ecs,,,,109662600.0,ns,273
simple_insert,planck_ecs,,,,111550499.0,ns,276
simple_insert,planck_ecs,,,,112510799.0,ns,279
simple_insert,planck_ecs,,,,117744200.0,ns,282
simple_insert,planck_ecs,,,,116467799.0,ns,285
simple_insert,planck_ecs,,,,116076099.0,ns,288
simple_insert,planck_ecs,,,,118025900.0,ns,291
simple_insert,planck_ecs,,,,118930799.0,ns,294
simple_insert,planck_ecs,,,,120388999.0,ns,297
simple_insert,planck_ecs,,,,121517700.0,ns,300
