group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,shipyard,,,,1286300.0,ns,3
simple_insert,shipyard,,,,2599800.0,ns,6
simple_insert,shipyard,,,,3879000.0,ns,9
simple_insert,shipyard,,,,5346300.0,ns,12
simple_insert,shipyard,,,,6571900.0,ns,15
simple_insert,shipyard,,,,9343200.0,ns,18
simple_insert,shipyard,,,,9325000.0,ns,21
simple_insert,shipyard,,,,10451400.0,ns,24
simple_insert,shipyard,,,,11969800.0,ns,27
simple_insert,shipyard,,,,13347300.0,ns,30
simple_insert,shipyard,,,,14546100.0,ns,33
simple_insert,shipyard,,,,15890100.0,ns,36
simple_insert,shipyard,,,,17047100.0,ns,39
simple_insert,shipyard,,,,18490600.0,ns,42
simple_insert,shipyard,,,,19470200.0,ns,45
simple_insert,shipyard,,,,20551399.0,ns,48
simple_insert,shipyard,,,,21943800.0,ns,51
simple_insert,shipyard,,,,23440800.0,ns,54
simple_insert,shipyard,,,,24216900.0,ns,57
simple_insert,shipyard,,,,25800300.0,ns,60
simple_insert,shipyard,,,,27206200.0,ns,63
simple_insert,shipyard,,,,28382900.0,ns,66
simple_insert,shipyard,,,,29893599.0,ns,69
simple_insert,shipyard,,,,30530200.0,ns,72
simple_insert,shipyard,,,,31969700.0,ns,75
simple_insert,shipyard,,,,33214600.0,ns,78
simple_insert,shipyard,,,,35535900.0,ns,81
simple_insert,shipyard,,,,36028599.0,ns,84
simple_insert,shipyard,,,,38016800.0,ns,87
simple_insert,shipyard,,,,38676500.0,ns,90
simple_insert,shipyard,,,,39673100.0,ns,93
simple_insert,shipyard,,,,41229900.0,ns,96
simple_insert,shipyard,,,,42818499.0,ns,99
simple_insert,shipyard,,,,44386600.0,ns,102
simple_insert,shipyard,,,,45647500.0,ns,105
simple_insert,shipyard,,,,46757300.0,ns,108
simple_insert,shipyard,,,,48178799.0,ns,111
simple_insert,shipyard,,,,49250800.0,ns,114
simple_insert,shipyard,,,,55942600.0,ns,117
simple_insert,shipyard,,,,53503499.0,ns,120
simple_insert,shipyard,,,,54737500.0,ns,123
simple_insert,shipyard,,,,54892800.0,ns,126
simple_insert,shipyard,,,,56352900.0,ns,129
simple_insert,shipyard,,,,57193299.0,ns,132
simple_insert,shipyard,,,,58612000.0,ns,135
simple_insert,shipyard,,,,59860700.0,ns,138
simple_insert,shipyard,,,,61133799.0,ns,141
simple_insert,shipyard,,,,62547900.0,ns,144
simple_insert,shipyard,,,,63920400.0,ns,147
simple_insert,shipyard,,,,65461699.0,ns,150
simple_insert,shipyard,,,,66928300.0,ns,153
simple_insert,shipyard,,,,68214099.0,ns,156
simple_insert,shipyard,,,,69439500.0,ns,159
simple_insert,shipyard,,,,70473500.0,ns,162
simple_insert,shipyard,,,,71519699.0,ns,165
simple_insert,shipyard,,,,73230400.0,ns,168
simple_insert,shipyard,,,,74380899.0,ns,171
simple_insert,shipyard,,,,76318100.0,ns,174
simple_insert,shipyard,,,,76161600.0,ns,177
simple_insert,shipyard,,,,77913199.0,ns,180
simple_insert,shipyard,,,,79857700.0,ns,183
simple_insert,shipyard,,,,82539799.0,ns,186
simple_insert,shipyard,,,,81759700.0,ns,189
simple_insert,shipyard,,,,82777899.0,ns,192
simple_insert,shipyard,,,,84739200.0,ns,195
simple_insert,shipyard,,,,85980499.0,ns,198
simple_insert,shipyard,,,,87157900.0,ns,201
simple_insert,shipyard,,,,94115499.0,ns,204
simple_insert,shipyard,,,,91057200.0,ns,207
simple_insert,shipyard,,,,93324199.0,ns,210
simple_insert,shipyard,,,,92774100.0,ns,213
simple_insert,shipyard,,,,94062999.0,ns,216
simple_insert,shipyard,,,,96101200.0,ns,219
simple_insert,shipyard,,,,97016899.0,ns,222
simple_insert,shipyard,,,,98495000.0,ns,225
simple_insert,shipyard,,,,99383799.0,ns,228
simple_insert,shipyard,,,,100859200.0,ns,231
simple_insert,shipyard,,,,101372299.0,ns,234
simple_insert,shipyard,,,,102622300.0,ns,237
simple_insert,shipyard,,,,105165099.0,ns,240
simple_insert,shipyard,,,,105453100.0,ns,243
simple_insert,shipyard,,,,106278299.0,ns,246
simple_insert,shipyard,,,,107979900.0,ns,249
simple_insert,shipyard,,,,109203999.0,ns,252
simple_insert,shipyard,,,,111127399.0,ns,255
simple_insert,shipyard,,,,111980200.0,ns,258
simple_insert,shipyard,,,,113714099.0,ns,261
simple_insert,shipyard,,,,121001400.0,ns,264
simple_insert,shipyard,,,,118870899.0,ns,267
simple_insert,shipyard,,,,117795499.0,ns,270
simple_insert,shipyard,,,,118986300.0,ns,273
simple_insert,shipyard,,,,120657099.0,ns,276
simple_insert,shipyard,,,,120905100.0,ns,279
simple_insert,shipyard,,,,122192599.0,ns,282
simple_insert,shipyard,,,,124730699.0,ns,285
simple_insert,shipyard,,,,125041300.0,ns,288
simple_insert,shipyard,,,,127024199.0,ns,291
simple_insert,shipyard,,,,127834799.0,ns,294
simple_insert,shipyard,,,,129098400.0,ns,297
simple_insert,shipyard,,,,129579999.0,ns,300
