group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,specs,,,,1383200.0,ns,1
simple_insert,specs,,,,2815500.0,ns,2
simple_insert,specs,,,,4665000.0,ns,3
simple_insert,specs,,,,5864000.0,ns,4
simple_insert,specs,,,,8326400.0,ns,5
simple_insert,specs,,,,8427500.0,ns,6
simple_insert,specs,,,,9952600.0,ns,7
simple_insert,specs,,,,11275200.0,ns,8
simple_insert,specs,,,,12932300.0,ns,9
simple_insert,specs,,,,14597600.0,ns,10
simple_insert,specs,,,,15727100.0,ns,11
simple_insert,specs,,,,17110599.0,ns,12
simple_insert,specs,,,,18538000.0,ns,13
simple_insert,specs,,,,20016400.0,ns,14
simple_insert,specs,,,,21496800.0,ns,15
simple_insert,specs,,,,22978700.0,ns,16
simple_insert,specs,,,,24232000.0,ns,17
simple_insert,specs,,,,25300200.0,ns,18
simple_insert,specs,,,,29268400.0,ns,19
simple_insert,specs,,,,28942000.0,ns,20
simple_insert,specs,,,,30057499.0,ns,21
simple_insert,specs,,,,31449100.0,ns,22
simple_insert,specs,,,,32818200.0,ns,23
simple_insert,specs,,,,33755300.0,ns,24
simple_insert,specs,,,,35503600.0,ns,25
simple_insert,specs,,,,36789800.0,ns,26
simple_insert,specs,,,,38780800.0,ns,27
simple_insert,specs,,,,39354999.0,ns,28
simple_insert,specs,,,,40947800.0,ns,29
simple_insert,specs,,,,42076600.0,ns,30
simple_insert,specs,,,,43844900.0,ns,31
simple_insert,specs,,,,44836600.0,ns,32
simple_insert,specs,,,,46254799.0,ns,33
simple_insert,specs,,,,47627500.0,ns,34
simple_insert,specs,,,,49224900.0,ns,35
simple_insert,specs,,,,50402600.0,ns,36
simple_insert,specs,,,,51614600.0,ns,37
simple_insert,specs,,,,53412699.0,ns,38
simple_insert,specs,,,,54878900.0,ns,39
simple_insert,specs,,,,56230900.0,ns,40
simple_insert,specs,,,,57671100.0,ns,41
simple_insert,specs,,,,58689899.0,ns,42
simple_insert,specs,,,,60334800.0,ns,43
simple_insert,specs,,,,61749800.0,ns,44
simple_insert,specs,,,,62944900.0,ns,45
simple_insert,specs,,,,64350899.0,ns,46
simple_insert,specs,,,,65878200.0,ns,47
simple_insert,specs,,,,67131900.0,ns,48
simple_insert,specs,,,,68768699.0,ns,49
simple_insert,specs,,,,70189900.0,ns,50
simple_insert,specs,,,,71743800.0,ns,51
simple_insert,specs,,,,73277800.0,ns,52
simple_insert,specs,,,,74698099.0,ns,53
simple_insert,specs,,,,75869700.0,ns,54
simple_insert,specs,,,,77280300.0,ns,55
simple_insert,specs,,,,78545599.0,ns,56
simple_insert,specs,,,,82678200.0,ns,57
simple_insert,specs,,,,83502900.0,ns,58
simple_insert,specs,,,,84478499.0,ns,59
simple_insert,specs,,,,84219200.0,ns,60
simple_insert,specs,,,,85837999.0,ns,61
simple_insert,specs,,,,87388200.0,ns,62
simple_insert,specs,,,,88514100.0,ns,63
simple_insert,specs,,,,90109099.0,ns,64
simple_insert,specs,,,,91336700.0,ns,65
simple_insert,specs,,,,92679599.0,ns,66
simple_insert,specs,,,,94176400.0,ns,67
simple_insert,specs,,,,95640700.0,ns,68
simple_insert,specs,,,,96926399.0,ns,69
simple_insert,specs,,,,97981300.0,ns,70
simple_insert,specs,,,,99331299.0,ns,71
simple_insert,specs,,,,100793000.0,ns,72
simple_insert,specs,,,,102435300.0,ns,73
simple_insert,specs,,,,103830899.0,ns,74
simple_insert,specs,,,,104970100.0,ns,75
simple_insert,specs,,,,106550699.0,ns,76
simple_insert,specs,,,,107848500.0,ns,77
simple_insert,specs,,,,109626899.0,ns,78
simple_insert,specs,,,,116980600.0,ns,79
simple_insert,specs,,,,113581899.0,ns,80
simple_insert,specs,,,,113283100.0,ns,81
simple_insert,specs,,,,114877599.0,ns,82
simple_insert,specs,,,,116388800.0,ns,83
simple_insert,specs,,,,117592899.0,ns,84
simple_insert,specs,,,,119334300.0,ns,85
simple_insert,specs,,,,120784999.0,ns,86
simple_insert,specs,,,,122458000.0,ns,87
simple_insert,specs,,,,124440099.0,ns,88
simple_insert,specs,,,,125171600.0,ns,89
simple_insert,specs,,,,126243699.0,ns,90
simple_insert,specs,,,,127561000.0,ns,91
simple_insert,specs,,,,129107999.0,ns,92
simple_insert,specs,,,,130526200.0,ns,93
simple_insert,specs,,,,131735299.0,ns,94
simple_insert,specs,,,,135248800.0,ns,95
simple_insert,specs,,,,137707500.0,ns,96
simple_insert,specs,,,,136420299.0,ns,97
simple_insert,specs,,,,137339000.0,ns,98
simple_insert,specs,,,,138787699.0,ns,99
simple_insert,specs,,,,140483500.0,ns,100
