group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,bevy,,,,1005000.0,ns,52
simple_iter,bevy,,,,2034500.0,ns,104
simple_iter,bevy,,,,3119100.0,ns,156
simple_iter,bevy,,,,4102300.0,ns,208
simple_iter,bevy,,,,6143300.0,ns,260
simple_iter,bevy,,,,6452200.0,ns,312
simple_iter,bevy,,,,7085800.0,ns,364
simple_iter,bevy,,,,8121800.0,ns,416
simple_iter,bevy,,,,9192501.0,ns,468
simple_iter,bevy,,,,10203500.0,ns,520
simple_iter,bevy,,,,11225700.0,ns,572
simple_iter,bevy,,,,12193200.0,ns,624
simple_iter,bevy,,,,13223301.0,ns,676
simple_iter,bevy,,,,14232100.0,ns,728
simple_iter,bevy,,,,15215900.0,ns,780
simple_iter,bevy,,,,15952001.0,ns,832
simple_iter,bevy,,,,16916100.0,ns,884
simple_iter,bevy,,,,17881101.0,ns,936
simple_iter,bevy,,,,18903900.0,ns,988
simple_iter,bevy,,,,19862700.0,ns,1040
simple_iter,bevy,,,,20932101.0,ns,1092
simple_iter,bevy,,,,21900900.0,ns,1144
simple_iter,bevy,,,,23103301.0,ns,1196
simple_iter,bevy,,,,24069800.0,ns,1248
simple_iter,bevy,,,,24943001.0,ns,1300
simple_iter,bevy,,,,25968700.0,ns,1352
simple_iter,bevy,,,,26821501.0,ns,1404
simple_iter,bevy,,,,27748001.0,ns,1456
simple_iter,bevy,,,,28811300.0,ns,1508
simple_iter,bevy,,,,29873801.0,ns,1560
simple_iter,bevy,,,,30852901.0,ns,1612
simple_iter,bevy,,,,31810700.0,ns,1664
simple_iter,bevy,,,,33042401.0,ns,1716
simple_iter,bevy,,,,33760201.0,ns,1768
simple_iter,bevy,,,,34712600.0,ns,1820
simple_iter,bevy,,,,35877101.0,ns,1872
simple_iter,bevy,,,,38029401.0,ns,1924
simple_iter,bevy,,,,38136001.0,ns,1976
simple_iter,bevy,,,,38710801.0,ns,2028
simple_iter,bevy,,,,39753901.0,ns,2080
simple_iter,bevy,,,,40957400.0,ns,2132
simple_iter,bevy,,,,41746801.0,ns,2184
simple_iter,bevy,,,,42954301.0,ns,2236
simple_iter,bevy,,,,43781501.0,ns,2288
simple_iter,bevy,,,,44913201.0,ns,2340
simple_iter,bevy,,,,45802201.0,ns,2392
simple_iter,bevy,,,,46724301.0,ns,2444
simple_iter,bevy,,,,47710701.0,ns,2496
simple_iter,bevy,,,,48681001.0,ns,2548
simple_iter,bevy,,,,49860501.0,ns,2600
simple_iter,bevy,,,,50771501.0,ns,2652
simple_iter,bevy,,,,52125802.0,ns,2704
simple_iter,bevy,,,,52736201.0,ns,2756
simple_iter,bevy,,,,53893601.0,ns,2808
simple_iter,bevy,,,,54677401.0,ns,2860
simple_iter,bevy,,,,55917201.0,ns,2912
simple_iter,bevy,,,,56750901.0,ns,2964
simple_iter,bevy,,,,58583302.0,ns,3016
simple_iter,bevy,,,,63159301.0,ns,3068
simple_iter,bevy,,,,61125001.0,ns,3120
simple_iter,bevy,,,,62217402.0,ns,3172
simple_iter,bevy,,,,62017801.0,ns,3224
simple_iter,bevy,,,,62984501.0,ns,3276
simple_iter,bevy,,,,63985402.0,ns,3328
simple_iter,bevy,,,,65450002.0,ns,3380
simple_iter,bevy,,,,66409702.0,ns,3432
simple_iter,bevy,,,,67942001.0,ns,3484
simple_iter,bevy,,,,69082302.0,ns,3536
simple_iter,bevy,,,,69769602.0,ns,3588
simple_iter,bevy,,,,69772402.0,ns,3640
simple_iter,bevy,,,,70631002.0,ns,3692
simple_iter,bevy,,,,71600702.0,ns,3744
simple_iter,bevy,,,,72883202.0,ns,3796
simple_iter,bevy,,,,73720902.0,ns,3848
simple_iter,bevy,,,,74616302.0,ns,3900
simple_iter,bevy,,,,76148502.0,ns,3952
simple_iter,bevy,,,,76980302.0,ns,4004
simple_iter,bevy,,,,77416102.0,ns,4056
simple_iter,bevy,,,,78525603.0,ns,4108
simple_iter,bevy,,,,79954802.0,ns,4160
simple_iter,bevy,,,,80824002.0,ns,4212
simple_iter,bevy,,,,81816803.0,ns,4264
simple_iter,bevy,,,,83103102.0,ns,4316
simple_iter,bevy,,,,84179302.0,ns,4368
simple_iter,bevy,,,,84763103.0,ns,4420
simple_iter,bevy,,,,85687302.0,ns,4472
simple_iter,bevy,,,,90821503.0,ns,4524
simple_iter,bevy,,,,88278702.0,ns,4576
simple_iter,bevy,,,,88894603.0,ns,4628
simple_iter,bevy,,,,89578002.0,ns,4680
simple_iter,bevy,,,,90391303.0,ns,4732
simple_iter,bevy,,,,91661203.0,ns,4784
simple_iter,bevy,,,,92518002.0,ns,4836
simple_iter,bevy,,,,93360003.0,ns,4888
simple_iter,bevy,,,,94932403.0,ns,4940
simple_iter,bevy,,,,95469502.0,ns,4992
simple_iter,bevy,,,,96479003.0,ns,5044
simple_iter,bevy,,,,97285603.0,ns,5096
simple_iter,bevy,,,,98619503.0,ns,5148
simple_iter,bevy,,,,99935103.0,ns,5200
