group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,ets,,,,957900.0,ns,49
simple_iter,ets,,,,1942300.0,ns,98
simple_iter,ets,,,,2878300.0,ns,147
simple_iter,ets,,,,4126200.0,ns,196
simple_iter,ets,,,,5511300.0,ns,245
simple_iter,ets,,,,6207700.0,ns,294
simple_iter,ets,,,,7546900.0,ns,343
simple_iter,ets,,,,8186200.0,ns,392
simple_iter,ets,,,,9335600.0,ns,441
simple_iter,ets,,,,10206000.0,ns,490
simple_iter,ets,,,,11276500.0,ns,539
simple_iter,ets,,,,12019900.0,ns,588
simple_iter,ets,,,,13008600.0,ns,637
simple_iter,ets,,,,14016300.0,ns,686
simple_iter,ets,,,,15019100.0,ns,735
simple_iter,ets,,,,16023400.0,ns,784
simple_iter,ets,,,,17006000.0,ns,833
simple_iter,ets,,,,17583200.0,ns,882
simple_iter,ets,,,,18284200.0,ns,931
simple_iter,ets,,,,19245400.0,ns,980
simple_iter,ets,,,,20939900.0,ns,1029
simple_iter,ets,,,,21233300.0,ns,1078
simple_iter,ets,,,,22090099.0,ns,1127
simple_iter,ets,,,,23097200.0,ns,1176
simple_iter,ets,,,,24535300.0,ns,1225
simple_iter,ets,,,,25502700.0,ns,1274
simple_iter,ets,,,,26331800.0,ns,1323
simple_iter,ets,,,,27440500.0,ns,1372
simple_iter,ets,,,,28347300.0,ns,1421
simple_iter,ets,,,,29364200.0,ns,1470
simple_iter,ets,,,,30320600.0,ns,1519
simple_iter,ets,,,,31415700.0,ns,1568
simple_iter,ets,,,,32281000.0,ns,1617
simple_iter,ets,,,,33182399.0,ns,1666
simple_iter,ets,,,,34315700.0,ns,1715
simple_iter,ets,,,,35487600.0,ns,1764
simple_iter,ets,,,,37492400.0,ns,1813
simple_iter,ets,,,,36548800.0,ns,1862
simple_iter,ets,,,,37503700.0,ns,1911
simple_iter,ets,,,,39149300.0,ns,1960
simple_iter,ets,,,,40467600.0,ns,2009
simple_iter,ets,,,,41120800.0,ns,2058
simple_iter,ets,,,,42136500.0,ns,2107
simple_iter,ets,,,,42999700.0,ns,2156
simple_iter,ets,,,,44078300.0,ns,2205
simple_iter,ets,,,,45023600.0,ns,2254
simple_iter,ets,,,,45963800.0,ns,2303
simple_iter,ets,,,,47030200.0,ns,2352
simple_iter,ets,,,,48369800.0,ns,2401
simple_iter,ets,,,,49870400.0,ns,2450
simple_iter,ets,,,,50503100.0,ns,2499
simple_iter,ets,,,,50873200.0,ns,2548
simple_iter,ets,,,,56293100.0,ns,2597
simple_iter,ets,,,,52896400.0,ns,2646
simple_iter,ets,,,,54200300.0,ns,2695
simple_iter,ets,,,,55256900.0,ns,2744
simple_iter,ets,,,,55590400.0,ns,2793
simple_iter,ets,,,,56758900.0,ns,2842
simple_iter,ets,,,,57151500.0,ns,2891
simple_iter,ets,,,,57968900.0,ns,2940
simple_iter,ets,,,,59056100.0,ns,2989
simple_iter,ets,,,,60279800.0,ns,3038
simple_iter,ets,,,,60815300.0,ns,3087
simple_iter,ets,,,,62880100.0,ns,3136
simple_iter,ets,,,,63642500.0,ns,3185
simple_iter,ets,,,,64628300.0,ns,3234
simple_iter,ets,,,,67060700.0,ns,3283
simple_iter,ets,,,,69529200.0,ns,3332
simple_iter,ets,,,,66487900.0,ns,3381
simple_iter,ets,,,,70862400.0,ns,3430
simple_iter,ets,,,,72135200.0,ns,3479
simple_iter,ets,,,,72684400.0,ns,3528
simple_iter,ets,,,,73170100.0,ns,3577
simple_iter,ets,,,,73843500.0,ns,3626
simple_iter,ets,,,,74129900.0,ns,3675
simple_iter,ets,,,,74102699.0,ns,3724
simple_iter,ets,,,,75143700.0,ns,3773
simple_iter,ets,,,,76324600.0,ns,3822
simple_iter,ets,,,,79948200.0,ns,3871
simple_iter,ets,,,,79731500.0,ns,3920
simple_iter,ets,,,,82394100.0,ns,3969
simple_iter,ets,,,,83265900.0,ns,4018
simple_iter,ets,,,,87395900.0,ns,4067
simple_iter,ets,,,,84279200.0,ns,4116
simple_iter,ets,,,,85308100.0,ns,4165
simple_iter,ets,,,,85180900.0,ns,4214
simple_iter,ets,,,,86479900.0,ns,4263
simple_iter,ets,,,,89278100.0,ns,4312
simple_iter,ets,,,,86517400.0,ns,4361
simple_iter,ets,,,,87245800.0,ns,4410
simple_iter,ets,,,,91456000.0,ns,4459
simple_iter,ets,,,,89948200.0,ns,4508
simple_iter,ets,,,,91254600.0,ns,4557
simple_iter,ets,,,,91617000.0,ns,4606
simple_iter,ets,,,,91408700.0,ns,4655
simple_iter,ets,,,,92423500.0,ns,4704
simple_iter,ets,,,,93425400.0,ns,4753
simple_iter,ets,,,,94774800.0,ns,4802
simple_iter,ets,,,,96363700.0,ns,4851
simple_iter,ets,,,,97608900.0,ns,4900
