group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,hecs,,,,961600.0,ns,124
simple_iter,hecs,,,,1980100.0,ns,248
simple_iter,hecs,,,,2918100.0,ns,372
simple_iter,hecs,,,,4057300.0,ns,496
simple_iter,hecs,,,,5224600.0,ns,620
simple_iter,hecs,,,,6111401.0,ns,744
simple_iter,hecs,,,,6895900.0,ns,868
simple_iter,hecs,,,,8002800.0,ns,992
simple_iter,hecs,,,,8994300.0,ns,1116
simple_iter,hecs,,,,9952301.0,ns,1240
simple_iter,hecs,,,,11117100.0,ns,1364
simple_iter,hecs,,,,12011103.0,ns,1488
simple_iter,hecs,,,,13011004.0,ns,1612
simple_iter,hecs,,,,13966804.0,ns,1736
simple_iter,hecs,,,,14971204.0,ns,1860
simple_iter,hecs,,,,15990804.0,ns,1984
simple_iter,hecs,,,,16960705.0,ns,2108
simple_iter,hecs,,,,17619105.0,ns,2232
simple_iter,hecs,,,,18644906.0,ns,2356
simple_iter,hecs,,,,19662006.0,ns,2480
simple_iter,hecs,,,,20837106.0,ns,2604
simple_iter,hecs,,,,21517806.0,ns,2728
simple_iter,hecs,,,,22556907.0,ns,2852
simple_iter,hecs,,,,23615506.0,ns,2976
simple_iter,hecs,,,,24790307.0,ns,3100
simple_iter,hecs,,,,25594207.0,ns,3224
simple_iter,hecs,,,,26494108.0,ns,3348
simple_iter,hecs,,,,27653808.0,ns,3472
simple_iter,hecs,,,,28368608.0,ns,3596
simple_iter,hecs,,,,29390209.0,ns,3720
simple_iter,hecs,,,,30312709.0,ns,3844
simple_iter,hecs,,,,31410909.0,ns,3968
simple_iter,hecs,,,,32357709.0,ns,4092
simple_iter,hecs,,,,33453610.0,ns,4216
simple_iter,hecs,,,,34806610.0,ns,4340
simple_iter,hecs,,,,36768611.0,ns,4464
simple_iter,hecs,,,,36624010.0,ns,4588
simple_iter,hecs,,,,37346411.0,ns,4712
simple_iter,hecs,,,,38187411.0,ns,4836
simple_iter,hecs,,,,39283812.0,ns,4960
simple_iter,hecs,,,,40395411.0,ns,5084
simple_iter,hecs,,,,41512911.0,ns,5208
simple_iter,hecs,,,,42152912.0,ns,5332
simple_iter,hecs,,,,43106712.0,ns,5456
simple_iter,hecs,,,,44324913.0,ns,5580
simple_iter,hecs,,,,45683713.0,ns,5704
simple_iter,hecs,,,,46128514.0,ns,5828
simple_iter,hecs,,,,46931413.0,ns,5952
simple_iter,hecs,,,,48332414.0,ns,6076
simple_iter,hecs,,,,49154215.0,ns,6200
simple_iter,hecs,,,,50169414.0,ns,6324
simple_iter,hecs,,,,51145615.0,ns,6448
simple_iter,hecs,,,,52484015.0,ns,6572
simple_iter,hecs,,,,52939615.0,ns,6696
simple_iter,hecs,,,,53916715.0,ns,6820
simple_iter,hecs,,,,55224116.0,ns,6944
simple_iter,hecs,,,,56353016.0,ns,7068
simple_iter,hecs,,,,58520417.0,ns,7192
simple_iter,hecs,,,,57847417.0,ns,7316
simple_iter,hecs,,,,59211117.0,ns,7440
simple_iter,hecs,,,,59912617.0,ns,7564
simple_iter,hecs,,,,63122518.0,ns,7688
simple_iter,hecs,,,,63335518.0,ns,7812
simple_iter,hecs,,,,64312819.0,ns,7936
simple_iter,hecs,,,,65303519.0,ns,8060
simple_iter,hecs,,,,65088618.0,ns,8184
simple_iter,hecs,,,,65888518.0,ns,8308
simple_iter,hecs,,,,66990319.0,ns,8432
simple_iter,hecs,,,,67785519.0,ns,8556
simple_iter,hecs,,,,69099419.0,ns,8680
simple_iter,hecs,,,,69653820.0,ns,8804
simple_iter,hecs,,,,70761420.0,ns,8928
simple_iter,hecs,,,,71775921.0,ns,9052
simple_iter,hecs,,,,72557821.0,ns,9176
simple_iter,hecs,,,,73494321.0,ns,9300
simple_iter,hecs,,,,74741622.0,ns,9424
simple_iter,hecs,,,,75690921.0,ns,9548
simple_iter,hecs,,,,76604522.0,ns,9672
simple_iter,hecs,,,,77431522.0,ns,9796
simple_iter,hecs,,,,78809823.0,ns,9920
simple_iter,hecs,,,,79602623.0,ns,10044
simple_iter,hecs,,,,80445023.0,ns,10168
simple_iter,hecs,,,,81319323.0,ns,10292
simple_iter,hecs,,,,82523023.0,ns,10416
simple_iter,hecs,,,,83481424.0,ns,10540
simple_iter,hecs,,,,84449724.0,ns,10664
simple_iter,hecs,,,,85365124.0,ns,10788
simple_iter,hecs,,,,86371724.0,ns,10912
simple_iter,hecs,,,,87293026.0,ns,11036
simple_iter,hecs,,,,93699327.0,ns,11160
simple_iter,hecs,,,,91550426.0,ns,11284
simple_iter,hecs,,,,90584726.0,ns,11408
simple_iter,hecs,,,,91191427.0,ns,11532
simple_iter,hecs,,,,92088826.0,ns,11656
simple_iter,hecs,,,,93152927.0,ns,11780
simple_iter,hecs,,,,94633827.0,ns,11904
simple_iter,hecs,,,,95261628.0,ns,12028
simple_iter,hecs,,,,96915028.0,ns,12152
simple_iter,hecs,,,,97539028.0,ns,12276
simple_iter,hecs,,,,98246528.0,ns,12400
