group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,legion (packed),,,,976500.0,ns,128
simple_iter,legion (packed),,,,1956000.0,ns,256
simple_iter,legion (packed),,,,2941100.0,ns,384
simple_iter,legion (packed),,,,4149200.0,ns,512
simple_iter,legion (packed),,,,5140900.0,ns,640
simple_iter,legion (packed),,,,6718600.0,ns,768
simple_iter,legion (packed),,,,6944401.0,ns,896
simple_iter,legion (packed),,,,8358300.0,ns,1024
simple_iter,legion (packed),,,,8773300.0,ns,1152
simple_iter,legion (packed),,,,9953900.0,ns,1280
simple_iter,legion (packed),,,,11128100.0,ns,1408
simple_iter,legion (packed),,,,12082100.0,ns,1536
simple_iter,legion (packed),,,,13062200.0,ns,1664
simple_iter,legion (packed),,,,14134001.0,ns,1792
simple_iter,legion (packed),,,,15275700.0,ns,1920
simple_iter,legion (packed),,,,16060400.0,ns,2048
simple_iter,legion (packed),,,,16998900.0,ns,2176
simple_iter,legion (packed),,,,17682201.0,ns,2304
simple_iter,legion (packed),,,,18705500.0,ns,2432
simple_iter,legion (packed),,,,19765600.0,ns,2560
simple_iter,legion (packed),,,,20635400.0,ns,2688
simple_iter,legion (packed),,,,21620901.0,ns,2816
simple_iter,legion (packed),,,,25089800.0,ns,2944
simple_iter,legion (packed),,,,24888000.0,ns,3072
simple_iter,legion (packed),,,,24707401.0,ns,3200
simple_iter,legion (packed),,,,25481300.0,ns,3328
simple_iter,legion (packed),,,,27008701.0,ns,3456
simple_iter,legion (packed),,,,28075600.0,ns,3584
simple_iter,legion (packed),,,,28987900.0,ns,3712
simple_iter,legion (packed),,,,29499301.0,ns,3840
simple_iter,legion (packed),,,,30408200.0,ns,3968
simple_iter,legion (packed),,,,31521901.0,ns,4096
simple_iter,legion (packed),,,,32732800.0,ns,4224
simple_iter,legion (packed),,,,33454401.0,ns,4352
simple_iter,legion (packed),,,,34234500.0,ns,4480
simple_iter,legion (packed),,,,35222001.0,ns,4608
simple_iter,legion (packed),,,,36477300.0,ns,4736
simple_iter,legion (packed),,,,37249701.0,ns,4864
simple_iter,legion (packed),,,,38487800.0,ns,4992
simple_iter,legion (packed),,,,39416001.0,ns,5120
simple_iter,legion (packed),,,,40798200.0,ns,5248
simple_iter,legion (packed),,,,41162001.0,ns,5376
simple_iter,legion (packed),,,,42189701.0,ns,5504
simple_iter,legion (packed),,,,43146900.0,ns,5632
simple_iter,legion (packed),,,,44059301.0,ns,5760
simple_iter,legion (packed),,,,45450001.0,ns,5888
simple_iter,legion (packed),,,,46432500.0,ns,6016
simple_iter,legion (packed),,,,47179701.0,ns,6144
simple_iter,legion (packed),,,,48105101.0,ns,6272
simple_iter,legion (packed),,,,48999300.0,ns,6400
simple_iter,legion (packed),,,,49958801.0,ns,6528
simple_iter,legion (packed),,,,51041901.0,ns,6656
simple_iter,legion (packed),,,,51965100.0,ns,6784
simple_iter,legion (packed),,,,53060401.0,ns,6912
simple_iter,legion (packed),,,,54509001.0,ns,7040
simple_iter,legion (packed),,,,55967701.0,ns,7168
simple_iter,legion (packed),,,,56606301.0,ns,7296
simple_iter,legion (packed),,,,57090400.0,ns,7424
simple_iter,legion (packed),,,,57800701.0,ns,7552
simple_iter,legion (packed),,,,58922201.0,ns,7680
simple_iter,legion (packed),,,,59840101.0,ns,7808
simple_iter,legion (packed),,,,61089301.0,ns,7936
simple_iter,legion (packed),,,,61944001.0,ns,8064
simple_iter,legion (packed),,,,62780801.0,ns,8192
simple_iter,legion (packed),,,,64209300.0,ns,8320
simple_iter,legion (packed),,,,64968901.0,ns,8448
simple_iter,legion (packed),,,,65419301.0,ns,8576
simple_iter,legion (packed),,,,69915701.0,ns,8704
simple_iter,legion (packed),,,,70322301.0,ns,8832
simple_iter,legion (packed),,,,70128001.0,ns,8960
simple_iter,legion (packed),,,,69958101.0,ns,9088
simple_iter,legion (packed),,,,71419301.0,ns,9216
simple_iter,legion (packed),,,,72200901.0,ns,9344
simple_iter,legion (packed),,,,72540301.0,ns,9472
simple_iter,legion (packed),,,,73690401.0,ns,9600
simple_iter,legion (packed),,,,74731802.0,ns,9728
simple_iter,legion (packed),,,,75682301.0,ns,9856
simple_iter,legion (packed),,,,76432801.0,ns,9984
simple_iter,legion (packed),,,,77556801.0,ns,10112
simple_iter,legion (packed),,,,78879601.0,ns,10240
simple_iter,legion (packed),,,,79481001.0,ns,10368
simple_iter,legion (packed),,,,80486801.0,ns,10496
simple_iter,legion (packed),,,,81298501.0,ns,10624
simple_iter,legion (packed),,,,82394702.0,ns,10752
simple_iter,legion (packed),,,,83403901.0,ns,10880
simple_iter,legion (packed),,,,84130001.0,ns,11008
simple_iter,legion (packed),,,,85819701.0,ns,11136
simple_iter,legion (packed),,,,86114001.0,ns,11264
simple_iter,legion (packed),,,,87375402.0,ns,11392
simple_iter,legion (packed),,,,88487601.0,ns,11520
simple_iter,legion (packed),,,,89429501.0,ns,11648
simple_iter,legion (packed),,,,90099601.0,ns,11776
simple_iter,legion (packed),,,,91655902.0,ns,11904
simple_iter,legion (packed),,,,95334601.0,ns,12032
simple_iter,legion (packed),,,,94931201.0,ns,12160
simple_iter,legion (packed),,,,94490901.0,ns,12288
simple_iter,legion (packed),,,,95128201.0,ns,12416
simple_iter,legion (packed),,,,96074802.0,ns,12544
simple_iter,legion (packed),,,,96851001.0,ns,12672
simple_iter,legion (packed),,,,97988302.0,ns,12800
