group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,planck_ecs,,,,1002200.0,ns,20
simple_iter,planck_ecs,,,,2053400.0,ns,40
simple_iter,planck_ecs,,,,3032600.0,ns,60
simple_iter,planck_ecs,,,,4466200.0,ns,80
simple_iter,planck_ecs,,,,5848800.0,ns,100
simple_iter,planck_ecs,,,,6619700.0,ns,120
simple_iter,planck_ecs,,,,7065700.0,ns,140
simple_iter,planck_ecs,,,,8251200.0,ns,160
simple_iter,planck_ecs,,,,9209700.0,ns,180
simple_iter,planck_ecs,,,,10302200.0,ns,200
simple_iter,planck_ecs,,,,11363500.0,ns,220
simple_iter,planck_ecs,,,,12389500.0,ns,240
simple_iter,planck_ecs,,,,13412500.0,ns,260
simple_iter,planck_ecs,,,,14585400.0,ns,280
simple_iter,planck_ecs,,,,15445400.0,ns,300
simple_iter,planck_ecs,,,,16553400.0,ns,320
simple_iter,planck_ecs,,,,17094900.0,ns,340
simple_iter,planck_ecs,,,,18091300.0,ns,360
simple_iter,planck_ecs,,,,19168300.0,ns,380
simple_iter,planck_ecs,,,,20270901.0,ns,400
simple_iter,planck_ecs,,,,21321000.0,ns,420
simple_iter,planck_ecs,,,,22164800.0,ns,440
simple_iter,planck_ecs,,,,23206400.0,ns,460
simple_iter,planck_ecs,,,,24255300.0,ns,480
simple_iter,planck_ecs,,,,25322600.0,ns,500
simple_iter,planck_ecs,,,,26202400.0,ns,520
simple_iter,planck_ecs,,,,27240100.0,ns,540
simple_iter,planck_ecs,,,,28239700.0,ns,560
simple_iter,planck_ecs,,,,29327300.0,ns,580
simple_iter,planck_ecs,,,,30378600.0,ns,600
simple_iter,planck_ecs,,,,31445500.0,ns,620
simple_iter,planck_ecs,,,,32605200.0,ns,640
simple_iter,planck_ecs,,,,33472700.0,ns,660
simple_iter,planck_ecs,,,,34457300.0,ns,680
simple_iter,planck_ecs,,,,35338100.0,ns,700
simple_iter,planck_ecs,,,,36486500.0,ns,720
simple_iter,planck_ecs,,,,37580600.0,ns,740
simple_iter,planck_ecs,,,,38675100.0,ns,760
simple_iter,planck_ecs,,,,39388400.0,ns,780
simple_iter,planck_ecs,,,,40290600.0,ns,800
simple_iter,planck_ecs,,,,41244400.0,ns,820
simple_iter,planck_ecs,,,,42209700.0,ns,840
simple_iter,planck_ecs,,,,43304201.0,ns,860
simple_iter,planck_ecs,,,,44531900.0,ns,880
simple_iter,planck_ecs,,,,47983000.0,ns,900
simple_iter,planck_ecs,,,,47589200.0,ns,920
simple_iter,planck_ecs,,,,48348800.0,ns,940
simple_iter,planck_ecs,,,,49317300.0,ns,960
simple_iter,planck_ecs,,,,50328700.0,ns,980
simple_iter,planck_ecs,,,,50567500.0,ns,1000
simple_iter,planck_ecs,,,,51623700.0,ns,1020
simple_iter,planck_ecs,,,,52497800.0,ns,1040
simple_iter,planck_ecs,,,,53475700.0,ns,1060
simple_iter,planck_ecs,,,,54708200.0,ns,1080
simple_iter,planck_ecs,,,,56972000.0,ns,1100
simple_iter,planck_ecs,,,,57054400.0,ns,1120
simple_iter,planck_ecs,,,,57803701.0,ns,1140
simple_iter,planck_ecs,,,,58771300.0,ns,1160
simple_iter,planck_ecs,,,,60124000.0,ns,1180
simple_iter,planck_ecs,,,,60673400.0,ns,1200
simple_iter,planck_ecs,,,,61417300.0,ns,1220
simple_iter,planck_ecs,,,,62483800.0,ns,1240
simple_iter,planck_ecs,,,,63608900.0,ns,1260
simple_iter,planck_ecs,,,,64837400.0,ns,1280
simple_iter,planck_ecs,,,,65680700.0,ns,1300
simple_iter,planck_ecs,,,,66675400.0,ns,1320
simple_iter,planck_ecs,,,,67654300.0,ns,1340
simple_iter,planck_ecs,,,,68591300.0,ns,1360
simple_iter,planck_ecs,,,,88359501.0,ns,1380
simple_iter,planck_ecs,,,,103175700.0,ns,1400
simple_iter,planck_ecs,,,,73008700.0,ns,1420
simple_iter,planck_ecs,,,,74640900.0,ns,1440
simple_iter,planck_ecs,,,,75773300.0,ns,1460
simple_iter,planck_ecs,,,,82450000.0,ns,1480
simple_iter,planck_ecs,,,,75770900.0,ns,1500
simple_iter,planck_ecs,,,,76749800.0,ns,1520
simple_iter,planck_ecs,,,,83360601.0,ns,1540
simple_iter,planck_ecs,,,,80479400.0,ns,1560
simple_iter,planck_ecs,,,,80681600.0,ns,1580
simple_iter,planck_ecs,,,,80686500.0,ns,1600
simple_iter,planck_ecs,,,,81930500.0,ns,1620
simple_iter,planck_ecs,,,,82918700.0,ns,1640
simple_iter,planck_ecs,,,,83921000.0,ns,1660
simple_iter,planck_ecs,,,,84910600.0,ns,1680
simple_iter,planck_ecs,,,,85839000.0,ns,1700
simple_iter,planck_ecs,,,,86752101.0,ns,1720
simple_iter,planck_ecs,,,,88119800.0,ns,1740
simple_iter,planck_ecs,,,,88663400.0,ns,1760
simple_iter,planck_ecs,,,,89979800.0,ns,1780
simple_iter,planck_ecs,,,,90593700.0,ns,1800
simple_iter,planck_ecs,,,,91646900.0,ns,1820
simple_iter,planck_ecs,,,,93050200.0,ns,1840
simple_iter,planck_ecs,,,,94543800.0,ns,1860
simple_iter,planck_ecs,,,,94653101.0,ns,1880
simple_iter,planck_ecs,,,,95844500.0,ns,1900
simple_iter,planck_ecs,,,,96813000.0,ns,1920
simple_iter,planck_ecs,,,,97959200.0,ns,1940
simple_iter,planck_ecs,,,,99062400.0,ns,1960
simple_iter,planck_ecs,,,,99952800.0,ns,1980
simple_iter,planck_ecs,,,,114917000.0,ns,2000
