group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,shipyard,,,,1037100.0,ns,49
simple_iter,shipyard,,,,2056200.0,ns,98
simple_iter,shipyard,,,,3183200.0,ns,147
simple_iter,shipyard,,,,4222600.0,ns,196
simple_iter,shipyard,,,,5623900.0,ns,245
simple_iter,shipyard,,,,6260400.0,ns,294
simple_iter,shipyard,,,,7283800.0,ns,343
simple_iter,shipyard,,,,8381600.0,ns,392
simple_iter,shipyard,,,,9232400.0,ns,441
simple_iter,shipyard,,,,10393700.0,ns,490
simple_iter,shipyard,,,,11329700.0,ns,539
simple_iter,shipyard,,,,12605400.0,ns,588
simple_iter,shipyard,,,,13432400.0,ns,637
simple_iter,shipyard,,,,14364500.0,ns,686
simple_iter,shipyard,,,,15427400.0,ns,735
simple_iter,shipyard,,,,16544200.0,ns,784
simple_iter,shipyard,,,,17597300.0,ns,833
simple_iter,shipyard,,,,18311900.0,ns,882
simple_iter,shipyard,,,,19100800.0,ns,931
simple_iter,shipyard,,,,20122500.0,ns,980
simple_iter,shipyard,,,,21002900.0,ns,1029
simple_iter,shipyard,,,,21795400.0,ns,1078
simple_iter,shipyard,,,,22738200.0,ns,1127
simple_iter,shipyard,,,,23752400.0,ns,1176
simple_iter,shipyard,,,,24828500.0,ns,1225
simple_iter,shipyard,,,,25993700.0,ns,1274
simple_iter,shipyard,,,,26959900.0,ns,1323
simple_iter,shipyard,,,,28060600.0,ns,1372
simple_iter,shipyard,,,,28855500.0,ns,1421
simple_iter,shipyard,,,,29970600.0,ns,1470
simple_iter,shipyard,,,,30810400.0,ns,1519
simple_iter,shipyard,,,,32094800.0,ns,1568
simple_iter,shipyard,,,,32666601.0,ns,1617
simple_iter,shipyard,,,,34049700.0,ns,1666
simple_iter,shipyard,,,,34846500.0,ns,1715
simple_iter,shipyard,,,,35737400.0,ns,1764
simple_iter,shipyard,,,,36842300.0,ns,1813
simple_iter,shipyard,,,,38253200.0,ns,1862
simple_iter,shipyard,,,,38902600.0,ns,1911
simple_iter,shipyard,,,,39893100.0,ns,1960
simple_iter,shipyard,,,,40642000.0,ns,2009
simple_iter,shipyard,,,,41603900.0,ns,2058
simple_iter,shipyard,,,,42825800.0,ns,2107
simple_iter,shipyard,,,,43429600.0,ns,2156
simple_iter,shipyard,,,,45021000.0,ns,2205
simple_iter,shipyard,,,,45671400.0,ns,2254
simple_iter,shipyard,,,,46581901.0,ns,2303
simple_iter,shipyard,,,,48426700.0,ns,2352
simple_iter,shipyard,,,,49121200.0,ns,2401
simple_iter,shipyard,,,,49907400.0,ns,2450
simple_iter,shipyard,,,,50302300.0,ns,2499
simple_iter,shipyard,,,,51646400.0,ns,2548
simple_iter,shipyard,,,,52464400.0,ns,2597
simple_iter,shipyard,,,,53600100.0,ns,2646
simple_iter,shipyard,,,,54716300.0,ns,2695
simple_iter,shipyard,,,,56204300.0,ns,2744
simple_iter,shipyard,,,,56711600.0,ns,2793
simple_iter,shipyard,,,,58093901.0,ns,2842
simple_iter,shipyard,,,,59783300.0,ns,2891
simple_iter,shipyard,,,,63553800.0,ns,2940
simple_iter,shipyard,,,,63539600.0,ns,2989
simple_iter,shipyard,,,,63007800.0,ns,3038
simple_iter,shipyard,,,,66197100.0,ns,3087
simple_iter,shipyard,,,,64853700.0,ns,3136
simple_iter,shipyard,,,,65890900.0,ns,3185
simple_iter,shipyard,,,,66516301.0,ns,3234
simple_iter,shipyard,,,,66668800.0,ns,3283
simple_iter,shipyard,,,,68070300.0,ns,3332
simple_iter,shipyard,,,,69705200.0,ns,3381
simple_iter,shipyard,,,,69559400.0,ns,3430
simple_iter,shipyard,,,,70340300.0,ns,3479
simple_iter,shipyard,,,,72217500.0,ns,3528
simple_iter,shipyard,,,,72307200.0,ns,3577
simple_iter,shipyard,,,,74205801.0,ns,3626
simple_iter,shipyard,,,,75059200.0,ns,3675
simple_iter,shipyard,,,,76096400.0,ns,3724
simple_iter,shipyard,,,,76950900.0,ns,3773
simple_iter,shipyard,,,,77726400.0,ns,3822
simple_iter,shipyard,,,,78656000.0,ns,3871
simple_iter,shipyard,,,,79805900.0,ns,3920
simple_iter,shipyard,,,,80991700.0,ns,3969
simple_iter,shipyard,,,,82100601.0,ns,4018
simple_iter,shipyard,,,,82424200.0,ns,4067
simple_iter,shipyard,,,,84473000.0,ns,4116
simple_iter,shipyard,,,,84593100.0,ns,4165
simple_iter,shipyard,,,,86223100.0,ns,4214
simple_iter,shipyard,,,,86588700.0,ns,4263
simple_iter,shipyard,,,,87898201.0,ns,4312
simple_iter,shipyard,,,,89897300.0,ns,4361
simple_iter,shipyard,,,,92609200.0,ns,4410
simple_iter,shipyard,,,,90936900.0,ns,4459
simple_iter,shipyard,,,,91265700.0,ns,4508
simple_iter,shipyard,,,,91513700.0,ns,4557
simple_iter,shipyard,,,,93143800.0,ns,4606
simple_iter,shipyard,,,,93988401.0,ns,4655
simple_iter,shipyard,,,,95874900.0,ns,4704
simple_iter,shipyard,,,,96972300.0,ns,4753
simple_iter,shipyard,,,,97488600.0,ns,4802
simple_iter,shipyard,,,,101412900.0,ns,4851
simple_iter,shipyard,,,,102312100.0,ns,4900
