group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,specs,,,,986900.0,ns,46
simple_iter,specs,,,,1983300.0,ns,92
simple_iter,specs,,,,3276100.0,ns,138
simple_iter,specs,,,,5333799.0,ns,184
simple_iter,specs,,,,5263599.0,ns,230
simple_iter,specs,,,,5970899.0,ns,276
simple_iter,specs,,,,7194099.0,ns,322
simple_iter,specs,,,,8132599.0,ns,368
simple_iter,specs,,,,9175999.0,ns,414
simple_iter,specs,,,,10341399.0,ns,460
simple_iter,specs,,,,11193198.0,ns,506
simple_iter,specs,,,,12227298.0,ns,552
simple_iter,specs,,,,13350999.0,ns,598
simple_iter,specs,,,,14337998.0,ns,644
simple_iter,specs,,,,15184098.0,ns,690
simple_iter,specs,,,,15897198.0,ns,736
simple_iter,specs,,,,16883897.0,ns,782
simple_iter,specs,,,,17864198.0,ns,828
simple_iter,specs,,,,18906097.0,ns,874
simple_iter,specs,,,,19828397.0,ns,920
simple_iter,specs,,,,21337297.0,ns,966
simple_iter,specs,,,,21911397.0,ns,1012
simple_iter,specs,,,,22850297.0,ns,1058
simple_iter,specs,,,,23849297.0,ns,1104
simple_iter,specs,,,,25000396.0,ns,1150
simple_iter,specs,,,,25904997.0,ns,1196
simple_iter,specs,,,,26652297.0,ns,1242
simple_iter,specs,,,,27840196.0,ns,1288
simple_iter,specs,,,,28943896.0,ns,1334
simple_iter,specs,,,,29838196.0,ns,1380
simple_iter,specs,,,,30930096.0,ns,1426
simple_iter,specs,,,,31989496.0,ns,1472
simple_iter,specs,,,,33967795.0,ns,1518
simple_iter,specs,,,,36670995.0,ns,1564
simple_iter,specs,,,,35447995.0,ns,1610
simple_iter,specs,,,,36499795.0,ns,1656
simple_iter,specs,,,,36993895.0,ns,1702
simple_iter,specs,,,,37748995.0,ns,1748
simple_iter,specs,,,,38772795.0,ns,1794
simple_iter,specs,,,,39851694.0,ns,1840
simple_iter,specs,,,,40454095.0,ns,1886
simple_iter,specs,,,,41899495.0,ns,1932
simple_iter,specs,,,,42822894.0,ns,1978
simple_iter,specs,,,,43904594.0,ns,2024
simple_iter,specs,,,,45161194.0,ns,2070
simple_iter,specs,,,,45639694.0,ns,2116
simple_iter,specs,,,,46659994.0,ns,2162
simple_iter,specs,,,,47506194.0,ns,2208
simple_iter,specs,,,,48455993.0,ns,2254
simple_iter,specs,,,,49804493.0,ns,2300
simple_iter,specs,,,,50630693.0,ns,2346
simple_iter,specs,,,,52010193.0,ns,2392
simple_iter,specs,,,,52512993.0,ns,2438
simple_iter,specs,,,,53552493.0,ns,2484
simple_iter,specs,,,,54922892.0,ns,2530
simple_iter,specs,,,,56057593.0,ns,2576
simple_iter,specs,,,,56291992.0,ns,2622
simple_iter,specs,,,,57625492.0,ns,2668
simple_iter,specs,,,,58487492.0,ns,2714
simple_iter,specs,,,,59701492.0,ns,2760
simple_iter,specs,,,,60389192.0,ns,2806
simple_iter,specs,,,,61670492.0,ns,2852
simple_iter,specs,,,,62543392.0,ns,2898
simple_iter,specs,,,,63857792.0,ns,2944
simple_iter,specs,,,,65570592.0,ns,2990
simple_iter,specs,,,,66112392.0,ns,3036
simple_iter,specs,,,,66457792.0,ns,3082
simple_iter,specs,,,,67429292.0,ns,3128
simple_iter,specs,,,,68945491.0,ns,3174
simple_iter,specs,,,,69442391.0,ns,3220
simple_iter,specs,,,,70906090.0,ns,3266
simple_iter,specs,,,,76513990.0,ns,3312
simple_iter,specs,,,,74308690.0,ns,3358
simple_iter,specs,,,,73929690.0,ns,3404
simple_iter,specs,,,,74598190.0,ns,3450
simple_iter,specs,,,,75479790.0,ns,3496
simple_iter,specs,,,,76661290.0,ns,3542
simple_iter,specs,,,,78072190.0,ns,3588
simple_iter,specs,,,,78482390.0,ns,3634
simple_iter,specs,,,,79439989.0,ns,3680
simple_iter,specs,,,,80336289.0,ns,3726
simple_iter,specs,,,,82174189.0,ns,3772
simple_iter,specs,,,,83597589.0,ns,3818
simple_iter,specs,,,,83719889.0,ns,3864
simple_iter,specs,,,,84603188.0,ns,3910
simple_iter,specs,,,,85754489.0,ns,3956
simple_iter,specs,,,,86405988.0,ns,4002
simple_iter,specs,,,,87355288.0,ns,4048
simple_iter,specs,,,,88394588.0,ns,4094
simple_iter,specs,,,,89422888.0,ns,4140
simple_iter,specs,,,,90871388.0,ns,4186
simple_iter,specs,,,,91640688.0,ns,4232
simple_iter,specs,,,,91991587.0,ns,4278
simple_iter,specs,,,,95146688.0,ns,4324
simple_iter,specs,,,,94228488.0,ns,4370
simple_iter,specs,,,,102328386.0,ns,4416
simple_iter,specs,,,,98090587.0,ns,4462
simple_iter,specs,,,,98181187.0,ns,4508
simple_iter,specs,,,,97771788.0,ns,4554
simple_iter,specs,,,,99972287.0,ns,4600
